@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,10,17-19'

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
43,65,153,143,200,204,bus
34,61,122,127,200,208,van
49,71,174,154,197,199,bus
42,58,140,142,198,205,saab
48,126,153,156,185,194,van
48,67,205,151,186,193,opel
53,66,209,163,191,201,opel
39,60,172,134,188,194,saab
42,75,171,138,196,201,bus
52,59,197,158,191,198,saab
48,64,157,161,184,195,van
46,68,201,148,191,202,opel
40,63,146,140,199,206,van
42,62,147,143,186,189,bus
46,60,197,147,189,197,saab
54,64,222,174,189,200,opel
36,69,136,136,193,204,van
39,58,151,136,187,196,saab
39,60,177,131,190,198,opel
56,71,219,172,189,196,saab
46,56,153,149,180,186,bus
36,60,157,128,197,204,saab
40,58,122,140,199,206,van
44,61,147,143,185,191,bus
39,56,114,135,197,202,van
55,62,222,180,186,196,opel
35,62,131,127,196,201,van
34,58,116,121,185,189,saab
37,55,129,127,180,184,saab
47,66,173,151,195,202,saab
47,69,200,147,187,194,opel
37,54,132,127,183,187,saab
37,72,158,133,200,204,bus
45,63,151,148,197,205,van
46,61,147,152,189,200,van
45,59,154,145,184,189,opel
54,67,250,162,182,182,bus
51,67,217,162,189,199,opel
49,63,176,154,189,195,saab
42,64,133,141,193,201,van
36,62,140,123,194,202,opel
53,54,216,172,190,201,opel
34,56,133,123,200,206,saab
45,54,149,145,181,184,bus
36,57,135,126,193,203,opel
42,56,150,145,181,185,bus
42,51,135,144,185,185,van
46,75,154,147,192,199,bus
37,59,162,133,198,204,opel
43,64,145,141,195,200,bus
40,52,152,133,180,183,opel
43,68,150,143,181,186,bus
45,71,186,145,195,198,bus
57,72,221,177,186,195,opel
54,57,220,174,189,201,saab
37,61,157,134,196,208,saab
39,62,137,137,201,209,van
43,53,150,144,179,182,bus
49,61,207,157,193,207,saab
43,74,152,143,186,189,bus
35,64,128,129,195,200,van
55,68,205,169,189,196,opel
53,56,220,167,189,199,saab
40,53,132,137,177,183,van
42,57,123,144,193,198,van
44,70,144,141,188,193,bus
46,66,191,148,190,200,saab
40,58,142,137,182,186,saab
39,59,139,139,201,209,van
46,70,167,148,200,203,bus
49,62,206,155,189,198,saab
54,61,225,165,188,187,bus
53,65,213,168,187,198,saab
45,69,143,148,190,199,van
40,53,132,139,176,183,van
50,63,218,156,189,189,bus
45,62,188,148,195,203,opel
39,66,148,134,193,201,bus
48,64,201,155,193,202,opel
52,67,189,161,188,195,opel
38,55,122,130,195,201,opel
38,69,166,131,200,202,bus
43,65,189,143,190,197,opel
44,64,137,144,196,203,van
