@relation wine

@attribute Proanthocyanins numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
2.81,1150,1
1.25,1080,1
2.14,985,1
1.66,680,1
1.72,1130,1
1.44,1105,1
2.29,1065,1
1.97,990,1
1.76,915,1
1.46,1015,1
1.25,1295,1
1.66,845,1
1.87,1190,1
1.62,1060,1
2.19,1065,1
1.82,735,1
1.37,1020,1
1.36,880,1
1.69,1035,1
1.28,1050,1
2.08,1260,1
1.46,1310,1
1.66,1270,1
1.98,1045,1
1.45,1195,1
1.98,770,1
1.54,1095,1
1.86,1680,1
2.81,1185,1
2.04,1285,1
2.38,1285,1
2.03,885,1
1.57,1280,1
1.7,1095,1
1.66,845,1
2.08,760,1
2.38,1060,1
1.35,1235,1
1.92,830,1
1.97,1280,1
2.29,1265,1
1.68,1375,1
2.34,795,1
2.1,780,1
2.18,1480,1
2.03,970,1
2.45,1120,1
1.48,1035,1
1.98,1035,1
1.81,1320,1
1.85,1045,1
2.91,1150,1
1.86,920,1
1.22,325,2
1.56,625,2
1.03,472,2
2.08,312,2
3.58,562,2
1.71,365,2
0.73,630,2
1.4,710,2
1.4,630,2
2.49,680,2
2.08,678,2
1.38,625,2
1.83,625,2
1.99,290,2
1.34,562,2
0.62,450,2
1.62,495,2
1.87,410,2
1.56,495,2
1.04,385,2
1.77,714,2
0.41,680,2
1.95,463,2
1.46,392,2
0.42,520,2
1.77,428,2
1.04,510,2
1.46,870,2
2.76,750,2
1.43,278,2
1.35,378,2
3.28,937,2
1.63,488,2
1.44,434,2
1.63,450,2
1.87,420,2
1.87,564,2
1.61,345,2
1.35,345,2
1.96,985,2
2.01,407,2
1.87,465,2
1.35,680,2
2.28,502,2
1.53,495,2
2.91,380,2
1.35,562,2
1.15,428,2
2.01,380,2
1.42,415,2
1.42,315,2
2.81,406,2
1.62,515,2
1.48,672,2
0.95,500,2
1.76,466,2
1.03,355,2
1.46,450,2
1.63,510,2
2.5,718,2
2.35,520,2
1.05,607,2
1.95,660,2
1.31,438,2
1.46,695,3
2.7,660,3
1.25,650,3
1.55,725,3
2.29,620,3
0.75,600,3
0.88,580,3
1.06,740,3
1.87,675,3
0.8,680,3
1.14,855,3
0.83,530,3
1.24,660,3
1.56,425,3
1.4,640,3
1.25,650,3
0.68,415,3
0.55,520,3
1.46,840,3
0.94,630,3
1.26,480,3
0.83,560,3
1.56,480,3
1.3,830,3
0.73,510,3
1.03,615,3
0.86,625,3
1.41,750,3
1.04,520,3
0.64,780,3
0.97,685,3
0.94,695,3
0.96,570,3
0.94,675,3
1.11,630,3
0.81,590,3
1.15,520,3
0.8,720,3
1.1,515,3
1.14,550,3
0.84,600,3
1.14,880,3
0.64,470,3
