@relation wine

@attribute Magnesium numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
96,845,1
121,1295,1
101,1095,1
96,1290,1
102,1065,1
118,970,1
110,880,1
108,1680,1
102,770,1
92,1150,1
101,1285,1
112,1310,1
100,920,1
95,1015,1
113,1480,1
132,1235,1
93,1195,1
115,1130,1
102,1270,1
111,1080,1
101,1185,1
110,1095,1
100,1050,1
104,990,1
105,1510,1
98,1105,1
126,780,1
96,1035,1
101,985,1
127,1065,1
124,830,1
118,735,1
102,1547,1
116,845,1
89,1320,1
108,1285,1
101,1035,1
107,885,1
94,1265,1
120,1280,1
116,1120,1
112,1450,1
103,1060,1
106,1515,1
94,1285,1
98,1045,1
115,1375,1
111,1190,1
95,1280,1
97,1045,1
90,1035,1
91,1150,1
103,680,1
107,915,1
86,278,2
86,410,2
88,520,2
151,718,2
97,710,2
92,312,2
78,630,2
101,463,2
119,465,2
88,660,2
136,750,2
99,450,2
88,342,2
84,385,2
101,680,2
85,407,2
102,365,2
87,564,2
80,495,2
107,562,2
98,438,2
88,562,2
87,420,2
94,630,2
88,325,2
110,750,2
80,580,2
85,378,2
81,480,2
98,345,2
94,680,2
86,392,2
86,380,2
90,495,2
134,625,2
94,520,2
82,380,2
100,450,2
88,290,2
84,680,2
101,886,2
103,870,2
103,607,2
88,562,2
139,985,2
96,625,2
70,625,2
86,450,2
108,345,2
78,510,2
86,714,2
112,500,2
85,672,2
104,355,2
80,372,2
162,937,2
90,315,2
97,428,2
98,678,2
88,434,2
86,352,2
88,406,2
85,428,2
98,660,3
104,530,3
80,415,3
90,615,3
96,515,3
89,620,3
94,695,3
93,725,3
89,780,3
107,680,3
102,830,3
112,630,3
88,580,3
111,695,3
96,600,3
88,520,3
86,470,3
92,550,3
101,590,3
113,550,3
98,675,3
122,630,3
106,675,3
96,510,3
116,425,3
106,570,3
97,880,3
120,840,3
123,500,3
89,720,3
85,650,3
89,480,3
95,740,3
98,560,3
96,560,3
86,625,3
112,855,3
103,640,3
91,660,3
112,480,3
120,835,3
105,750,3
97,520,3
