@relation wine

@attribute Alcohol numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
13.29,3.23,1
13.71,2.88,1
13.87,2.97,1
13.41,2.68,1
14.22,3.04,1
13.5,2.61,1
14.1,2.92,1
14.2,3.39,1
13.83,3.4,1
13.48,2.98,1
14.21,2.65,1
13.39,2.94,1
13.05,2.43,1
13.9,3.39,1
13.56,2.78,1
13.77,2.79,1
13.94,3.54,1
14.06,3.17,1
13.63,2.91,1
13.68,2.69,1
12.85,2.37,1
13.75,2.76,1
13.2,2.76,1
13.64,3.03,1
13.51,2.53,1
14.38,3.64,1
14.23,3.06,1
14.1,3.32,1
14.19,3.93,1
12.93,2.41,1
14.02,2.33,1
13.56,3.29,1
13.72,3.67,1
13.82,3.74,1
13.24,2.69,1
13.76,2.74,1
13.3,2.19,1
14.39,2.52,1
13.28,2.68,1
13.74,2.9,1
13.83,2.99,1
13.16,3.24,1
13.05,2.68,1
13.86,3.15,1
13.07,2.64,1
13.88,3.56,1
13.73,3.25,1
14.75,3.69,1
14.22,3,1
13.24,2.63,1
14.83,2.98,1
13.58,3.19,1
14.37,3.49,1
11.64,1.69,2
13.05,2.65,2
11.82,1.64,2
12.47,2.27,2
13.05,1.59,2
12.17,1.75,2
12.37,3.75,2
11.96,2.14,2
11.41,2.01,2
12.08,1.5,2
11.65,1.61,2
12.08,2.29,2
12.43,3.15,2
11.79,2.24,2
12.72,1.76,2
12.42,2.13,2
12.42,2.09,2
12.29,2.5,2
12.29,2.25,2
12.67,1.94,2
11.62,2.26,2
13.34,1.3,2
12,2.26,2
12.07,2.65,2
12.69,1.46,2
12.29,2.99,2
12.37,2.65,2
12.37,2.45,2
12.72,2.53,2
12.37,3.1,2
12.77,1.25,2
12.33,1.09,2
12.37,0.57,2
12.08,1.59,2
12.04,1.75,2
12.34,2.11,2
12.25,2.03,2
11.66,1.57,2
11.82,1.6,2
12.08,2.17,2
12.37,2,2
11.03,2.17,2
13.49,1.84,2
12.42,1.84,2
12.22,2.04,2
11.84,2.21,2
11.76,2.03,2
11.45,2.79,2
12.64,1.41,2
13.11,3.18,2
11.56,5.08,2
12.7,2.55,2
12.52,2.27,2
11.46,2.58,2
12,1.25,2
12,1.64,2
12.29,1.02,2
11.84,1.32,2
12.16,1.69,2
13.86,2.86,2
11.81,0.99,2
12.08,1.58,2
11.87,3.03,2
13.03,2.03,2
13.58,0.84,3
13.88,0.34,3
12.45,0.58,3
12.93,0.5,3
13.17,0.63,3
12.81,1.09,3
12.53,0.6,3
12.79,1.36,3
12.88,1.22,3
13.45,0.92,3
13.62,0.8,3
13.84,0.83,3
12.82,0.66,3
13.69,0.56,3
12.86,1.25,3
12.2,0.49,3
12.7,1.2,3
12.51,0.58,3
14.16,0.7,3
13.23,0.83,3
12.25,0.47,3
13.49,0.48,3
13.17,0.68,3
13.36,0.5,3
12.6,0.66,3
12.36,0.92,3
12.58,0.58,3
13.71,0.61,3
13.52,0.52,3
13.4,0.75,3
12.84,0.6,3
13.32,0.76,3
12.87,0.65,3
13.78,0.68,3
13.4,0.96,3
13.27,0.69,3
13.08,1.39,3
13.16,0.55,3
12.25,0.78,3
13.11,1.28,3
13.5,1.57,3
14.13,0.76,3
13.73,0.47,3
12.77,0.51,3
