@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.535,0.8415,0.314,15
0.62,1.0325,0.3605,15
0.54,1.0905,0.391,15
0.625,1.2415,0.5235,15
0.465,0.5555,0.213,15
0.455,0.514,0.2245,15
0.465,0.5755,0.2015,15
0.445,0.476,0.2055,15
0.56,0.922,0.432,15
0.5,0.604,0.242,15
0.52,0.829,0.3535,15
0.585,1.2565,0.435,15
0.585,1.055,0.3815,15
0.68,1.639,0.6055,15
0.535,0.72,0.275,15
0.61,1.0675,0.391,15
0.42,0.2885,0.1,15
0.695,2.033,0.751,15
0.47,0.537,0.1725,15
0.655,1.2635,0.486,15
0.53,0.883,0.316,15
0.48,0.5825,0.2315,15
0.59,1.1045,0.4565,15
0.695,1.494,0.588,15
0.63,1.525,0.56,15
0.7,1.773,0.6805,15
0.665,1.3955,0.456,15
0.52,0.6515,0.261,15
0.59,1.053,0.4415,15
0.61,1.213,0.464,15
0.66,1.3905,0.5905,15
0.55,1.042,0.3295,15
0.565,0.909,0.344,15
0.525,0.99,0.3865,15
0.635,1.598,0.6535,15
0.605,1.1405,0.3755,15
0.565,0.8115,0.341,15
0.525,0.7995,0.3345,15
0.48,0.523,0.2105,15
0.655,1.25,0.5265,15
0.59,0.906,0.327,15
0.505,0.657,0.291,15
0.71,1.555,0.6465,15
0.555,0.858,0.377,15
0.605,1.0185,0.4695,15
0.5,0.6355,0.2505,15
0.57,0.849,0.3785,15
0.505,0.6515,0.2695,15
0.64,1.521,0.644,15
0.49,0.592,0.242,15
0.575,1.094,0.4485,15
0.48,0.759,0.2125,15
0.64,1.194,0.4445,15
0.66,1.6935,0.6025,15
0.55,0.843,0.328,15
0.645,1.4935,0.5265,15
0.565,0.995,0.3895,15
0.465,0.498,0.214,15
0.555,0.8435,0.309,15
0.62,1.208,0.4805,15
0.6,1.031,0.392,15
0.56,1.106,0.422,15
0.52,0.823,0.298,15
0.6,1.105,0.4865,15
0.69,1.5715,0.6935,15
0.605,0.9365,0.394,15
0.595,0.975,0.358,15
0.555,1.092,0.416,15
0.45,0.525,0.2085,15
0.53,0.783,0.2935,15
