@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5-6,9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.475,0.5095,0.2165,9
0.525,0.6065,0.194,14
0.45,0.381,0.1705,9
0.355,0.2455,0.0955,11
0.705,1.7095,0.633,13
0.465,0.4795,0.227,8
0.39,0.203,0.0875,7
0.52,0.58,0.234,8
0.46,0.517,0.2205,9
0.545,0.802,0.2935,11
0.435,0.3635,0.136,9
0.435,0.3325,0.1485,9
0.545,0.6935,0.2975,11
0.36,0.1755,0.081,6
0.68,1.6185,0.5125,12
0.63,1.0525,0.392,12
0.615,1.1595,0.4845,13
0.61,1.0225,0.419,12
0.5,0.772,0.346,12
0.53,0.8155,0.2985,13
0.47,0.5175,0.187,11
0.425,0.3265,0.1285,10
0.275,0.1155,0.0485,7
0.565,0.9425,0.3495,17
0.52,0.895,0.3615,14
0.64,1.779,0.4535,22
0.53,0.699,0.288,10
0.54,0.996,0.3835,17
0.28,0.1065,0.039,4
0.3,0.121,0.0475,5
0.575,1.165,0.581,14
0.57,0.9535,0.4465,12
0.605,1.227,0.48,18
0.465,0.471,0.222,9
0.535,0.6765,0.256,12
0.435,0.4335,0.178,7
0.555,0.915,0.4,11
0.61,1.0915,0.3935,18
0.6,1.036,0.4375,20
0.645,1.2915,0.57,14
0.67,1.3905,0.5425,12
0.545,0.7715,0.272,10
0.63,1.0115,0.4235,12
0.585,0.908,0.381,13
0.55,0.92,0.378,11
0.625,1.369,0.5875,17
0.625,0.953,0.3445,15
0.625,1.1745,0.4385,17
0.275,0.094,0.0335,5
0.5,0.6265,0.2605,10
0.475,0.452,0.1715,11
0.41,0.363,0.1735,11
0.495,0.6655,0.284,11
0.52,0.6805,0.28,10
0.535,0.6995,0.2575,12
0.55,0.7135,0.2565,9
0.56,0.981,0.305,16
0.515,0.5555,0.2,12
0.525,0.658,0.2655,12
0.255,0.079,0.034,5
0.485,0.605,0.2155,15
0.49,0.573,0.225,21
0.485,0.5725,0.204,10
0.535,0.927,0.26,16
0.43,0.444,0.155,13
0.315,0.203,0.0615,11
0.295,0.1105,0.0405,7
0.485,0.547,0.215,10
0.62,1.5275,0.69,13
0.57,1.0615,0.348,15
0.505,0.6775,0.236,15
0.56,0.93,0.3505,13
0.505,0.6415,0.246,12
0.515,0.695,0.215,15
0.53,0.7155,0.2805,11
0.46,0.495,0.1655,10
0.255,0.088,0.0365,5
0.35,0.18,0.0655,6
0.41,0.394,0.208,6
0.415,0.3735,0.175,7
0.49,0.609,0.3065,8
0.55,1.0145,0.407,10
0.57,0.7535,0.349,10
0.605,1.1035,0.421,9
0.615,1.34,0.5315,12
0.62,1.307,0.6355,9
0.24,0.0665,0.031,3
0.325,0.187,0.0825,6
0.41,0.339,0.155,7
0.435,0.3925,0.1825,6
0.45,0.47,0.2355,7
0.45,0.447,0.2335,7
0.475,0.537,0.222,9
0.53,0.8495,0.328,8
0.535,0.8215,0.3935,8
0.55,0.8105,0.368,9
0.565,0.6975,0.3075,8
0.57,1.0635,0.5265,8
0.58,1.012,0.4985,10
0.595,1.044,0.518,9
0.64,1.4025,0.705,10
0.645,1.3385,0.633,11
0.65,1.622,0.6645,10
0.675,1.587,0.739,10
0.715,1.56,0.6655,11
0.225,0.059,0.027,4
0.285,0.096,0.0405,5
0.3,0.1255,0.055,6
0.385,0.2485,0.122,7
0.445,0.434,0.1945,7
0.475,0.4545,0.2165,7
0.575,0.847,0.415,9
0.615,1.0565,0.4815,10
0.64,1.369,0.632,10
0.655,1.31,0.553,11
0.665,1.2975,0.6035,9
0.7,1.6465,0.8545,9
0.72,1.9965,0.9035,10
0.72,1.187,0.691,8
0.25,0.0685,0.0295,5
0.31,0.1055,0.435,5
0.315,0.1145,0.046,5
0.43,0.378,0.175,8
0.455,0.372,0.358,8
0.515,0.6965,0.32,9
0.545,0.7715,0.372,8
0.565,0.796,0.3635,8
0.58,0.858,0.4,8
0.605,0.9025,0.432,11
0.615,1.004,0.4475,10
0.63,1.0605,0.5165,10
0.635,1.4595,0.705,9
0.675,1.7375,0.876,13
0.73,1.7375,0.6785,11
0.475,0.566,0.281,7
0.505,0.5525,0.239,9
0.52,0.559,0.254,8
0.59,0.9905,0.453,8
0.605,1.289,0.6,9
0.615,0.8425,0.353,8
0.705,1.675,0.797,10
0.305,0.1465,0.063,6
0.355,0.1985,0.0715,7
0.425,0.317,0.135,8
0.46,0.4,0.176,7
0.475,0.4905,0.205,8
0.495,0.602,0.2505,8
0.54,0.7205,0.2955,10
0.545,0.686,0.3285,9
0.545,0.717,0.358,8
0.55,0.639,0.269,9
