@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9'

@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.35,0.11,0.406,0.135,10
0.28,0.085,0.2905,0.115,7
0.55,0.175,1.798,0.455,19
0.475,0.155,1.217,0.34,16
0.15,0.05,0.042,0.015,4
0.39,0.12,0.5305,0.17,10
0.45,0.14,1.013,0.36,14
0.495,0.165,1.262,0.39,10
0.435,0.145,0.843,0.255,15
0.295,0.085,0.2535,0.085,7
0.26,0.09,0.1915,0.062,7
0.2,0.065,0.0975,0.028,7
0.515,0.19,1.3715,0.45,10
0.485,0.16,1.0565,0.355,10
0.405,0.13,0.722,0.21,10
0.45,0.16,0.922,0.26,15
0.3,0.12,0.324,0.11,7
0.305,0.13,0.32,0.105,8
0.175,0.065,0.0645,0.02,5
0.47,0.18,1.1235,0.36,13
0.415,0.17,0.879,0.285,10
0.28,0.105,0.234,0.075,9
0.455,0.155,0.8365,0.32,18
0.28,0.09,0.2255,0.09,8
0.6,0.195,1.974,0.71,16
0.45,0.195,1.0035,0.285,15
0.51,0.205,1.3475,0.48,14
0.515,0.17,1.275,0.34,16
0.48,0.15,1.029,0.295,16
0.42,0.145,0.791,0.25,10
0.38,0.145,0.5865,0.185,8
0.5,0.16,1.015,0.33,19
0.345,0.1,0.366,0.12,13
0.305,0.095,0.252,0.09,14
0.455,0.19,0.714,0.275,9
0.435,0.185,0.9815,0.39,13
0.455,0.185,0.9265,0.375,16
0.47,0.14,0.8375,0.24,11
0.28,0.105,0.199,0.08,9
0.185,0.07,0.0715,0.025,6
0.165,0.055,0.0545,0.02,5
0.125,0.05,0.0235,0.008,5
0.4,0.155,0.9325,0.3,17
0.46,0.13,0.921,0.29,13
0.51,0.155,1.2895,0.41,11
0.53,0.175,1.2635,0.415,15
0.44,0.18,0.854,0.245,12
0.445,0.155,0.8735,0.275,16
0.15,0.05,0.0385,0.01,3
0.355,0.13,0.458,0.13,13
0.515,0.16,1.1625,0.33,17
0.49,0.155,0.9885,0.345,13
0.4,0.145,0.66,0.22,13
0.32,0.115,0.387,0.0985,11
0.455,0.155,1.066,0.415,20
0.425,0.15,0.806,0.245,14
0.335,0.14,0.4625,0.15,14
0.29,0.115,0.25,0.075,9
0.495,0.145,1.054,0.36,12
0.355,0.14,0.433,0.152,12
0.225,0.075,0.1295,0.044,9
0.17,0.055,0.0515,0.0195,7
0.365,0.115,0.49,0.1335,9
0.35,0.12,0.4885,0.155,11
0.245,0.09,0.1665,0.06,6
0.425,0.155,0.9175,0.335,13
0.395,0.18,0.64,0.245,22
0.325,0.115,0.3865,0.11,11
0.4,0.13,0.8295,0.275,11
0.4,0.12,0.823,0.265,15
0.41,0.135,0.862,0.32,14
0.345,0.09,0.3795,0.125,10
0.385,0.14,0.6595,0.16,9
0.455,0.165,1.1365,0.275,13
0.34,0.135,0.462,0.12,9
0.335,0.11,0.394,0.122,9
0.4,0.125,0.759,0.24,15
0.395,0.13,0.7635,0.225,8
0.405,0.125,0.891,0.202,9
0.455,0.15,0.952,0.2745,9
0.495,0.175,1.29,0.3445,11
0.5,0.15,1.376,0.31,10
0.58,0.205,2.0805,0.601,17
0.525,0.155,1.4785,0.42,9
0.345,0.11,0.4415,0.12,7
0.365,0.12,0.612,0.14,8
0.39,0.13,0.674,0.1785,9
0.39,0.15,0.685,0.156,8
0.41,0.145,0.796,0.1955,8
0.39,0.155,0.7125,0.155,7
0.46,0.17,0.9035,0.214,7
0.46,0.18,1.0515,0.276,8
0.47,0.165,1.2315,0.2925,11
0.51,0.18,1.3315,0.388,11
0.495,0.16,1.304,0.3725,9
0.51,0.175,1.6525,0.403,10
0.475,0.18,1.3695,0.335,6
0.525,0.175,1.7005,0.405,8
0.155,0.04,0.0435,0.007,4
0.195,0.055,0.084,0.025,7
0.33,0.1,0.411,0.098,6
0.35,0.115,0.4155,0.1175,7
0.38,0.125,0.4845,0.142,6
0.375,0.14,0.5495,0.1585,7
0.39,0.125,0.5445,0.1405,7
0.38,0.115,0.5155,0.166,8
0.4,0.14,0.601,0.1835,9
0.395,0.12,0.608,0.1405,8
0.4,0.125,0.617,0.19,8
0.47,0.165,0.869,0.238,9
0.475,0.16,1.0265,0.2565,9
0.51,0.175,1.415,0.364,10
0.575,0.19,2.273,0.638,12
0.55,0.17,1.219,0.301,9
0.575,0.185,1.8795,0.4825,12
0.27,0.075,0.215,0.065,6
0.275,0.11,0.256,0.0755,6
0.27,0.1,0.2985,0.082,5
0.325,0.11,0.3335,0.1,7
0.33,0.105,0.448,0.12,9
0.345,0.105,0.4005,0.126,8
0.365,0.1,0.411,0.135,8
0.38,0.12,0.441,0.1505,8
0.365,0.1,0.461,0.135,8
0.405,0.13,0.6015,0.18,8
0.38,0.12,0.594,0.18,7
0.43,0.14,0.7665,0.23,9
0.45,0.145,0.751,0.2215,10
0.46,0.155,1.4395,0.2955,10
0.475,0.16,1.0505,0.285,10
0.48,0.155,1.014,0.325,11
0.47,0.16,1.0835,0.275,12
0.475,0.16,1.1295,0.33,10
0.505,0.175,1.15,0.3045,11
0.495,0.175,1.211,0.323,9
0.525,0.175,1.5365,0.405,11
0.51,0.17,1.567,0.391,10
0.52,0.19,1.4545,0.383,10
0.575,0.17,1.9335,0.51,13
0.355,0.11,0.436,0.125,8
0.355,0.12,0.3685,0.1365,6
