@relation abalone-weka.filters.unsupervised.attribute.Remove-V-R8-9

@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.15,15
0.012,5
0.22,8
0.17,8
0.32,12
0.26,10
0.48,14
0.075,7
0.175,9
0.41,17
0.048,7
0.2665,10
0.4465,16
0.335,9
0.31,12
0.44,13
0.65,20
0.285,8
0.075,7
0.05,8
0.3,10
0.31,13
0.245,15
0.0015,1
0.06,7
0.27,12
0.385,14
0.25,11
0.35,19
0.435,23
0.015,4
0.32,12
0.055,6
0.35,12
0.315,12
0.47,17
0.25,10
0.135,9
0.08,9
0.235,9
0.45,20
0.32,13
0.385,18
0.25,13
0.42,16
0.235,11
0.025,6
0.305,10
0.315,15
0.015,4
0.235,14
0.26,12
0.145,10
0.117,8
0.049,11
0.0155,7
0.25,12
0.12,9
0.26,10
0.27,10
0.435,19
0.081,10
0.16,14
0.06,7
0.295,17
0.295,11
0.175,13
0.1,10
0.39,15
0.41,15
0.335,16
0.32,14
0.085,8
0.195,13
0.117,11
0.09,7
0.0945,6
0.21,11
0.2375,10
0.3985,10
0.292,12
0.32,9
0.39,9
0.399,11
0.413,10
0.027,6
0.0445,7
0.055,6
0.115,7
0.185,8
0.18,7
0.2155,8
0.29,8
0.3295,10
0.405,10
0.401,9
0.4,8
0.3,10
0.385,10
0.4005,11
0.4045,12
0.067,6
0.0875,7
0.106,6
0.129,7
0.134,8
0.1525,9
0.15,8
0.218,9
0.23,9
0.224,8
0.245,10
0.265,7
0.225,10
0.285,9
0.332,9
0.286,8
0.4,10
0.5075,12
0.0215,4
0.058,6
0.06,7
0.065,8
0.067,8
0.12,7
0.114,9
0.1505,8
0.14,8
0.167,8
0.189,9
0.305,12
0.28,11
0.3035,10
0.321,9
0.3665,10
0.3925,10
0.461,9
0.195,12
0.067,7
0.0805,6
0.1175,6
0.147,7
0.1735,8
0.175,8
0.238,9
0.3465,10
0.305,9
0.41,11
0.395,11
0.05,5
0.07,7
0.076,8
0.11,7
0.105,6
0.147,10
0.15,8
0.15,8
0.1895,7
0.169,7
0.24,9
0.25,9
0.268,8
0.275,13
0.2285,10
0.265,8
0.2725,9
0.275,9
0.3345,9
0.295,9
0.48,9
0.33,9
0.391,11
0.425,12
0.3545,13
0.1125,6
0.143,7
0.182,8
0.252,8
0.3005,11
0.378,10
0.4425,11
0.06,7
0.11,6
0.1185,7
0.225,11
0.165,9
0.1695,9
0.265,11
0.2265,9
0.325,9
0.3535,10
0.375,11
0.49,10
0.046,6
0.167,9
0.2675,10
0.295,12
0.341,10
0.027,6
0.054,8
0.087,8
0.1795,8
0.22,8
0.462,12
0.045,5
0.0035,4
0.009,3
0.035,6
0.245,12
0.465,14
0.185,11
0.435,16
0.07,5
0.045,6
0.04,7
0.26,16
0.045,6
0.3,14
0.51,25
0.155,8
0.25,13
0.295,9
0.125,12
0.075,6
0.27,11
0.42,15
0.1,9
0.195,9
0.21,10
0.29,13
0.205,15
0.485,17
0.3,12
0.185,12
0.043,7
0.33,15
0.13,18
0.22,14
0.032,8
0.0225,5
0.011,4
0.27,13
0.07,8
0.34,13
0.3205,10
0.085,8
0.471,12
0.431,11
0.6095,14
0.1375,7
0.215,8
0.248,8
0.29,9
0.315,10
0.3385,10
0.38,11
0.35,8
0.015,4
0.103,6
0.2105,8
0.31,9
0.3935,13
0.4025,11
0.488,11
0.5285,11
0.031,5
0.0865,7
0.162,9
0.324,10
0.3115,12
0.3175,10
0.175,10
0.52,9
0.25,8
0.27,9
0.3,10
0.1765,10
0.2055,8
0.222,9
0.238,9
0.265,10
0.3745,9
0.398,12
0.317,11
0.425,9
0.109,8
0.177,8
0.416,10
0.437,13
0.07,6
0.18,8
0.159,8
0.235,9
0.291,11
0.29,11
0.3415,11
0.4625,13
0.032,5
0.1185,6
0.1385,8
0.223,9
0.2365,9
0.236,10
0.3245,11
0.1625,10
0.185,9
0.065,11
0.0185,5
0.175,9
0.295,15
0.285,14
0.235,11
0.17,8
0.24,7
0.2,14
0.07,9
0.21,13
0.465,16
0.115,9
0.315,18
0.175,12
0.165,7
0.29,17
0.25,18
0.315,14
0.178,11
0.39,13
0.1,11
0.175,11
0.225,10
0.2,13
0.1845,12
0.205,15
0.125,10
0.375,17
0.125,10
0.325,19
0.26,10
0.1,7
0.37,10
0.13,7
0.161,7
0.25,8
0.3455,10
0.475,11
0.1,7
0.2215,9
0.289,9
0.355,10
0.398,11
0.449,10
0.1315,7
0.2365,8
0.308,10
0.2365,9
0.238,10
0.259,9
0.39,11
0.3095,9
0.405,11
0.2065,9
0.215,9
0.31,11
0.044,5
0.055,6
0.195,11
0.247,9
0.239,8
0.332,11
0.35,10
0.36,11
0.4895,10
0.46,11
0.0465,5
0.311,9
0.165,8
0.37,11
0.235,14
0.055,8
0.205,11
0.27,16
0.1025,6
0.285,10
0.135,8
0.265,9
0.3,10
0.195,10
0.11,7
0.165,9
0.168,13
0.205,15
0.043,8
0.47,21
0.26,11
0.295,13
0.03,5
0.045,6
0.07,6
0.3725,9
0.305,12
0.055,7
0.109,7
0.182,11
0.236,10
0.1185,8
0.19,9
0.31,10
0.3705,12
0.475,11
0.086,7
0.3795,9
0.2,8
0.3315,9
0.185,9
0.26,10
0.263,10
0.271,9
0.365,13
