@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R8,12-13,15'

@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
1,2,43,1
1,2,470,1
1,2,140,0
0,2,320,0
1,2,330,1
0,2,80,0
0,2,112,0
1,2,434,1
0,2,454,0
0,2,280,0
1,2,0,1
1,2,75,0
1,2,340,1
1,2,100,1
1,2,130,0
1,2,240,1
1,2,0,1
0,2,164,1
0,2,280,0
0,1,340,0
1,1,280,0
0,2,720,0
1,2,50,1
1,2,0,1
1,2,96,1
0,2,231,0
0,2,0,0
0,2,80,0
1,2,0,1
0,2,96,0
0,2,225,0
1,2,0,1
0,2,220,0
1,2,0,1
0,2,160,0
0,2,0,0
1,1,120,1
0,2,0,0
1,2,204,1
0,2,145,0
0,1,711,1
1,2,80,1
0,2,0,0
0,2,272,0
1,2,371,1
1,2,274,1
0,2,200,0
1,2,432,1
1,2,32,1
0,2,221,0
0,2,200,0
0,2,108,0
1,2,0,1
0,2,320,0
0,2,340,0
1,2,80,1
0,2,360,0
0,2,180,0
0,2,144,0
1,2,0,1
1,1,0,0
0,2,465,0
0,1,400,0
1,2,80,1
1,1,280,1
1,2,380,1
0,2,200,0
0,2,372,0
1,2,120,1
