@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R8,14-15'

@attribute A8 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,376,0
0,28,0
1,301,1
0,1,0
0,1,1
1,1,1
0,5,0
1,601,1
0,106,0
1,1,1
0,1,0
1,100,1
1,1,1
1,2280,1
0,42,0
1,828,1
0,1,0
1,1,1
1,1,1
1,1098,1
0,3,0
1,1345,1
0,14,0
1,1066,1
1,11178,1
0,1,0
1,1,0
0,1301,0
1,743,1
1,348,0
1,1,0
0,1,0
0,2,0
1,1,0
1,24,1
1,1431,1
1,1392,1
0,1,0
0,3,0
0,68,0
0,238,0
0,3,0
0,1,0
1,1,0
0,1,0
1,2029,1
1,1,1
1,1,1
1,1,1
1,949,1
1,246,1
1,1,1
1,1,0
1,148,0
0,1,0
1,1,1
0,1,0
0,81,0
1,151,1
0,1,0
1,2733,1
0,45,0
