@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R5,7-9,13,15'

@attribute A5 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
8,425,1,1,312,1
9,2125,1,1,290,1
1,0,1,0,0,0
10,20,1,1,0,1
3,21,0,0,550,0
14,1,1,1,140,1
1,0,0,0,76,0
8,85,0,0,80,0
8,0,0,0,184,1
8,165,0,1,200,0
3,1585,0,1,400,0
11,1275,1,0,92,1
8,85,1,0,180,0
9,125,1,1,202,1
7,5,0,0,130,0
8,5,0,0,0,0
11,165,1,1,100,1
9,85,1,1,50,1
8,3335,0,1,180,0
10,0,0,0,100,0
1,15,0,0,180,0
14,125,1,1,480,1
5,0,1,0,100,0
4,0,0,0,100,0
8,1,0,0,120,0
4,85,0,0,356,0
2,165,0,0,120,0
13,2,1,0,100,0
11,15,1,1,80,1
11,8,1,1,0,1
14,875,1,0,360,1
10,13,1,1,0,1
1,0,0,1,200,0
8,5335,1,1,0,1
1,0,0,1,92,0
6,2,0,0,180,0
4,0,0,0,120,0
4,55,0,0,100,0
13,85,0,0,180,0
8,1,1,1,160,1
3,0,1,1,0,1
6,2,1,1,370,1
13,375,0,0,300,1
11,1,1,0,60,1
11,5,1,1,0,1
11,75,0,0,160,0
7,1165,0,0,28,0
9,75,1,1,240,1
3,1,0,0,360,0
3,225,1,0,0,1
14,1335,1,1,303,1
14,4,0,0,128,0
1,0,0,0,0,0
14,4,1,1,60,1
8,65,1,1,117,1
8,0,0,0,0,0
3,5,0,0,640,0
4,25,1,1,180,0
8,15,1,0,0,0
5,0,0,0,86,0
8,165,0,0,100,1
3,335,0,0,144,0
6,5,1,1,200,1
11,1585,1,0,120,1
6,165,0,0,220,0
8,5,0,0,0,0
13,4,1,0,80,1
3,335,0,0,0,0
10,4,0,1,560,1
