@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Engine-location {front,rear}
@attribute Wheel-base numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Bore numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,four,sedan,front,104.3,ohc,3.78,-2
volvo,four,sedan,front,104.3,ohc,3.62,-2
volvo,four,sedan,front,104.3,ohc,3.78,-2
toyota,four,hatchback,front,102.4,ohc,3.31,-1
dodge,four,wagon,front,103.3,ohc,3.34,-1
volvo,four,wagon,front,104.3,ohc,3.78,-1
toyota,four,sedan,front,104.5,dohc,3.27,-1
plymouth,four,wagon,front,103.3,ohc,3.35,-1
volvo,four,wagon,front,104.3,ohc,3.78,-1
volvo,four,wagon,front,104.3,ohc,3.62,-1
mercedes-benz,four,wagon,front,110,ohc,3.58,-1
toyota,four,sedan,front,102.4,ohc,3.27,-1
toyota,four,sedan,front,102.4,ohc,3.31,-1
volvo,four,sedan,front,109.1,ohc,3.78,-1
toyota,four,sedan,front,102.4,ohc,3.31,-1
mitsubishi,four,sedan,front,96.3,ohc,3.17,-1
volvo,four,sedan,front,109.1,ohcv,3.58,-1
mercedes-benz,four,sedan,front,115.6,ohc,3.58,-1
volvo,four,sedan,front,109.1,ohc,3.01,-1
mercedes-benz,four,sedan,front,110,ohc,3.58,-1
nissan,four,wagon,front,100.4,ohcv,3.43,0
honda,four,sedan,front,96.5,ohc,3.15,0
peugot,four,sedan,front,108,l,3.61,0
peugot,four,sedan,front,107.9,l,3.7,0
subaru,four,sedan,front,97,ohcf,3.62,0
honda,four,wagon,front,96.5,ohc,2.92,0
toyota,four,sedan,front,95.7,ohc,3.27,0
subaru,four,sedan,front,97,ohcf,3.62,0
nissan,four,sedan,front,97.2,ohc,3.33,0
toyota,four,hatchback,front,95.7,ohc,3.19,0
subaru,four,sedan,front,97.2,ohcf,3.62,0
bmw,four,sedan,front,101.2,ohc,3.5,0
subaru,four,wagon,front,97,ohcf,3.62,0
jaguar,four,sedan,front,113,dohc,3.63,0
peugot,four,sedan,front,107.9,l,3.46,0
peugot,four,sedan,front,107.9,l,3.46,0
subaru,four,sedan,front,97.2,ohcf,3.62,0
subaru,four,wagon,front,97,ohcf,3.62,0
toyota,four,sedan,front,95.7,ohc,3.19,0
toyota,four,hatchback,front,95.7,ohc,3.19,0
honda,four,sedan,front,96.5,ohc,2.91,0
nissan,four,sedan,front,100.4,ohcv,3.43,0
toyota,four,wagon,front,95.7,ohc,3.05,0
bmw,four,sedan,front,101.2,ohc,3.31,0
nissan,four,hatchback,front,97.2,ohc,3.33,0
chevrolet,four,sedan,front,94.5,ohc,3.03,0
mazda,four,sedan,front,98.8,ohc,3.39,0
toyota,four,sedan,front,95.7,ohc,3.19,0
honda,four,sedan,front,96.5,ohc,3.15,0
honda,two,hatchback,front,96.5,ohc,3.15,0
subaru,four,wagon,front,96.9,ohcf,3.62,0
mazda,four,hatchback,front,98.8,ohc,3.39,0
subaru,four,wagon,front,96.9,ohcf,3.62,0
nissan,four,sedan,front,100.4,ohcv,3.43,0
mazda,four,sedan,front,98.8,ohc,3.39,0
peugot,four,sedan,front,107.9,l,3.7,0
subaru,four,sedan,front,97.2,ohcf,3.62,0
honda,four,sedan,front,96.5,ohc,3.15,0
peugot,four,sedan,front,107.9,l,3.7,0
bmw,two,sedan,front,101.2,ohc,3.31,0
honda,two,hatchback,front,96.5,ohc,3.15,0
mercedes-benz,two,hardtop,front,106.7,ohc,3.58,0
toyota,four,sedan,front,95.7,ohc,3.19,0
toyota,two,hatchback,front,95.7,ohc,3.05,1
toyota,two,hatchback,front,94.5,ohc,3.19,1
dodge,four,sedan,front,93.7,ohc,2.97,1
nissan,two,hatchback,front,94.5,ohc,3.15,1
plymouth,two,hatchback,front,93.7,ohc,2.97,1
mazda,two,hatchback,front,93.1,ohc,3.03,1
