@relation crx

@attribute A5 {g,p,gg}
@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
g,f,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
p,t,positive
p,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
gg,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
p,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
p,f,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
gg,f,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
p,f,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,f,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
g,f,positive
p,t,positive
p,f,positive
p,t,positive
p,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
g,t,positive
p,t,positive
g,t,positive
p,t,positive
g,t,positive
g,f,negative
g,f,negative
g,f,negative
g,t,negative
g,f,negative
g,f,negative
p,f,negative
g,f,negative
g,t,negative
p,f,negative
p,f,negative
g,f,negative
g,t,negative
g,t,negative
g,f,negative
g,f,negative
g,f,negative
g,t,negative
p,f,negative
p,f,negative
g,f,negative
g,f,negative
g,t,negative
g,f,negative
g,t,negative
g,f,negative
p,f,negative
g,f,negative
g,t,negative
g,f,negative
p,f,negative
g,f,negative
p,f,negative
g,f,negative
g,f,negative
p,f,negative
g,f,negative
p,f,negative
g,f,negative
