@relation crx

@attribute A14 numeric
@attribute A15 numeric
@attribute Class {positive,negative}

@data
80,9800,positive
80,0,positive
260,0,positive
0,15,positive
0,1000,positive
0,1400,positive
274,610,positive
0,0,positive
440,11177,positive
80,0,positive
160,5777,positive
0,582,positive
340,0,positive
99,500,positive
0,0,positive
80,0,positive
0,134,positive
500,1,positive
120,2079,positive
383,1344,positive
120,2206,positive
100,150,positive
300,551,positive
100,0,positive
432,8000,positive
181,0,positive
380,0,positive
520,2000,positive
410,2510,positive
360,1332,positive
200,3000,positive
0,0,positive
0,284,positive
30,300,positive
186,4700,positive
100,0,positive
515,500,positive
300,0,positive
0,0,positive
60,58,positive
253,857,positive
0,3000,positive
399,827,positive
0,1200,positive
168,0,positive
349,23,positive
0,0,positive
29,837,positive
280,2000,positive
228,0,positive
840,59,positive
330,1200,positive
300,162,positive
510,600,positive
49,0,positive
144,7,positive
110,0,positive
431,0,positive
0,6590,positive
0,11202,positive
80,400,positive
0,0,positive
280,0,positive
100,375,positive
0,790,positive
80,278,positive
0,300,positive
200,300,positive
154,0,positive
350,0,positive
240,0,positive
0,0,positive
40,28,positive
375,51100,positive
40,0,positive
232,100,positive
60,2184,positive
120,0,positive
100,0,positive
24,2028,positive
0,2300,positive
100,0,positive
200,327,positive
0,0,positive
450,100000,positive
195,0,positive
96,0,positive
480,0,positive
160,300,positive
0,0,positive
0,0,positive
93,0,positive
0,247,positive
60,396,positive
380,500,positive
80,918,positive
0,0,positive
280,0,positive
100,0,positive
100,809,positive
220,948,positive
393,0,positive
340,4071,positive
202,0,positive
396,0,positive
0,456,positive
80,1349,positive
232,113,positive
160,2072,positive
0,500,positive
395,20,positive
0,0,positive
120,567,positive
43,560,positive
260,15108,positive
420,7,positive
520,196,positive
0,5000,positive
100,960,positive
370,0,positive
108,1097,positive
434,35,positive
455,1236,positive
0,8851,positive
140,258,positive
80,99,positive
60,540,positive
371,0,positive
519,1704,positive
96,5124,positive
160,1,positive
0,0,positive
0,0,positive
520,50000,positive
120,300,positive
400,0,positive
120,11,positive
560,0,positive
0,0,positive
0,0,positive
422,200,positive
0,99,positive
0,1249,positive
300,44,positive
330,0,positive
0,2690,positive
260,800,positive
100,6,positive
300,1430,positive
180,314,positive
408,1000,positive
303,3290,positive
0,0,positive
333,892,positive
100,0,positive
150,8,positive
180,18027,positive
160,150,positive
160,5860,positive
120,0,positive
100,0,positive
70,0,positive
0,3065,positive
0,0,positive
156,0,positive
80,300,positive
200,0,positive
120,14,positive
80,500,positive
50,1465,positive
100,0,positive
470,0,positive
400,5800,positive
120,1000,positive
0,15,positive
240,100,positive
0,2283,positive
200,1208,positive
0,1000,positive
220,19,positive
140,7544,positive
290,284,positive
0,1602,positive
120,245,positive
22,0,positive
300,0,positive
381,168,positive
0,3000,positive
0,6700,positive
370,560,positive
0,0,positive
0,500,positive
204,0,positive
40,600,positive
200,1000,positive
311,300,positive
80,0,positive
487,500,positive
0,3376,positive
0,1000,positive
225,0,positive
80,0,positive
260,200,positive
200,40,positive
0,0,positive
60,158,positive
117,1210,positive
140,2384,positive
0,221,positive
0,0,positive
0,15000,positive
0,560,positive
0,0,positive
181,0,positive
239,200,positive
0,321,positive
0,0,positive
0,367,positive
352,690,positive
0,0,positive
121,0,positive
440,6,positive
0,109,positive
312,0,positive
711,0,positive
312,150,positive
