@relation crx

@attribute A3 numeric
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
11835,h,t,f,340,positive
5,h,t,t,0,positive
146,v,t,t,120,positive
2415,v,t,t,200,positive
954,v,t,f,100,positive
11,h,t,t,0,positive
621,v,t,t,200,positive
10,v,t,t,0,positive
83,v,t,t,303,positive
2875,h,t,f,360,positive
75,h,t,t,312,positive
304,h,t,t,180,positive
229,h,t,t,140,positive
13,bb,t,t,0,positive
25,v,t,t,60,positive
165,n,f,f,200,positive
375,v,t,t,80,positive
5,h,t,f,320,positive
1225,v,t,t,200,positive
915,v,t,t,0,positive
425,bb,t,t,274,positive
846,v,f,f,164,positive
6,v,t,t,108,positive
0,bb,f,f,500,positive
105,v,t,f,0,positive
29,h,t,t,100,positive
425,v,t,f,225,positive
11,z,t,t,22,positive
15,h,t,t,0,positive
9,v,t,t,120,positive
375,ff,f,f,300,positive
604,v,f,f,0,positive
6,v,t,t,0,positive
9,v,t,f,0,positive
95,v,t,f,120,positive
16165,v,t,t,250,positive
15,h,t,t,200,positive
145,h,t,t,120,positive
115,ff,t,t,0,positive
195,v,t,t,0,positive
25,h,t,t,160,positive
5,h,t,f,491,positive
375,v,t,t,260,positive
5625,v,t,f,120,positive
13915,v,t,t,70,positive
95,v,t,t,240,positive
375,v,f,f,300,positive
9625,v,t,t,0,positive
58,v,t,t,96,positive
5125,v,t,t,420,positive
9,v,t,t,88,positive
45,h,f,f,711,positive
15,v,t,t,0,positive
1125,v,f,f,431,positive
54,v,t,t,200,positive
0,v,t,f,0,positive
5,v,t,t,312,positive
165,v,t,f,21,positive
675,h,t,t,0,positive
2,v,t,t,0,positive
1254,v,t,t,156,positive
75,bb,t,f,349,positive
9415,ff,t,t,30,positive
165,ff,t,t,232,positive
304,h,t,t,70,positive
25125,h,t,t,515,positive
446,h,t,t,43,positive
704,v,t,t,360,positive
115,h,t,t,290,positive
35,v,t,f,280,positive
254,v,t,f,370,positive
85,h,t,t,181,positive
65,h,t,t,93,positive
6625,v,t,f,100,positive
529,dd,t,t,99,positive
35,v,t,t,0,positive
83,h,f,f,128,positive
5875,v,t,t,120,positive
585,v,t,t,260,positive
2229,z,t,t,0,positive
204,h,t,t,455,positive
185,bb,t,t,0,positive
5,v,t,t,0,positive
35,v,t,f,230,positive
1835,h,t,f,260,positive
4415,v,t,t,320,positive
15,v,t,t,0,positive
10,h,t,f,29,positive
1375,v,t,f,487,positive
479,v,t,t,80,positive
5,bb,t,t,0,positive
8,v,t,t,0,positive
105,v,t,t,0,positive
1835,v,t,t,100,positive
