@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
43,48,52,cp
25,48,5,cp
34,48,56,cp
52,48,38,cp
34,48,46,cp
54,48,42,cp
38,48,31,cp
61,48,44,cp
21,48,41,cp
47,48,25,cp
32,48,38,cp
32,48,2,cp
35,48,43,cp
16,48,37,cp
4,48,27,cp
41,48,51,cp
3,48,32,cp
56,48,46,cp
31,48,39,cp
31,48,14,cp
64,48,38,cp
57,48,33,cp
42,48,43,cp
61,48,41,cp
49,48,35,cp
17,48,39,cp
42,48,27,cp
23,48,37,cp
35,48,27,cp
36,48,54,cp
25,48,42,cp
23,48,59,cp
41,48,31,cp
34,48,44,cp
4,48,47,cp
36,48,46,cp
21,48,39,cp
51,48,45,cp
36,48,23,cp
3,48,3,cp
24,48,4,cp
44,48,2,cp
37,48,36,cp
44,48,43,cp
38,48,29,cp
51,48,26,cp
29,48,5,cp
44,48,54,cp
22,48,47,cp
33,48,41,cp
38,48,28,cp
34,48,43,cp
26,48,41,cp
23,48,35,cp
53,48,36,cp
25,48,29,cp
5,48,53,cp
34,48,44,cp
51,48,35,cp
52,48,42,cp
33,48,29,cp
23,48,38,cp
43,48,39,cp
4,48,33,cp
25,48,52,cp
53,48,39,cp
37,48,47,cp
29,48,17,cp
25,48,36,cp
2,48,57,cp
49,48,4,cp
7,48,44,cp
3,48,49,cp
47,48,26,cp
67,48,46,cp
22,48,39,cp
44,48,61,cp
27,48,39,cp
4,48,44,cp
42,48,3,cp
41,48,32,cp
4,48,39,cp
23,48,43,cp
48,48,35,cp
17,48,46,cp
43,48,44,cp
51,48,43,cp
4,48,0,cp
59,48,36,cp
51,48,41,cp
39,48,43,cp
44,48,58,cp
18,48,35,cp
28,48,42,cp
42,48,36,cp
52,48,54,cp
36,48,53,cp
3,48,23,cp
44,48,4,cp
24,48,59,cp
5,48,34,cp
34,48,41,cp
24,48,31,cp
24,48,38,cp
3,48,33,cp
38,48,35,cp
28,48,33,cp
43,48,41,cp
27,48,43,cp
65,48,4,cp
36,48,41,cp
25,48,42,cp
29,48,34,cp
29,48,46,cp
17,48,5,cp
22,48,28,cp
41,48,25,cp
34,48,44,cp
37,48,45,cp
25,48,42,cp
44,48,37,cp
34,48,35,cp
44,48,36,cp
35,48,48,cp
42,48,37,cp
41,48,41,cp
56,48,46,cp
4,48,44,cp
69,48,79,im
33,48,89,im
83,48,74,im
54,48,88,im
58,48,74,im
52,48,79,im
31,48,85,im
11,48,68,im
61,48,88,im
71,48,99,im
63,48,66,im
64,48,73,im
71,48,74,im
36,48,72,im
12,48,74,im
6,48,37,im
6,48,71,im
63,48,84,im
47,48,79,im
0,48,44,im
41,48,78,im
59,48,82,im
4,48,84,im
36,48,17,im
23,48,89,im
39,48,75,im
89,48,76,im
2,48,81,im
33,48,8,im
48,48,71,im
1,48,21,im
61,48,52,im
84,48,74,im
31,48,94,im
74,48,69,im
58,48,81,im
66,48,66,im
49,48,81,im
51,48,67,im
52,48,73,im
55,48,8,im
73,48,92,im
72,48,7,im
35,48,74,im
33,48,69,im
43,48,78,im
61,48,32,im
7,48,83,im
37,48,79,im
54,48,83,im
46,48,23,im
31,48,82,im
44,48,54,im
6,48,83,im
47,48,75,im
29,48,69,im
48,48,88,im
12,48,63,im
3,48,34,im
5,48,92,im
6,1,8,im
34,48,8,im
27,48,79,im
45,48,77,im
63,48,86,im
5,48,66,im
5,48,69,im
63,48,81,im
74,48,89,im
34,48,9,im
63,48,79,imS
7,1,84,imL
75,1,3,imL
66,48,74,imU
57,48,33,imU
81,48,88,imU
59,48,77,imU
73,48,78,imU
64,48,66,imU
86,48,9,imU
63,48,8,imU
72,48,79,imU
75,48,74,imU
88,48,75,imU
47,48,77,imU
58,48,76,imU
81,48,68,imU
64,48,76,imU
49,1,74,imU
7,48,87,imU
76,48,75,imU
78,48,68,imU
84,48,7,imU
83,48,79,imU
86,48,83,imU
77,48,74,imU
87,48,79,imU
78,48,79,imU
62,48,81,imU
76,48,62,imU
69,48,77,imU
67,48,68,imU
81,48,8,imU
79,48,83,imU
84,48,74,imU
52,48,38,om
75,48,3,om
67,48,37,om
6,1,52,om
61,48,33,om
67,48,25,om
69,48,21,om
68,48,3,om
74,48,15,om
77,48,2,om
73,48,29,om
64,48,26,om
65,48,33,om
78,48,29,om
63,48,28,om
63,48,28,om
74,48,29,om
68,48,27,om
66,1,36,omL
71,1,3,omL
77,1,1,omL
68,1,28,omL
71,48,32,pp
69,48,26,pp
68,48,42,pp
64,48,44,pp
68,48,34,pp
74,48,52,pp
75,48,33,pp
56,48,3,pp
64,48,4,pp
63,48,35,pp
29,48,48,pp
32,48,38,pp
63,48,49,pp
7,48,47,pp
68,48,56,pp
67,48,23,pp
73,48,31,pp
62,48,4,pp
7,48,43,pp
63,48,34,pp
74,48,42,pp
67,48,38,pp
62,48,54,pp
65,48,51,pp
43,48,56,pp
66,48,43,pp
72,48,21,pp
67,48,33,pp
59,48,37,pp
67,48,25,pp
69,48,41,pp
64,48,38,pp
7,48,85,pp
71,48,39,pp
74,48,3,pp
76,48,39,pp
63,48,2,pp
66,48,35,pp
64,48,19,pp
61,48,38,pp
63,48,29,pp
69,48,52,pp
69,48,24,pp
71,48,32,pp
64,48,2,pp
63,48,39,pp
69,48,25,pp
