@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2,6,10-11,14,21'

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
36,A61,A101,2,A142,1
18,A61,A101,2,A143,1
24,A61,A101,4,A143,1
12,A64,A101,1,A143,1
36,A61,A101,4,A142,2
36,A62,A101,4,A143,2
24,A65,A102,4,A143,1
24,A65,A101,2,A143,1
27,A64,A101,2,A143,1
27,A61,A101,2,A143,1
11,A64,A101,1,A143,1
12,A62,A101,4,A141,2
27,A61,A101,4,A142,2
12,A61,A101,2,A143,1
12,A61,A101,2,A143,1
15,A65,A101,4,A143,1
48,A62,A101,4,A143,1
12,A65,A101,4,A143,1
6,A61,A101,4,A143,1
48,A63,A101,2,A141,2
9,A61,A101,4,A143,1
12,A61,A101,3,A141,2
30,A61,A101,2,A143,2
24,A61,A101,4,A143,1
9,A61,A101,2,A143,2
36,A61,A101,2,A143,2
24,A61,A101,2,A141,2
24,A65,A101,4,A143,1
12,A65,A101,2,A143,1
12,A65,A101,4,A143,1
18,A61,A101,2,A143,1
36,A61,A103,2,A143,1
9,A61,A101,3,A143,2
30,A64,A101,4,A143,1
10,A62,A101,2,A143,1
24,A65,A101,1,A143,1
6,A61,A101,4,A143,1
48,A61,A101,4,A141,2
18,A61,A101,1,A142,1
30,A65,A101,4,A143,2
48,A61,A101,2,A143,2
24,A61,A101,4,A143,2
15,A65,A101,4,A141,1
48,A65,A101,2,A141,2
12,A61,A101,1,A143,1
18,A61,A101,4,A143,2
18,A61,A101,1,A143,1
12,A61,A101,4,A143,2
12,A61,A101,4,A143,1
30,A64,A101,2,A142,1
48,A61,A101,1,A142,1
72,A62,A101,2,A143,2
30,A62,A101,2,A142,1
27,A61,A101,1,A143,1
12,A61,A101,3,A143,2
6,A61,A101,4,A143,2
24,A64,A101,4,A143,1
6,A61,A101,3,A143,1
12,A61,A101,3,A143,2
15,A65,A101,4,A143,1
30,A61,A101,4,A143,2
24,A65,A101,4,A143,1
9,A65,A101,2,A143,1
18,A61,A103,4,A141,1
12,A65,A101,4,A143,1
6,A61,A101,3,A143,1
8,A61,A101,2,A143,1
6,A61,A101,2,A143,1
8,A61,A101,4,A143,1
18,A61,A101,2,A143,1
24,A65,A101,4,A143,1
12,A61,A101,4,A141,2
18,A61,A101,4,A141,1
24,A65,A101,4,A143,1
10,A65,A101,3,A143,1
15,A61,A101,2,A143,1
24,A64,A101,2,A143,1
18,A61,A101,1,A142,1
36,A65,A101,2,A143,1
12,A61,A101,4,A143,1
30,A65,A101,3,A143,1
18,A61,A101,4,A143,1
18,A65,A101,3,A143,1
21,A61,A101,4,A143,1
15,A65,A101,4,A141,1
36,A65,A101,4,A143,1
21,A65,A102,2,A143,1
15,A61,A101,2,A143,1
11,A64,A101,2,A143,1
24,A61,A101,1,A141,2
9,A61,A101,1,A143,1
24,A63,A101,4,A143,2
28,A61,A101,2,A143,2
15,A65,A101,2,A143,1
42,A65,A101,4,A143,1
24,A61,A102,4,A143,2
60,A61,A102,4,A143,2
13,A62,A101,4,A143,1
45,A61,A101,4,A143,2
45,A62,A101,4,A143,1
