@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,A61,A121,44,A191,1
A14,A65,A123,58,A192,1
A14,A61,A123,64,A192,1
A14,A61,A121,24,A191,1
A12,A61,A122,26,A191,1
A14,A65,A124,29,A191,1
A14,A65,A121,26,A191,1
A11,A61,A121,39,A191,1
A14,A61,A121,36,A191,1
A12,A61,A122,27,A191,1
A14,A64,A123,27,A191,1
A12,A61,A121,33,A192,1
A14,A65,A124,36,A191,1
A11,A61,A121,47,A191,1
A12,A61,A121,25,A191,1
A11,A62,A122,43,A192,1
A14,A65,A124,36,A191,1
A14,A61,A123,27,A191,1
A12,A61,A121,23,A191,1
A13,A61,A123,23,A191,1
A14,A61,A123,24,A191,1
A11,A65,A123,39,A192,1
A14,A61,A123,32,A191,1
A12,A61,A121,32,A191,1
A14,A65,A121,46,A192,1
A14,A63,A123,24,A191,1
A14,A61,A124,54,A191,1
A14,A61,A121,23,A191,1
A14,A61,A123,32,A192,1
A14,A61,A121,26,A191,1
A12,A65,A123,24,A192,1
A13,A61,A123,44,A192,1
A12,A61,A123,34,A192,1
A11,A61,A123,28,A191,1
A14,A61,A124,62,A192,1
A13,A61,A122,47,A191,1
A14,A65,A121,31,A191,1
A11,A63,A121,22,A192,1
A14,A61,A123,35,A192,1
A13,A62,A121,49,A191,1
A12,A64,A121,20,A191,1
A14,A62,A122,27,A191,1
A14,A62,A121,21,A192,1
A13,A61,A122,23,A191,1
A14,A65,A121,21,A192,1
A12,A61,A122,54,A191,1
A14,A65,A123,50,A192,1
A14,A64,A123,34,A191,1
A11,A61,A123,27,A191,1
A11,A62,A121,26,A192,1
A12,A61,A122,47,A191,1
A12,A65,A122,39,A191,1
A14,A61,A121,23,A192,1
A12,A65,A121,50,A192,1
A14,A61,A122,51,A191,1
A14,A61,A123,37,A192,1
A14,A61,A122,21,A191,1
A12,A61,A122,48,A191,1
A11,A63,A121,22,A192,1
A11,A61,A122,25,A191,1
A11,A61,A123,27,A191,1
A14,A64,A123,38,A192,1
A14,A65,A121,64,A191,1
A14,A64,A121,60,A192,1
A14,A61,A121,50,A191,1
A14,A63,A123,52,A192,1
A11,A61,A121,27,A191,1
A13,A65,A123,31,A192,1
A14,A61,A123,50,A192,1
A12,A61,A123,31,A191,1
A11,A64,A122,31,A191,1
A14,A61,A121,74,A192,1
A14,A61,A123,38,A191,1
A14,A61,A123,46,A192,1
A14,A64,A121,33,A191,1
A14,A65,A123,25,A191,1
A14,A61,A123,38,A191,1
A14,A65,A123,59,A192,1
A14,A64,A124,23,A192,1
A14,A61,A121,42,A191,1
A14,A61,A123,33,A191,1
A12,A65,A124,38,A192,1
A14,A61,A121,33,A191,1
A14,A64,A121,61,A191,1
A11,A61,A123,22,A191,1
A11,A62,A123,24,A191,1
A14,A61,A123,25,A191,1
A14,A61,A122,38,A192,1
A14,A65,A123,30,A192,1
A14,A61,A121,32,A191,1
A11,A61,A121,52,A191,1
A11,A65,A123,23,A192,1
A14,A61,A121,61,A191,1
A12,A62,A123,30,A191,1
A14,A65,A121,38,A192,1
A12,A61,A122,22,A191,1
A14,A61,A121,26,A191,1
A14,A61,A124,47,A192,1
A14,A61,A121,43,A192,1
A14,A61,A123,33,A192,1
A14,A61,A123,35,A192,1
A12,A62,A121,22,A191,1
A11,A61,A121,36,A191,1
A14,A65,A123,54,A192,1
A13,A64,A121,27,A191,1
A12,A61,A121,49,A191,1
A14,A65,A122,46,A192,1
A14,A61,A123,31,A191,1
A14,A65,A122,25,A191,1
A14,A62,A123,31,A191,1
A14,A62,A122,26,A191,1
A14,A65,A122,37,A191,1
A14,A61,A123,39,A192,1
A11,A65,A121,27,A191,1
A11,A61,A123,23,A191,1
A11,A61,A122,30,A191,1
A12,A62,A123,38,A192,1
A13,A61,A123,36,A192,1
A14,A65,A121,23,A191,1
A14,A62,A121,64,A191,1
A14,A61,A124,32,A191,1
A14,A61,A121,32,A191,1
A12,A61,A121,49,A192,1
A12,A61,A123,24,A191,1
A14,A61,A123,54,A192,1
A14,A61,A124,44,A191,1
A11,A61,A121,25,A191,1
A14,A65,A121,32,A192,1
A12,A64,A123,34,A192,1
A12,A61,A121,28,A191,1
A14,A62,A123,52,A191,1
A12,A65,A123,42,A192,1
A14,A62,A121,34,A191,1
A11,A61,A122,46,A192,1
A14,A65,A123,40,A192,1
A14,A63,A124,32,A192,1
A14,A61,A123,24,A192,1
A14,A64,A121,37,A192,1
A13,A61,A121,26,A191,1
A12,A65,A122,48,A192,1
A13,A61,A122,33,A191,1
A12,A62,A121,23,A191,1
A14,A65,A121,36,A191,1
A12,A61,A123,68,A192,1
A11,A64,A123,29,A191,1
A11,A61,A124,39,A192,1
A14,A61,A122,28,A191,1
A14,A62,A122,35,A191,1
A14,A65,A122,29,A192,1
A12,A61,A123,20,A192,1
A14,A65,A122,48,A192,1
A14,A65,A123,61,A191,1
A12,A61,A123,28,A192,1
A13,A61,A123,37,A192,1
A12,A61,A123,32,A191,1
A14,A61,A123,34,A192,1
A14,A65,A121,49,A192,1
A12,A61,A121,26,A192,1
A14,A64,A121,43,A191,1
A14,A63,A122,50,A191,1
A14,A64,A123,20,A191,1
A14,A65,A121,33,A191,1
A14,A63,A122,42,A192,1
A11,A62,A121,48,A191,1
A12,A61,A121,20,A191,1
A12,A61,A124,24,A192,1
A14,A61,A121,39,A192,1
A13,A61,A124,63,A192,1
A12,A62,A123,31,A191,1
A11,A63,A123,52,A191,1
A13,A64,A121,36,A192,1
A14,A61,A123,27,A191,1
A13,A61,A123,24,A191,1
A14,A65,A122,53,A191,1
A11,A61,A122,37,A191,1
A14,A61,A121,43,A192,1
A11,A61,A122,37,A191,1
A13,A61,A124,56,A191,1
A11,A61,A123,28,A191,1
A12,A61,A123,32,A191,1
A14,A65,A122,40,A192,1
A12,A65,A123,24,A191,1
A11,A61,A121,48,A191,1
A11,A61,A122,21,A191,1
A11,A61,A122,28,A192,1
A13,A65,A121,55,A192,1
A14,A61,A122,22,A191,1
A14,A61,A121,30,A191,1
A13,A61,A124,51,A191,1
A12,A61,A123,33,A191,1
A14,A63,A123,24,A191,1
A11,A61,A121,58,A192,1
A14,A65,A123,26,A191,1
A14,A65,A123,51,A192,1
A14,A61,A121,26,A192,1
A12,A65,A123,26,A191,1
A14,A63,A123,28,A191,1
A14,A62,A123,31,A192,1
A11,A61,A124,38,A192,1
A13,A62,A123,28,A192,1
A14,A65,A123,31,A192,1
A14,A61,A121,50,A191,1
A12,A61,A124,70,A192,1
A12,A62,A123,36,A192,1
A14,A61,A124,28,A192,1
A14,A65,A122,39,A191,1
A12,A61,A122,32,A192,1
A14,A61,A122,27,A191,1
A12,A62,A123,37,A192,1
A14,A65,A122,31,A192,1
A14,A61,A122,35,A191,1
A12,A61,A121,40,A191,1
A14,A64,A121,50,A192,1
A14,A61,A121,27,A191,1
A14,A65,A121,45,A192,1
A14,A61,A124,29,A192,1
A11,A61,A121,59,A191,1
A14,A63,A123,31,A191,1
A14,A65,A122,32,A191,1
A13,A61,A121,46,A191,1
A11,A61,A122,29,A191,1
A12,A61,A121,31,A192,1
