@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-6,18,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
10,A34,A40,2241,A61,2,1
7,A32,A43,2415,A61,1,1
45,A34,A43,4746,A61,1,2
7,A34,A43,730,A65,1,1
18,A34,A42,1295,A61,1,1
12,A34,A41,1409,A61,1,1
6,A33,A43,932,A61,1,1
12,A32,A41,2445,A65,1,1
42,A32,A43,7174,A65,1,2
12,A34,A40,2121,A61,1,1
48,A32,A40,8487,A65,1,1
48,A31,A49,3566,A62,1,1
21,A33,A46,3414,A61,1,2
6,A32,A43,2108,A61,1,1
24,A32,A41,2760,A65,1,1
12,A32,A40,1168,A61,1,1
30,A34,A41,10623,A61,2,1
36,A32,A43,3835,A65,1,1
36,A34,A43,3342,A65,1,1
6,A34,A48,932,A65,1,1
10,A32,A40,1364,A61,1,1
12,A32,A43,707,A61,1,1
6,A30,A40,1204,A62,1,1
30,A32,A40,2150,A61,1,2
15,A32,A41,3812,A62,1,1
12,A34,A46,2748,A61,1,1
15,A32,A43,802,A61,2,2
12,A32,A49,1076,A61,1,1
48,A34,A49,7629,A65,2,1
10,A32,A40,1287,A65,1,1
24,A34,A40,1344,A65,2,2
12,A32,A43,727,A62,1,2
15,A32,A44,1275,A65,1,2
10,A32,A40,3949,A61,2,1
24,A32,A43,3758,A63,1,1
6,A32,A42,1766,A61,1,1
20,A32,A42,2212,A65,1,1
18,A32,A41,12976,A61,1,2
30,A33,A49,4272,A62,1,1
24,A34,A43,1516,A64,1,1
36,A32,A40,1842,A61,1,2
24,A32,A40,4817,A61,1,2
12,A32,A48,754,A65,1,1
48,A33,A43,7238,A65,2,1
24,A32,A43,5152,A61,1,1
27,A30,A49,8318,A61,1,2
24,A32,A42,2996,A65,1,2
6,A34,A40,1323,A62,2,1
9,A32,A43,1126,A62,1,1
15,A34,A46,1532,A62,1,1
24,A32,A43,3105,A65,1,1
18,A34,A42,3612,A61,1,1
24,A32,A43,1552,A61,2,1
24,A33,A49,4712,A65,1,1
12,A34,A40,3124,A61,2,1
12,A34,A43,385,A61,1,1
6,A31,A40,931,A62,1,2
21,A34,A49,3652,A61,1,1
18,A34,A40,1530,A61,1,2
24,A32,A40,1355,A61,1,2
42,A33,A43,4370,A61,2,2
21,A33,A49,2580,A63,2,2
24,A32,A43,2284,A61,1,1
18,A34,A43,1800,A61,1,1
21,A32,A41,2476,A65,1,1
30,A34,A43,3077,A65,2,1
27,A32,A40,2570,A61,1,2
48,A31,A49,6416,A61,1,2
18,A32,A40,4380,A62,2,1
6,A32,A42,428,A61,1,1
24,A32,A40,1285,A65,1,2
12,A32,A43,2214,A61,1,1
24,A32,A42,3062,A63,1,1
12,A32,A40,7472,A65,1,1
36,A32,A40,9271,A61,1,2
42,A31,A41,9283,A61,1,1
15,A30,A40,1778,A61,1,2
48,A32,A44,3051,A61,1,2
36,A32,A410,15857,A61,1,1
21,A34,A40,1602,A61,1,1
36,A32,A41,8335,A65,1,2
24,A33,A49,2375,A63,2,1
18,A32,A45,1943,A61,1,2
12,A32,A43,709,A61,1,2
10,A32,A42,2210,A61,1,2
12,A31,A40,697,A61,1,2
48,A32,A41,10297,A61,2,2
6,A32,A45,454,A61,1,1
30,A32,A43,1715,A65,1,1
15,A32,A43,3568,A61,1,1
11,A34,A40,3939,A61,2,1
15,A32,A45,1514,A62,1,1
24,A32,A43,1258,A63,1,1
18,A33,A49,2427,A65,1,1
24,A34,A42,2028,A61,1,1
42,A30,A49,6289,A61,1,1
12,A34,A46,3565,A65,2,1
15,A31,A43,1569,A62,2,1
36,A32,A42,3959,A61,1,1
30,A32,A41,3857,A61,1,1
