@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,A65,36,2,2,1
A14,A61,38,1,1,1
A12,A62,36,1,1,1
A11,A61,24,1,1,1
A13,A61,23,1,1,1
A12,A62,44,1,1,1
A14,A65,57,1,1,1
A12,A61,22,1,1,1
A12,A61,32,1,1,1
A14,A65,41,2,1,1
A12,A61,30,2,1,1
A11,A61,28,1,1,1
A12,A63,36,1,1,1
A14,A61,61,2,1,1
A12,A65,27,1,1,1
A12,A65,29,1,1,1
A12,A61,26,1,1,1
A14,A65,29,1,1,1
A11,A61,27,1,1,1
A12,A61,33,1,1,1
A14,A63,40,2,1,1
A12,A61,22,1,1,1
A14,A65,23,2,1,1
A14,A64,36,1,1,1
A14,A64,43,2,1,1
A11,A61,36,3,1,1
A12,A61,34,2,1,1
A12,A61,51,1,1,1
A13,A61,25,1,1,1
A11,A61,29,1,2,1
A11,A61,23,1,1,1
A14,A64,34,1,1,1
A12,A65,24,1,1,1
A12,A65,42,1,1,1
A12,A62,41,2,1,1
A11,A61,24,1,1,1
A11,A61,55,1,1,1
A11,A61,35,1,1,1
A13,A61,40,1,1,1
A14,A61,35,2,1,1
A14,A61,33,1,1,1
A14,A65,49,1,1,1
A14,A65,31,1,1,1
A11,A62,35,1,2,1
A14,A61,74,1,1,1
A11,A65,75,1,1,1
A14,A63,31,1,2,1
A11,A61,38,3,2,1
A12,A61,32,1,1,1
A12,A61,35,1,1,1
A12,A65,39,2,1,1
A12,A61,22,1,1,1
A14,A61,23,1,2,1
A12,A61,37,1,2,1
A13,A61,36,2,1,1
A14,A61,46,2,1,1
A14,A62,35,2,1,1
A12,A65,30,1,1,1
A12,A62,31,2,2,1
A14,A65,51,1,1,1
A11,A61,39,2,1,1
A14,A65,35,2,1,1
A12,A64,40,2,1,1
A13,A61,24,1,1,1
A13,A61,33,1,1,1
A14,A61,36,1,1,1
A11,A61,26,1,1,1
A14,A61,43,1,2,1
A14,A61,23,1,1,1
A11,A61,24,1,1,1
A12,A61,30,1,1,1
A14,A64,28,1,1,1
A11,A65,67,2,1,1
A14,A64,46,2,1,1
A11,A61,30,2,1,1
A14,A61,24,1,1,1
A12,A64,36,1,1,1
A14,A65,35,1,1,1
A12,A65,33,1,1,1
A14,A61,35,2,1,1
A14,A61,42,1,1,1
A12,A63,30,2,1,1
A14,A65,31,1,1,1
A11,A61,37,1,2,1
A14,A61,31,1,1,1
A14,A61,31,1,2,1
A12,A61,25,1,1,1
A14,A63,32,1,1,1
A14,A63,36,2,1,1
A12,A61,23,1,1,1
A11,A63,52,2,1,1
A11,A65,44,2,2,1
A12,A61,26,1,1,1
A14,A61,50,1,1,1
A12,A65,42,2,1,1
A12,A61,47,2,2,1
A14,A63,37,1,1,1
A12,A65,26,1,1,1
A11,A61,38,1,2,1
A12,A61,32,1,2,1
A14,A65,43,2,2,1
A14,A62,26,1,2,1
A12,A61,24,1,1,1
A14,A63,45,1,2,1
A14,A61,65,2,1,1
A13,A61,26,1,1,1
A14,A61,38,1,1,1
A14,A62,31,1,1,1
A14,A63,35,1,2,1
A14,A64,20,1,1,1
A14,A61,46,2,1,1
A11,A65,26,1,1,1
A11,A63,22,1,1,1
A12,A61,49,2,1,1
A14,A61,30,2,1,1
A14,A65,34,2,2,1
A14,A64,27,2,1,1
A11,A61,22,1,1,1
A14,A62,51,2,1,1
A14,A65,61,1,1,1
A14,A61,52,1,1,1
A14,A63,40,1,1,1
A12,A62,23,2,1,1
A14,A62,33,1,1,1
A11,A61,30,1,1,1
A14,A62,27,2,1,1
A14,A61,26,1,1,1
A12,A65,36,2,1,1
A11,A62,48,2,2,1
A13,A61,63,2,1,1
A11,A65,39,1,1,1
A12,A61,20,2,1,1
A13,A61,45,1,1,1
A12,A61,23,1,1,1
A14,A61,38,2,2,1
A12,A65,40,1,1,1
A14,A64,46,2,1,1
A12,A62,27,1,1,1
A12,A65,50,2,1,1
A12,A65,36,1,1,1
A12,A61,38,2,1,1
A14,A65,48,1,1,1
A11,A61,27,1,1,1
A11,A61,21,1,1,1
A11,A61,28,1,1,1
A14,A65,63,1,1,1
A14,A62,32,1,2,1
A12,A62,31,2,2,1
A11,A61,39,1,2,1
A14,A62,31,2,1,1
A12,A61,27,2,1,1
A12,A65,36,1,1,1
A14,A64,60,1,1,1
A14,A63,24,1,1,1
A14,A61,35,2,1,1
A13,A65,31,2,1,1
A13,A65,29,1,2,1
A12,A61,34,1,1,1
A14,A61,33,1,1,1
A12,A62,29,1,1,1
A14,A65,40,1,1,1
A12,A62,30,1,1,1
A14,A61,62,1,1,1
A14,A63,44,1,1,1
A12,A61,37,1,1,1
A14,A65,64,1,1,1
A14,A61,28,2,1,1
A14,A61,39,1,1,1
A12,A62,38,2,1,1
A14,A61,30,1,1,1
A14,A61,23,1,1,1
A11,A61,25,1,1,1
A14,A63,24,1,1,1
A13,A62,28,2,2,1
A14,A61,20,1,1,1
A12,A61,21,1,1,1
A12,A64,20,1,1,1
A14,A61,32,1,1,1
A13,A65,55,1,1,1
A13,A61,23,1,1,1
A12,A61,35,2,1,1
A14,A62,52,2,1,1
A14,A63,35,1,1,1
A14,A65,41,1,2,1
A11,A65,49,1,1,1
A14,A61,31,1,1,1
A12,A65,38,2,1,1
A13,A61,33,2,1,1
A11,A61,63,1,2,1
A12,A61,48,2,1,1
A14,A62,36,1,2,1
A14,A61,27,2,1,1
A14,A65,65,4,1,1
A11,A64,28,1,1,1
A12,A61,34,1,1,1
A14,A61,32,1,1,1
A14,A61,29,2,1,1
A14,A61,29,1,1,1
A14,A61,24,2,1,1
A12,A62,39,1,1,1
A11,A61,29,1,1,1
A12,A65,48,1,1,1
A11,A61,29,1,1,1
A12,A61,64,1,1,1
A14,A61,37,1,1,1
A11,A61,43,2,2,1
A12,A61,44,1,1,1
A11,A61,47,2,1,1
A12,A63,26,1,1,1
A14,A65,38,1,1,1
A14,A61,33,2,1,1
A14,A61,30,2,1,1
A14,A61,43,1,1,1
A14,A61,47,3,1,1
A12,A61,68,3,1,1
A11,A61,43,1,1,1
A14,A61,34,2,1,1
A11,A64,57,2,1,1
A12,A61,27,1,1,1
A12,A61,47,2,1,1
A14,A61,32,1,1,1
A12,A63,35,1,1,1
A13,A61,29,1,1,1
A11,A61,32,2,1,1
A14,A61,64,1,1,1
A11,A62,43,1,1,1
A14,A61,26,1,1,1
A12,A61,40,3,2,1
A11,A61,54,1,1,1
A13,A64,36,2,1,1
A11,A61,40,2,2,1
A14,A61,26,1,1,1
A11,A63,35,1,1,1
A14,A61,39,1,1,1
A14,A64,23,2,1,1
A14,A61,63,2,1,1
A11,A61,38,2,1,1
A11,A61,50,1,1,1
A12,A63,27,1,1,1
A13,A65,37,1,1,1
A11,A61,30,2,1,1
A14,A62,34,2,1,1
A14,A65,44,2,1,1
A11,A62,32,1,1,1
A12,A64,34,1,2,1
A12,A65,29,1,1,1
A12,A65,43,1,2,1
A13,A62,49,1,1,1
A11,A65,30,2,1,1
A11,A61,22,1,1,1
A11,A61,66,2,1,1
A14,A61,38,1,1,1
A12,A61,70,1,1,1
A11,A61,46,2,1,1
A14,A61,29,1,1,1
A14,A65,42,2,1,1
A12,A61,40,2,1,1
A14,A61,35,1,1,1
A11,A61,41,1,2,1
A12,A61,26,1,1,1
A14,A65,59,1,1,1
A14,A65,29,2,1,1
A14,A63,32,1,1,1
A14,A61,35,2,1,1
A14,A61,56,1,1,1
A11,A61,36,3,1,1
A14,A61,42,2,2,1
A14,A63,46,1,1,1
A14,A65,40,1,1,1
A14,A61,54,1,1,1
