@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,A32,A65,A93,A143,A173,1
A14,A34,A62,A93,A143,A173,1
A13,A33,A61,A92,A141,A173,1
A14,A32,A61,A94,A143,A173,1
A14,A34,A61,A92,A143,A173,1
A14,A32,A61,A93,A143,A173,1
A12,A32,A61,A94,A143,A172,1
A14,A32,A63,A93,A143,A173,1
A11,A32,A61,A93,A143,A172,1
A12,A32,A63,A92,A143,A172,1
A13,A33,A61,A92,A142,A173,1
A12,A32,A65,A92,A143,A172,1
A14,A34,A61,A93,A143,A173,1
A12,A33,A65,A93,A143,A172,1
A14,A33,A61,A93,A143,A172,1
A14,A34,A61,A93,A141,A174,1
A14,A34,A65,A93,A143,A173,1
A14,A32,A62,A92,A143,A173,1
A12,A33,A62,A93,A143,A174,1
A11,A32,A61,A91,A143,A174,1
A14,A34,A64,A92,A143,A172,1
A14,A32,A65,A94,A143,A173,1
A13,A34,A61,A92,A143,A172,1
A14,A33,A62,A93,A143,A173,1
A14,A34,A61,A93,A143,A172,1
A11,A32,A61,A93,A143,A172,1
A14,A34,A61,A93,A143,A172,1
A13,A32,A61,A92,A143,A173,1
A12,A32,A61,A94,A141,A173,1
A14,A34,A65,A93,A143,A173,1
A14,A34,A65,A93,A143,A173,1
A12,A33,A61,A93,A143,A174,1
A11,A31,A61,A94,A141,A172,1
A14,A32,A61,A92,A143,A173,1
A14,A34,A61,A93,A143,A174,1
A14,A32,A61,A93,A143,A172,1
A14,A32,A65,A93,A143,A173,1
A12,A33,A61,A93,A141,A173,1
A11,A34,A61,A93,A143,A173,1
A11,A34,A61,A93,A143,A174,1
A14,A32,A61,A93,A143,A173,1
A12,A34,A65,A93,A143,A173,1
A14,A34,A65,A93,A141,A174,1
A13,A32,A61,A93,A143,A173,1
A11,A32,A61,A92,A143,A173,1
A11,A34,A61,A94,A143,A173,1
A11,A33,A61,A92,A143,A172,1
A13,A34,A65,A93,A143,A173,1
A11,A32,A61,A92,A143,A172,1
A14,A32,A61,A93,A143,A173,1
A12,A32,A61,A93,A141,A174,1
A14,A32,A61,A92,A143,A173,1
A11,A32,A61,A93,A143,A173,1
A11,A34,A61,A92,A143,A173,1
A12,A32,A61,A93,A143,A173,1
A11,A34,A61,A92,A143,A173,1
A11,A31,A61,A93,A141,A174,1
A12,A32,A65,A92,A143,A173,1
A14,A34,A61,A93,A143,A174,1
A12,A32,A61,A94,A143,A172,1
A14,A33,A65,A93,A143,A173,1
A14,A32,A65,A92,A143,A174,1
A14,A32,A63,A93,A143,A173,1
A14,A32,A62,A92,A143,A173,1
A14,A32,A63,A92,A143,A173,1
A14,A34,A61,A92,A143,A173,1
A11,A34,A61,A92,A143,A173,1
A11,A32,A61,A94,A142,A172,1
A11,A32,A61,A93,A143,A173,1
A14,A34,A61,A93,A143,A173,1
A14,A32,A62,A94,A143,A172,1
A13,A34,A62,A91,A143,A173,1
A14,A32,A61,A93,A143,A174,1
A14,A33,A61,A94,A143,A173,1
A14,A34,A65,A93,A143,A173,1
A11,A32,A61,A94,A143,A172,1
A11,A34,A61,A92,A143,A172,1
A12,A32,A61,A92,A143,A172,1
A14,A32,A61,A93,A143,A173,1
A14,A34,A61,A91,A143,A173,1
A14,A32,A63,A93,A143,A173,1
A12,A32,A61,A93,A143,A172,1
A13,A31,A64,A92,A143,A173,1
A12,A32,A61,A92,A143,A173,1
A14,A32,A64,A92,A143,A173,1
A14,A34,A65,A91,A143,A173,1
A12,A32,A61,A92,A143,A173,1
A11,A32,A61,A92,A143,A173,1
A11,A34,A61,A93,A143,A171,1
A14,A32,A61,A92,A143,A173,1
A12,A32,A61,A94,A143,A172,1
A14,A32,A61,A92,A143,A173,1
A14,A32,A61,A92,A141,A173,1
A11,A34,A65,A93,A143,A173,1
A12,A33,A61,A91,A143,A173,1
A14,A34,A61,A93,A143,A173,1
A14,A32,A63,A93,A143,A173,1
A14,A32,A61,A93,A142,A173,1
A12,A32,A65,A93,A143,A173,1
A14,A32,A65,A92,A143,A172,1
A14,A34,A62,A93,A141,A173,1
A13,A32,A61,A93,A141,A173,1
A14,A32,A65,A93,A143,A173,1
A11,A34,A61,A93,A143,A172,1
A14,A32,A64,A91,A143,A173,1
A14,A33,A61,A93,A142,A172,1
A14,A33,A62,A93,A143,A174,1
A14,A32,A63,A94,A143,A172,1
A14,A34,A65,A93,A143,A173,1
A14,A34,A63,A93,A143,A173,1
A12,A32,A62,A93,A143,A173,1
A12,A34,A61,A92,A143,A173,1
A12,A33,A65,A93,A143,A173,1
A13,A34,A65,A93,A142,A172,1
A11,A32,A61,A93,A143,A172,1
A12,A33,A65,A93,A143,A173,1
A14,A32,A63,A93,A143,A172,1
A14,A32,A65,A93,A143,A172,1
A12,A32,A65,A93,A143,A173,1
A14,A34,A62,A94,A143,A173,1
A12,A33,A61,A93,A143,A173,1
A12,A32,A63,A91,A143,A173,1
A14,A32,A65,A93,A143,A174,1
A14,A32,A65,A93,A143,A173,1
A14,A34,A62,A92,A143,A173,1
