@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10'

@attribute RI numeric
@attribute Na numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517938,13.21045,8.43204,1
1.518235,12.8713,8.43204,1
1.517346,13.0176,8.4428,1
1.51869,13.1905,8.83016,1
1.521014,13.6427,8.75484,1
1.517961,12.7383,8.67952,1
1.519055,13.6028,8.75484,1
1.516048,12.8979,8.27064,2
1.51828,13.23705,8.31368,2
1.517118,12.89125,8.10924,2
1.516458,13.4033,8.07696,2
1.517301,12.3526,9.22828,2
1.518007,13.7092,8.20608,2
1.514089,14.24785,7.07628,2
1.517961,13.50305,8.80864,3
1.519943,13.2703,11.31572,5
1.516822,14.5604,8.51812,7
1.515319,14.38085,9.07764,7
