@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4,10'

@attribute RI numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517642,1.21127,1
1.512152,1.12139,1
1.51762,1.26905,1
1.517779,1.33004,1
1.517551,1.35893,1
1.52213,0.46976,1
1.521515,0.8999,1
1.516298,1.49054,2
1.516663,1.25942,2
1.518394,1.24016,2
1.515911,2.1197,2
1.527392,0.74903,2
1.518052,1.07966,2
1.516389,1.86932,2
1.518462,1.33004,2
1.516093,1.33967,3
1.519351,0.74903,3
1.513155,3.04097,5
1.52172,1.56116,5
1.51115,0.34136,6
1.520649,2.02019,7
1.517187,2.00093,7
1.518303,1.82117,7
