@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,3.82099,0,1
1.519761,3.57853,0.68985,1
1.517506,3.56955,0,1
1.517551,3.74017,0,1
1.51762,3.53812,0,1
1.526663,3.69976,0,1
1.517415,3.61894,0,1
1.527255,3.15198,0,2
1.526139,0,0,2
1.515934,3.592,0,2
1.518417,3.61894,0,2
1.516868,3.53812,0,2
1.515911,3.57853,0,2
1.515911,3.34056,0,2
1.520672,2.08785,0.2709,2
1.51664,3.44832,0,3
1.517688,3.65935,0,3
1.521196,0.32777,0,5
1.519374,2.41113,0,6
1.511309,3.20137,1.1907,7
1.516162,0,0.67095,7
1.516025,0,0.63945,7
