@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
136.031,4.0612,76.96,g
17.3565,3.0332,4.792,g
13.7595,2.5521,0.812,g
15.1993,2.5786,7.875,g
29.9104,3.3331,9.9144,g
16.46,2.4385,11.461,g
15.9235,2.6906,2.572,g
18.9149,2.5422,19.3719,g
15.1674,2.4338,4.7998,g
10.9058,2.1021,42.2408,g
36.8235,3.8026,2.643,g
19.6402,2.8429,8.376,g
23.0735,2.9914,4.029,g
12.5473,2.4099,4.1527,g
12.3164,2.57,23.123,g
8.8987,2.3181,27.014,g
19.8319,3.1041,0.45,g
17.1981,2.5804,40.3711,g
26.2233,3.5143,1.919,g
18.7033,2.6128,4.182,g
12.8584,2.534,6.2472,g
20.0571,2.5224,47.786,g
7.1383,2.081,28.79,g
27.6698,3.0824,3.9746,g
18.0011,2.9015,2.926,g
25.8939,3.0586,8.44,g
15.8256,2.5938,53.815,g
9.3478,2.2967,75.3948,g
16.3152,2.8756,1.53,g
12.823,2.3531,1.701,g
17.4136,2.9342,3.1218,g
15.3311,2.4822,14.71,g
26.4199,3.3192,3.902,g
14.5395,2.634,60.493,g
12.5141,2.4057,81.2274,g
18.5575,2.9001,9.654,g
14.1032,2.8238,0.1899,g
11.9324,2.4829,10.7626,g
18.467,2.9834,0.226,g
26.5122,3.7987,2.712,g
10.4762,2.3096,79.4844,g
22.8597,3.0245,3.713,g
25.1598,3.0253,8.6575,g
38.0068,3.972,1.2669,g
33.0185,3.7827,2.5821,g
13.0214,2.8379,5.173,g
14.2281,2.86,0.4341,g
9.5924,2.2742,30.652,g
18.443,2.9883,8.191,g
19.9578,2.9183,0.619,g
14.9414,2.7392,2.0311,g
17.2949,2.7271,20.244,g
7.2301,2.1287,17.9072,g
14.9132,2.5434,5.736,g
17.9057,2.5152,14.4579,g
19.2324,2.5257,44.407,g
47.7498,4.3035,1.102,g
12.9439,2.7427,9.4384,g
19.7858,3.1119,8.372,g
18.5827,2.8058,4.6368,g
35.4074,3.3729,3.5171,g
17.3722,2.7903,24.196,g
6.2012,2.2822,27.282,g
9.2855,2.2553,79.283,g
30.2821,3.4572,11.476,g
13.7589,2.5289,1.318,g
11.5202,2.0774,21.21,g
18.6597,2.7189,8.262,g
20.3468,2.6299,7.038,g
11.088,2.179,3.5463,g
20.5728,3.0434,18.3976,g
15.1941,2.3444,9.323,g
18.1856,2.596,9.868,g
12.2039,2.3473,35.801,g
16.4034,2.6566,12.3195,g
13.2289,2.4893,55.7262,g
12.5906,2.2601,16.7407,g
87.8861,4.2992,8.6871,g
26.3231,3.321,9.428,g
14.2909,2.6599,0.9412,g
18.1427,2.7239,22.241,g
16.1373,2.6464,10.4419,g
40.4397,4.1952,0.3,g
20.3297,2.8768,34.644,g
11.9191,2.1945,19.242,g
16.4149,2.6646,9.5021,g
18.2304,3.2549,4.4339,g
9.1402,2.29,10.8031,g
24.4913,2.8779,12.098,g
16.9771,2.5403,0.0276,g
12.5616,2.5045,16.42,g
19.8202,2.4676,25.505,g
22.7859,3.4214,0.109,g
9.0044,2.2718,37.1081,g
42.6959,3.8212,2.17,g
17.8324,2.5763,16.948,g
15.9605,2.7408,36.3065,g
29.0826,3.6816,2.2059,g
32.6492,3.5602,1.5563,g
29.885,3.6743,3.6974,g
11.2402,2.4624,18.0262,g
11.9532,2.6201,0.598,g
12.7878,2.4464,40.0066,g
29.1304,3.4371,4.1632,g
34.3795,3.2945,0.908,g
12.2901,2.5775,1.8023,g
19.1659,2.8567,9.37,g
22.9081,2.8552,30.4393,g
24.8222,3.1237,2.1911,g
25.5873,2.7668,33.509,g
12.7271,2.6637,8.1501,g
11.9714,2.4314,68.753,g
21.0822,2.7785,27.9849,g
24.1278,3.4958,0.709,g
10.5394,2.2028,58.693,g
12.946,2.4616,53.922,g
25.5134,3.5567,2.72,g
21.7627,3.0941,8.993,g
28.7891,2.9823,1.9667,g
17.8147,2.3222,14.9307,g
12.3814,2.3253,62.678,g
12.8339,2.3454,30.5107,g
15.5947,2.499,1.5757,g
16.1465,2.5944,1.2733,g
23.2082,2.7878,2.135,g
25.6598,3.361,7.052,g
18.7783,2.7604,23.761,g
25.3763,3.3648,0.8021,g
7.3288,2.1538,80.2685,g
19.8555,3.2439,3.5641,g
26.0154,3.2076,14.967,g
34.3084,3.3961,6.005,g
22.874,3.0925,4.521,g
17.7987,2.7271,17.749,g
7.3055,2.1508,45.009,g
17.1093,2.4541,58.159,g
10.3524,2.3865,0.764,g
11.8221,2.3444,9.027,g
19.6882,3.0276,0.436,g
13.3629,2.5391,11.03,g
15.0604,2.5723,27.1409,g
15.7135,3.1726,2.553,g
13.1445,2.7024,7.3785,g
18.815,2.8176,12.3055,g
14.2671,2.7896,14.4244,g
16.1986,2.7372,8.8454,g
26.6571,3.548,1.1373,g
24.7136,2.757,31.8731,g
10.6329,2.2923,28.035,g
30.7225,3.578,7.6181,g
25.8946,3.0362,6.2066,g
11.6358,2.1804,35.694,g
7.7414,2.4224,10.8662,g
9.8345,2.3345,33.3598,g
45.3852,3.3989,3.144,g
21.6205,3.3506,1.705,g
12.5083,2.3454,13.2097,g
16.4904,2.9963,4.361,g
7.6662,2.415,38.741,g
26.5315,3.3195,0.9581,g
6.6139,2.5353,1.207,g
12.2051,2.2989,21.3448,g
17.244,2.5244,2.0573,g
18.0167,2.8166,0.256,g
10.1583,2.281,42.612,g
13.6962,2.4878,27.43,g
13.3644,2.4158,14.3483,g
17.138,2.8354,10.218,g
9.4628,2.1931,0.0865,g
25.2456,3.3309,12.156,g
16.9618,2.5826,26.046,g
29.5448,3.8792,4.5885,g
26.8716,3.5505,1.884,g
20.4787,2.9521,15.876,g
7.3577,2.1599,45.5575,g
14.1213,2.8987,0.5371,g
11.3309,2.1089,76.6517,g
18.0992,2.5933,8.3473,g
12.8159,2.6058,7.58,g
15.4178,2.499,26.742,g
21.0305,3.1207,6.1069,g
17.275,2.882,14.5058,g
10.0942,2.29,15.8411,g
27.4271,3.2559,1.2327,g
12.8606,2.2867,7.9853,g
15.6983,2.7631,2.948,g
10.9792,2.1673,23.7151,g
7.9675,2.2553,36.4032,g
28.467,3.6072,4.0898,g
28.5328,3.4804,2.7859,g
20.0901,2.7029,19.7036,g
21.8826,2.7388,16.4046,g
17.2814,2.6594,9.987,g
28.337,3.4989,1.762,g
26.0843,3.345,10.7786,g
33.4546,3.2243,17.858,g
32.658,3.4379,8.7025,g
16.1203,2.4401,25.809,g
49.0157,4.1592,1.9148,g
14.3798,2.7419,13.603,g
21.694,2.7105,45.4106,g
18.0087,2.7701,9.7906,g
16.5037,2.6405,16.37,g
10.3349,2.2405,50.4492,g
12.7197,2.6355,6.312,g
11.0465,2.4878,10.5725,g
17.4756,2.8218,21.1876,g
13.6449,2.8686,5.4939,g
11.6845,2.3375,7.208,g
11.1654,2.356,56.5349,g
11.6836,2.4031,29.1403,g
24.2893,2.8299,12.113,g
14.8885,2.4502,9.004,g
24.6372,3.246,5.775,g
24.887,3.4594,0.76,g
21.8459,3.0682,12.079,g
11.9972,2.2718,54.997,g
10.3691,2.3541,4.135,g
10.2434,2.5296,1.0485,g
18.204,2.9178,5.6897,g
14.1175,2.3692,0.9098,g
21.3742,3.343,0.209,g
14.0449,2.6933,9.6072,g
38.4425,4.0026,3.9366,g
30.2095,3.4386,2.3493,g
12.8778,2.4646,54.7663,g
16.1387,2.5988,33.725,g
10.8048,2.3865,2.4381,g
14.8872,2.5145,3.465,g
17.4839,2.7749,39.8956,g
17.9672,2.8112,10.9966,g
21.8903,2.7789,4.9852,g
37.6561,3.9915,0.256,g
27.6942,3.1252,3.086,g
6.7535,2.3701,31.305,g
15.4927,2.6031,22.7129,g
24.3492,3.0255,1.3003,g
7.2191,2.3253,24.5831,g
17.0662,2.8633,0.4014,g
7.2654,2.0626,66.693,g
22.6172,3.2101,7.8384,g
28.2765,3.505,0.5,g
18.7763,3.0743,5.1845,g
9.174,2.4298,7.6029,g
24.8335,3.1974,2.203,g
26.3385,2.9717,2.0557,g
10.1788,2.2672,34.677,g
15.868,2.3075,17.713,g
10.44,2.1446,24.9009,g
16.6026,2.8267,19.8899,g
7.6208,2.2529,15.2489,g
33.856,4.0044,1.7133,g
18.0117,2.6794,7.742,g
15.2223,2.5244,4.9939,g
27.8817,2.8179,3.0817,g
26.0176,3.0126,13.9853,g
43.8984,3.1741,4.3625,g
16.7935,2.8048,4.439,g
28.4185,3.4486,12.295,g
15.7068,2.8995,1.0066,g
10.7175,2.5933,16.5835,g
45.0557,3.8422,4.067,g
19.7495,2.7616,2.3023,g
12.3564,2.6839,13.962,g
12.5551,2.3212,31.2984,g
21.9403,2.6304,32.3326,g
12.3618,2.5888,7.5907,g
10.064,2.3464,87.0857,g
29.0967,3.5475,7.4349,g
15.8702,2.6439,72.931,g
26.8934,3.2139,2.9665,g
16.247,2.5045,10.748,g
18.5969,2.8048,35.946,g
18.5583,2.8092,6.4855,g
15.831,2.8722,32.443,g
13.1513,2.3274,78.726,g
32.5425,3.4637,10.0734,g
17.8697,3.0316,2.076,g
20.3887,2.7899,59.046,g
23.3635,3.1016,6.6582,g
13.715,2.5484,7.936,g
35.1645,3.2496,0.217,g
17.8073,2.9297,21.303,g
20.7354,2.9941,9.8102,g
23.9276,2.4893,23.893,g
15.096,2.3314,10.4893,g
11.2822,2.4749,17.979,g
17.8824,2.7435,9.2636,g
11.3642,2.659,12.957,g
17.3158,2.6933,38.664,g
11.6678,2.0774,46.283,g
7.2375,2.2753,24.17,g
10.5601,2.3927,32.593,g
14.2397,2.5315,1.1303,g
14.4335,2.5302,5.205,g
9.0446,2.3988,86.3532,g
7.4513,2.1414,18.1586,g
16.7666,2.4166,0.562,g
14.7142,2.5459,7.8399,g
14.5658,2.5871,21.27,g
6.3914,2.1717,22.568,g
10.3364,2.2109,39.62,g
23.2863,3.2407,4.1267,g
19.2454,3.1978,0.78,g
10.4977,2.1658,40.316,g
32.3973,3.527,3.743,g
18.0066,2.9415,3.108,g
6.8516,2.1446,26.948,g
10.0276,2.2856,9.098,g
23.2324,2.8395,16.85,g
42.1545,3.1971,84.3933,g
18.6198,2.4265,12.249,g
25.5212,2.9963,5.4781,g
19.641,2.6547,24.2231,g
16.455,2.9125,9.549,g
14.8591,2.6821,9.541,g
27.5535,3.1256,6.0195,g
16.458,2.6112,0.893,g
10.1784,2.3414,13.928,g
15.8991,2.3729,37.5625,g
12.2997,2.6314,2.9862,g
14.7447,2.8976,4.129,g
26.6913,3.4442,7.3364,g
16.2532,2.6107,15.3064,g
46.2068,3.6767,9.1982,g
18.5465,2.695,0.329,g
30.7737,3.3599,0.0235,g
20.9993,2.9621,13.6362,g
12.7697,2.3334,15.8492,g
23.1143,3.0598,6.3073,g
11.0571,2.2227,11.4165,g
17.3085,2.7423,9.772,g
11.2942,2.4014,46.6417,g
28.7067,3.411,0.936,g
14.4618,2.6096,5.2595,g
11.9098,2.5058,21.804,g
12.1637,2.5065,27.041,g
11.3364,2.3324,65.558,g
11.6208,2.0881,4.555,g
16.3923,2.5263,6.9421,g
21.5709,3.2002,2.8444,g
20.2912,2.3909,17.7959,g
10.9226,2.4306,22.9883,g
10.9589,2.3918,11.8733,g
20.9058,3.0392,4.664,g
21.3266,3.1438,3.0461,g
22.1521,3.1581,10.262,g
21.8345,3.1326,1.2422,g
11.0705,2.5977,2.8878,g
32.3094,3.5178,0.026,g
16.7064,2.5051,23.211,g
28.8254,2.8724,28.8991,g
9.9303,2.179,20.293,g
18.671,2.7864,18.229,g
13.4151,2.5676,11.9419,g
16.4648,2.5729,19.703,g
17.3757,2.6946,11.496,g
11.7579,2.0512,67.1488,g
14.1038,2.4526,14.461,g
19.0356,2.5843,4.437,g
12.6578,2.3608,59.558,g
27.3853,3.5161,1.5122,g
35.8748,3.7178,3.301,g
17.3626,2.6439,16.2512,g
19.8659,3.099,15.103,g
11.2873,2.3493,25.421,g
15.3225,2.4346,1.591,g
14.8748,2.4346,20.997,g
20.5004,3.0939,2.2623,g
12.4692,2.6238,11.655,g
10.9031,2.3747,42.803,g
37.1418,3.3327,1.734,g
29.3381,3.6418,1.3333,g
12.4121,2.3107,60.8343,g
29.376,3.022,15.777,g
23.972,3.2628,3.0825,g
17.7968,2.5838,8.54,g
32.7913,3.8254,4.8245,g
10.7395,2.3032,66.181,g
13.2539,2.4742,24.031,g
7.2118,2.1055,46.066,g
17.0359,2.7604,11.8172,g
7.5491,2.5179,22.805,g
11.419,2.0434,17.031,g
