@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R3-5,7,9,11-12,16,20-22,25,27,29,32-33,36-37,39-40,43-46,48,50-51,56,59,62,65'

@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-4 numeric
@attribute Atr-6 numeric
@attribute Atr-8 numeric
@attribute Atr-10 numeric
@attribute Atr-11 numeric
@attribute Atr-15 numeric
@attribute Atr-19 numeric
@attribute Atr-20 numeric
@attribute Atr-21 numeric
@attribute Atr-24 numeric
@attribute Atr-26 numeric
@attribute Atr-28 numeric
@attribute Atr-31 numeric
@attribute Atr-32 numeric
@attribute Atr-35 numeric
@attribute Atr-36 numeric
@attribute Atr-38 numeric
@attribute Atr-39 numeric
@attribute Atr-42 numeric
@attribute Atr-43 numeric
@attribute Atr-44 numeric
@attribute Atr-45 numeric
@attribute Atr-47 numeric
@attribute Atr-49 numeric
@attribute Atr-50 numeric
@attribute Atr-55 numeric
@attribute Atr-58 numeric
@attribute Atr-61 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
6,15,12,0,0,16,6,0,2,0,11,0,16,0,0,0,3,0,7,0,12,0,1,13,0,0,14,0,6,1,0
1,11,13,7,0,9,14,0,12,16,15,0,16,4,0,0,0,0,4,0,0,0,5,10,0,0,0,0,1,0,5
3,13,13,0,0,16,12,0,12,16,6,0,16,13,0,0,16,12,4,0,11,8,0,3,0,0,13,0,3,6,8
0,3,16,1,0,0,8,0,9,16,14,0,7,16,0,0,16,16,0,0,8,6,16,7,0,0,0,0,0,14,1
7,11,11,0,0,16,12,0,0,4,14,0,1,14,0,0,16,16,0,0,7,4,4,15,0,0,5,0,14,10,3
8,14,9,0,0,14,5,0,0,6,16,0,13,15,0,0,5,1,9,0,0,0,0,5,0,0,12,0,7,13,9
0,4,11,11,0,6,13,0,2,4,14,0,12,15,0,0,2,0,2,0,0,0,4,11,0,0,0,0,0,0,9
5,12,14,5,0,16,15,0,0,3,16,0,1,14,0,0,16,16,11,0,9,14,12,1,0,0,0,0,4,0,7
9,14,16,1,0,13,9,0,1,12,12,0,0,16,0,0,8,14,2,0,0,0,3,16,0,0,3,0,16,0,3
8,15,16,5,0,16,4,0,4,9,15,0,12,16,0,0,15,16,0,0,13,6,6,16,0,0,16,0,11,8,8
11,13,13,7,0,16,6,0,2,0,0,0,16,16,0,0,5,7,0,0,0,0,5,11,0,0,1,0,15,0,5
13,11,11,5,0,16,9,0,0,0,0,0,16,14,0,0,8,9,4,0,0,0,0,12,0,0,1,0,14,6,5
0,0,13,1,0,0,5,0,14,16,14,0,7,16,0,0,16,16,0,0,6,9,16,16,0,0,0,0,0,12,1
5,11,8,0,0,15,16,0,16,16,15,0,16,16,0,0,16,16,0,0,16,16,16,8,0,0,12,0,3,8,1
15,15,5,0,0,13,10,0,4,16,0,0,0,15,0,0,9,10,0,0,3,15,3,0,0,1,13,0,13,9,2
3,16,11,0,0,12,16,0,16,11,0,0,16,7,0,0,16,5,0,0,16,16,3,0,0,0,11,0,4,12,1
13,16,14,0,0,16,14,0,2,0,0,0,16,6,0,0,16,16,0,0,0,1,10,13,0,0,1,0,12,10,5
0,12,15,11,0,0,5,2,0,0,9,0,0,10,0,0,16,16,5,0,3,8,14,2,0,0,0,0,0,0,7
0,0,6,12,0,1,11,0,10,0,11,0,15,3,0,0,13,15,0,0,4,4,11,13,0,0,0,0,0,8,9
0,13,9,14,0,0,11,0,0,0,14,0,4,7,0,0,16,16,6,0,4,8,11,0,0,0,0,0,0,0,7
5,10,14,0,0,16,13,0,0,10,7,0,0,16,0,0,6,14,1,0,0,0,0,11,0,0,4,0,5,8,3
7,14,16,0,0,5,10,0,0,13,3,0,4,16,0,0,16,13,4,0,3,14,2,0,0,0,2,0,8,0,7
0,14,8,14,0,1,11,0,0,6,16,0,13,16,0,0,11,15,4,0,0,10,7,0,0,0,0,0,0,0,7
0,0,9,0,0,0,4,0,15,10,0,0,6,1,0,0,2,0,7,0,7,0,3,16,0,7,16,0,4,3,4
11,15,9,0,0,13,9,0,6,1,11,0,12,0,0,0,0,0,8,0,8,0,5,15,0,2,14,0,12,0,0
3,8,12,15,0,4,8,3,0,0,6,0,2,12,0,0,8,15,4,0,0,5,15,3,0,0,0,0,2,0,7
3,15,3,0,0,12,14,3,10,0,5,0,16,12,0,0,16,16,3,0,0,8,16,5,0,0,0,0,5,0,4
6,13,13,0,0,16,14,0,0,6,13,0,0,12,0,0,7,14,0,0,1,16,8,0,0,0,8,0,4,9,2
0,9,14,0,0,5,16,1,13,0,3,0,16,16,1,0,12,14,2,0,0,0,14,10,0,0,0,0,0,0,4
0,9,11,0,0,0,13,0,15,16,5,0,16,16,0,0,4,15,0,0,0,0,12,14,0,0,0,0,0,8,1
9,14,7,0,0,16,16,0,16,16,10,0,9,16,0,0,3,16,0,0,0,11,14,9,0,0,5,0,10,0,9
9,14,8,0,0,16,16,0,16,16,16,0,0,8,0,0,0,8,4,0,0,1,15,16,0,0,4,0,13,0,9
5,11,14,1,0,15,12,0,4,16,9,0,0,16,0,0,2,15,0,0,0,0,10,16,0,0,1,0,5,0,3
0,0,10,2,0,0,6,0,16,7,0,0,14,0,0,0,6,4,4,0,16,9,13,16,0,0,7,0,0,14,4
0,13,14,0,0,7,16,0,14,1,0,0,15,0,0,0,16,14,4,0,16,16,13,10,0,0,9,1,1,16,6
3,12,13,0,0,14,16,0,15,15,14,0,11,15,0,0,5,3,6,0,0,0,1,16,0,0,0,0,6,6,9
15,12,3,0,0,16,13,0,1,3,16,0,15,15,0,0,16,16,0,0,13,16,6,0,0,8,16,0,15,0,8
7,14,16,0,0,16,12,0,3,16,10,0,0,16,0,0,0,16,0,0,0,0,12,16,0,0,2,0,10,1,3
4,9,7,1,0,16,6,0,0,0,10,0,6,0,0,0,0,0,4,0,10,0,5,16,0,1,15,0,5,1,0
0,11,12,0,0,8,16,0,14,1,0,0,15,0,0,0,6,1,0,0,15,16,16,16,0,0,8,3,0,16,6
9,16,9,0,0,16,9,0,0,15,12,0,15,16,0,0,5,4,4,0,0,0,0,13,0,1,12,0,10,8,9
8,16,16,7,0,16,12,0,6,0,0,0,16,16,0,0,9,9,3,0,0,0,1,16,0,0,8,0,10,6,5
14,10,1,0,0,13,13,0,6,8,0,0,2,6,0,0,11,4,0,0,6,14,0,1,0,3,16,0,13,9,2
9,12,12,6,0,16,11,0,5,4,2,0,16,16,0,0,2,3,6,0,0,0,2,14,0,2,11,0,11,2,5
4,15,16,2,0,16,12,0,5,0,9,0,15,0,0,0,7,0,6,0,16,10,4,16,0,0,10,0,2,2,0
0,10,16,7,0,2,9,0,0,0,13,0,1,9,0,0,16,16,5,0,0,0,14,3,0,0,0,0,0,0,7
0,9,16,0,0,0,14,0,16,16,8,0,15,16,0,0,16,16,0,0,4,16,16,5,0,0,1,0,1,12,1
0,5,15,0,0,1,14,0,15,5,16,0,16,5,0,0,13,15,9,0,12,13,16,13,0,0,0,0,0,0,4
0,8,15,0,0,0,8,0,14,16,4,0,8,16,0,0,12,16,0,0,8,1,16,10,0,0,0,0,0,16,1
1,16,13,0,0,3,16,0,16,16,0,0,16,16,0,0,12,16,0,0,0,7,16,3,0,0,0,0,2,16,1
11,14,4,0,0,13,2,0,2,8,0,0,12,6,0,0,16,10,0,0,15,1,5,10,0,0,10,0,9,14,8
8,16,12,0,0,15,5,0,0,1,15,0,9,0,0,0,0,0,12,0,14,0,0,7,0,3,16,0,9,11,0
1,15,16,1,0,11,11,0,0,0,8,0,15,0,0,0,2,0,12,0,15,9,0,8,0,0,10,0,1,15,0
5,14,11,0,0,16,14,0,4,2,13,0,9,0,0,0,0,0,8,0,13,0,0,9,0,0,14,0,4,8,0
12,12,1,0,0,14,12,0,4,12,0,0,12,12,0,0,8,12,0,0,1,14,9,0,0,0,13,0,9,12,2
4,13,16,0,0,15,13,0,0,7,14,0,9,0,0,0,0,0,8,0,13,0,0,8,0,0,14,0,3,5,0
4,13,7,4,0,12,12,0,0,6,13,0,4,13,0,0,16,16,4,0,0,12,10,10,0,0,2,0,6,0,7
7,14,9,0,0,15,7,0,0,3,13,0,12,0,0,0,0,0,8,0,12,0,0,8,0,2,15,0,6,8,0
7,12,14,8,0,16,11,0,1,5,3,0,16,16,0,0,4,2,6,0,0,0,0,15,0,0,2,0,6,6,5
