@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7-8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,35,2.5,15,1
3,177,84,84,2
9,189,3,81,1
9,828,1.93,237,1
9,747,1.91,212,1
9,684,1.84,210,1
8,24,10,10,1
2,96,30,60,2
9,333,3.18,175,1
9,189,1.57,55,1
9,396,2.84,182,1
9,423,2.42,116,1
1,8,8,8,2
2,34,2.75,11,1
11,77,5.75,46,1
11,99,15.67,47,1
10,980,2.41,383,1
11,924,1.69,242,1
9,891,1.93,241,1
8,424,1.54,152,1
12,744,1.58,174,1
7,231,2.36,33,1
8,168,1.97,57,1
9,756,1.83,218,1
8,248,1.84,81,1
9,1098,2.57,372,1
11,88,4.13,33,1
9,324,3.3,178,1
1,32,5.75,23,2
8,536,2.49,204,1
8,136,2,48,1
8,600,2.37,249,1
9,333,3.49,199,1
10,1010,3.02,471,1
9,396,3.35,184,1
66,198,2.6,130,4
10,1310,3,597,1
1,61,61,61,2
8,976,1.44,222,1
9,387,2.25,146,1
306,142290,2.69,7861,5
10,980,2.74,439,1
9,738,2.35,280,1
10,640,2.84,329,1
9,324,3.36,198,1
9,297,2.19,136,1
12,96,3.11,28,1
8,168,1.68,52,1
10,210,3.17,73,1
10,340,2.1,132,1
1,77,5.17,31,2
10,1300,3.18,632,1
7,217,2.15,58,1
1,14,2,8,2
8,208,1.79,77,1
12,312,2.21,86,1
1,98,30.67,92,2
9,405,3.23,181,1
8,344,2.1,128,1
8,144,2.38,31,1
4,60,4,16,1
9,576,2.18,183,1
11,473,2.74,159,1
7,42,21,21,1
76,76,76,76,4
8,264,2.13,83,1
10,990,2.64,439,1
10,1250,2.92,570,1
6,210,2.67,112,1
1,14,13,13,2
12,108,9.17,55,1
11,88,8.86,62,1
1,14,13,13,2
9,351,2.74,156,1
11,1034,2.18,266,1
9,891,2.16,278,1
12,732,1.77,184,1
8,400,2.3,101,1
7,847,1.54,230,1
10,80,9,54,1
10,80,9.2,46,1
9,99,1.42,34,1
8,656,2.24,235,1
9,108,1.64,46,1
9,567,1.96,161,1
9,234,1.67,70,1
8,264,1.72,103,1
8,344,3.4,170,1
9,387,2.98,176,1
11,979,2.72,166,1
10,310,3.32,93,1
17,17,17,17,4
10,1210,2.41,448,1
13,13,13,13,4
23,23,23,23,4
8,1480,1.82,348,1
9,297,2.24,112,1
10,750,2.28,321,1
7,798,1.77,202,1
15,2040,2.81,489,1
7,1267,1.65,400,1
12,1068,3.5,458,1
14,5852,2.16,1525,1
5,195,1.67,80,1
4,456,1.83,179,1
8,136,2.88,72,1
10,760,3.03,360,1
8,744,1.99,241,1
9,963,2.14,344,1
13,1976,2.8,617,1
22,1518,10.59,784,1
8,1056,2.01,328,1
12,2112,2.61,637,1
12,300,2.59,96,1
7,119,2.58,49,1
8,600,2.05,225,1
8,560,1.76,167,1
7,441,1.99,147,1
13,5018,2.19,1437,1
11,330,3.05,125,1
10,750,2.84,338,1
10,10,10,10,4
19,855,3.01,208,1
12,120,5.3,53,1
9,2376,1.99,619,1
5,35,2.67,8,5
10,1970,1.87,482,1
14,266,2.83,34,5
7,168,1.89,17,5
7,28,8,8,1
8,2176,1.35,404,1
10,70,1.57,11,5
10,2710,1.31,509,1
21,1428,5.69,74,5
8,1080,1.54,83,1
10,2710,1.47,469,1
10,2340,1.38,441,1
10,1470,1.29,247,1
7,203,1.46,57,1
11,1133,1.44,177,1
8,120,1.57,36,1
6,414,1.4,116,1
5,65,1.82,20,1
5,265,1.28,59,1
8,96,1.11,20,1
6,84,1.28,23,1
10,190,3,27,1
7,98,1.6,32,1
7,63,2.2,22,1
7,98,1.61,29,1
7,266,1.45,80,1
9,1980,1.44,456,1
7,147,1.35,50,1
7,77,1.75,28,1
7,322,1.46,114,1
5,70,1.38,29,1
10,2620,1.36,469,1
7,140,1.46,51,1
7,462,1.46,136,1
9,486,1.49,131,1
6,114,1.58,41,1
7,322,1.53,98,1
9,72,1.78,16,1
6,198,1.2,49,1
7,280,1.57,94,1
5,35,2,16,1
7,77,1.39,25,1
7,91,1.94,33,1
7,28,2,8,1
7,91,1.82,31,1
7,77,2,28,1
7,56,2.38,19,1
5,65,1.48,31,1
7,119,1.48,40,1
7,210,1.38,69,1
9,153,1.44,36,1
9,171,1.52,50,1
7,140,1.19,32,1
6,66,1.33,20,1
8,216,1.36,61,1
7,147,1.67,45,1
5,30,1.63,13,1
4,80,1.41,31,1
7,238,1.36,68,1
9,180,1.62,42,1
8,136,3,27,1
