@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,8,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,1.2,0.333,10,1
2,10,0.675,27,2
9,1.333,0.444,48,1
8,11.875,0.303,230,1
12,1.167,0.357,60,1
3,37.667,0.357,121,2
98,0.031,0.48,141,4
11,5.909,0.39,279,1
10,4.4,0.393,173,1
1,27,0.593,16,1
2,9.5,0.237,9,1
5,1.8,0.267,12,1
8,2.875,0.288,53,1
8,5.75,0.391,144,1
19,0.105,0.816,31,4
8,5.5,0.426,150,1
8,5,0.403,129,1
8,5.625,0.469,169,1
8,5.125,0.335,110,1
2,56,0.496,111,2
8,5.375,0.349,120,1
10,0.8,0.5,40,1
8,2.5,0.525,84,1
10,8.3,0.295,245,1
12,6.083,0.257,225,1
9,9.111,0.247,182,1
1,36,0.722,26,2
12,9.667,0.246,343,1
9,10.333,0.323,270,1
7,1.286,0.333,21,1
10,3.8,0.434,165,1
9,4,0.552,179,1
11,6.091,0.331,244,1
9,9.111,0.389,287,1
11,7.818,0.283,268,1
9,0.667,0.5,27,1
10,9.8,0.463,454,1
11,9.091,0.456,502,1
9,4.778,0.509,197,1
9,5.222,0.31,131,1
1,55,0.564,31,2
2,32,0.531,68,2
8,4,0.336,86,1
12,1.917,0.417,115,1
9,5.222,0.371,157,1
10,1.8,0.511,92,1
1,17,0.412,7,2
28,11.786,0.057,527,2
212,2.189,0.052,5066,5
9,0.667,0.667,36,1
9,4.667,0.429,162,1
1,18,0.944,17,2
9,5.111,0.365,151,1
9,7.111,0.491,283,1
9,11.111,0.463,417,1
14,21.429,0.263,1106,1
8,5.625,0.222,80,1
7,4.429,0.221,48,1
7,8.286,0.212,86,1
10,1.9,0.332,63,1
11,0.727,0.545,48,1
9,2.556,0.324,67,1
9,9,0.332,242,1
12,9.75,0.231,324,1
5,4.6,0.226,26,1
4,8,0.313,40,1
5,3.2,0.313,25,1
11,6.091,0.269,198,1
1,45,0.933,42,2
2,25,0.46,46,2
9,11,0.288,257,1
9,8.333,0.369,249,1
12,2.25,0.318,103,1
9,9.222,0.335,250,1
11,10.545,0.274,350,1
8,0.375,0.458,11,1
8,7.375,0.206,97,1
9,2.333,0.365,69,1
8,10.375,0.398,264,1
8,0.75,0.542,26,1
9,4,0.531,172,1
8,1,0.234,15,1
21,0.095,0.738,31,2
8,8.875,0.31,176,1
9,12.111,0.243,238,1
8,8,0.301,154,1
9,14.778,0.236,283,1
6,16.667,0.342,205,1
13,16.692,0.361,1019,1
14,0.071,1,14,4
6,14.833,0.303,162,1
11,6.455,0.37,289,1
25,16.4,0.272,2792,1
10,3.4,0.426,145,1
13,11.615,0.302,593,1
12,5.5,0.402,318,1
7,0.143,1,7,4
8,5.75,0.266,98,1
9,10.333,0.278,233,1
9,13.222,0.422,452,1
3,30,0.511,138,1
9,19.111,0.353,546,1
8,16.25,0.36,374,1
13,31.462,0.312,1657,1
12,11.833,0.337,575,1
6,15,0.394,213,1
9,8.556,0.486,337,1
13,2.308,0.356,139,1
6,16.833,0.411,249,1
33,4.848,0.219,1154,1
13,4.462,0.336,253,1
9,1.444,0.564,66,1
12,3.083,0.41,182,1
5,23.2,0.376,218,1
7,6.571,0.298,96,1
8,13.5,0.293,253,1
5,10,0.36,90,1
47,6.085,0.183,2459,5
8,13.375,0.384,329,1
11,30.636,0.179,664,1
8,7.625,0.316,154,1
38,10.789,0.279,4341,1
7,2.429,0.555,66,1
8,8.75,0.464,260,1
11,8.182,0.362,358,1
6,8.5,0.454,139,1
11,37.545,0.356,1619,1
17,3.529,0.139,142,5
10,5,0.472,236,1
14,13.286,0.307,799,1
3,1,0.778,7,1
7,1.714,0.476,40,1
7,3.714,0.33,60,1
8,0.625,0.275,11,5
