@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,35,4.33,1
5,40,15,1
5,25,5,1
11,88,5.89,1
2,202,10.9,2
2,36,29,2
9,828,2.05,1
9,369,1.9,1
10,630,1.69,1
1,10,10,2
1,8,8,2
11,88,7.75,1
11,88,39,1
11,462,2.25,1
8,384,1.92,1
10,1300,2.79,1
9,441,3.05,1
9,180,2.35,1
1,19,3.75,2
14,4746,2.44,1
93,372,2.89,4
9,1566,1.71,1
7,189,3.8,1
9,873,2.42,1
9,189,2.68,1
1,51,2.4,2
7,189,2.81,1
1,49,7,1
9,324,2,1
9,189,2.74,1
10,800,2.06,1
1,33,33,2
9,396,3.14,1
1,8,7,2
9,351,2.06,1
1,11,11,2
4,460,17.82,2
7,112,2.14,1
10,510,2.29,1
9,216,2.9,1
10,980,2.1,1
9,423,2.42,1
10,780,2.52,1
12,1752,26.67,5
9,1089,2.4,1
9,369,2.88,1
11,671,5.04,1
9,324,3.21,1
9,189,3.29,1
12,1176,2.33,1
10,530,2,1
9,738,2.39,1
9,738,2.3,1
23,1081,2.2,1
10,650,2.76,1
10,430,3.58,1
7,112,2.45,1
11,231,7.2,1
11,88,10.17,1
9,324,2.83,1
8,112,2.67,1
9,306,1.61,1
11,935,1.73,1
10,120,1.57,1
1,13,3,2
8,64,1.6,1
9,1089,2.08,1
8,384,2,1
13,429,3.89,1
11,99,4.44,1
9,819,1.98,1
11,1111,1.65,1
8,352,2.95,1
1,39,8.75,2
4,68,3.5,1
3,168,1.38,1
3,549,29.78,2
25,7500,40.33,2
10,490,3.01,1
9,711,2.19,1
9,729,2.22,1
12,24,15,4
8,96,1.5,1
10,980,1.72,1
2,408,10.5,2
9,585,2.66,1
9,774,2.19,1
6,852,6.53,2
1,14,12,2
9,324,3.31,1
9,567,1.98,1
8,136,2.22,1
8,664,2.17,1
9,288,2.17,1
10,1000,2.81,1
9,774,2.13,1
12,2760,3.48,1
6,174,1.51,1
9,333,2.7,1
13,5720,2.18,1
12,1416,2.42,1
37,2664,7.64,5
38,15580,2.4,1
13,1495,2.62,1
10,1070,1.81,1
8,496,1.79,1
8,1520,2.22,1
10,770,2.64,1
14,3276,4.2,1
12,4920,2.69,1
3,912,42.17,2
8,560,2.21,1
6,300,2,1
10,350,2.23,1
12,600,2.72,1
