@relation penbased

@attribute At1 numeric
@attribute At10 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,0,34,0
0,19,92,0
15,44,100,0
32,52,61,0
40,26,100,0
11,46,100,0
79,0,63,0
96,0,66,0
35,24,100,0
43,30,100,0
0,54,100,0
61,0,58,0
100,26,25,0
88,0,61,0
9,29,100,0
21,39,100,0
40,52,82,0
100,13,22,0
40,10,100,0
10,44,100,0
21,44,100,0
14,43,100,0
35,18,97,0
60,21,97,0
93,0,63,0
31,25,98,0
75,23,100,0
24,32,100,0
49,28,100,0
15,57,85,0
19,51,100,0
42,25,86,0
35,0,71,0
33,38,100,0
48,16,91,0
22,26,100,0
41,22,98,0
35,24,93,0
42,9,85,0
58,32,100,0
6,41,100,0
17,22,94,0
14,30,100,0
100,0,64,0
80,0,46,0
35,25,100,0
15,58,100,0
48,29,100,0
41,15,92,0
40,27,100,0
35,9,85,0
14,81,86,0
15,61,86,0
80,0,56,0
68,5,86,0
25,0,79,0
29,27,95,0
95,100,30,0
40,43,100,0
16,13,80,0
11,47,100,0
72,24,100,0
20,26,99,0
6,40,100,0
6,44,100,0
44,17,89,0
94,0,85,0
66,92,31,0
60,0,91,0
40,1,78,0
1,53,100,0
14,35,100,0
61,12,100,0
0,100,55,0
73,20,99,0
14,30,100,0
14,38,100,0
49,35,100,0
16,49,100,0
26,60,100,0
70,2,71,0
10,30,100,0
19,33,100,0
74,25,100,0
17,34,100,0
48,24,100,0
7,84,67,0
26,64,91,0
52,18,94,0
64,35,100,0
59,0,74,0
56,0,82,0
27,34,100,0
15,36,100,0
89,2,88,0
17,32,100,0
3,64,71,0
78,0,65,0
35,36,100,0
21,45,100,0
31,18,85,0
18,86,88,0
70,79,51,0
52,24,100,0
22,28,100,0
36,10,84,0
22,25,96,0
18,24,99,0
13,49,100,0
16,37,100,0
23,74,73,0
17,35,100,0
19,58,85,0
21,25,100,0
28,57,95,0
38,25,100,0
38,35,100,0
57,17,100,0
100,32,61,0
29,54,100,0
6,51,100,0
27,40,100,0
10,42,100,0
0,61,87,0
20,59,100,0
18,40,100,0
24,25,86,0
3,54,100,0
49,20,100,0
87,0,63,0
66,28,100,0
2,18,91,0
50,9,70,0
62,15,100,0
31,27,94,0
19,62,97,0
71,23,79,0
0,60,100,0
19,38,100,0
50,27,100,0
39,27,100,0
27,39,97,0
42,7,80,0
7,15,94,0
0,63,75,0
58,5,87,0
50,19,89,0
0,65,84,0
75,14,98,0
62,6,100,0
38,3,79,0
4,63,97,0
61,10,100,0
48,0,71,0
3,34,100,0
26,41,100,0
45,0,64,0
15,34,99,0
13,67,68,0
26,34,100,0
70,100,68,0
33,48,77,0
17,75,96,0
28,21,100,0
0,29,100,0
29,20,94,0
4,35,100,0
33,46,100,0
26,8,92,0
17,37,100,0
49,0,69,0
42,11,100,0
3,46,100,0
5,58,99,0
34,25,92,0
31,30,100,0
11,37,100,0
10,31,100,0
36,6,89,0
39,100,53,0
38,23,100,0
35,17,97,0
23,29,100,0
27,28,100,0
54,36,100,0
33,54,76,0
34,9,87,0
47,8,85,0
27,16,93,0
49,19,94,0
83,0,36,0
43,20,90,0
31,19,100,0
36,17,98,0
28,69,100,0
18,32,100,0
8,40,100,0
25,59,67,0
11,47,100,0
2,53,100,0
13,38,100,0
31,14,89,0
97,0,60,0
29,35,100,0
0,49,100,0
25,35,100,0
17,26,100,0
77,43,72,0
19,40,100,0
84,0,80,0
46,24,100,0
13,19,96,0
34,29,100,0
23,35,100,0
9,65,97,0
29,62,95,0
17,48,100,0
7,30,100,0
63,25,100,0
10,32,97,0
36,44,100,0
63,17,100,0
32,21,100,0
26,56,100,0
49,79,80,0
45,0,60,0
53,26,100,0
70,6,82,0
12,27,100,0
59,10,100,0
41,39,100,0
41,34,100,0
46,66,64,0
21,41,100,0
50,30,100,0
32,23,100,0
47,24,98,0
85,0,66,0
16,68,88,0
24,32,94,0
27,57,95,0
100,0,58,0
50,27,100,0
75,7,89,0
0,52,100,0
32,38,86,0
27,20,97,0
13,54,100,0
56,4,90,0
42,11,84,0
30,32,100,0
18,39,98,0
63,7,78,0
41,22,89,0
1,31,100,0
15,38,100,0
47,12,86,0
14,21,99,0
18,37,100,0
36,19,89,0
9,46,100,0
22,52,100,0
0,46,100,0
42,77,79,0
23,34,100,0
16,22,98,0
27,52,100,0
65,47,100,0
4,43,100,0
21,30,100,0
86,16,27,0
15,28,100,0
34,27,100,0
38,26,100,0
5,30,100,0
34,3,86,0
55,17,97,0
26,52,100,0
34,16,100,0
20,57,96,0
19,29,100,0
59,22,97,0
27,30,100,0
21,17,88,0
59,21,96,0
38,6,71,0
38,30,100,0
25,20,99,0
10,52,100,0
13,31,100,0
27,50,100,0
59,0,81,0
17,26,98,0
25,16,93,0
4,58,93,0
28,23,100,0
34,33,100,0
31,33,100,0
25,74,67,0
34,10,90,0
32,48,100,0
30,17,93,0
44,17,89,0
91,70,71,0
19,29,78,0
37,18,96,0
15,50,100,0
58,0,61,0
0,41,100,0
4,36,100,0
22,41,100,0
56,15,93,0
31,47,83,0
26,28,100,0
27,29,100,0
31,56,100,0
73,0,82,0
27,46,79,0
25,36,100,0
41,31,87,0
86,0,66,0
12,34,100,0
16,30,100,0
63,12,95,0
36,37,100,0
78,100,69,0
25,75,90,0
18,41,100,0
73,100,85,0
60,0,66,0
24,72,87,0
18,63,93,0
47,6,85,0
38,33,90,0
61,11,85,0
87,4,38,0
29,57,92,0
21,49,73,0
30,11,82,0
30,24,97,0
23,35,100,0
38,14,97,0
30,42,100,0
32,66,88,0
28,54,100,0
51,42,99,0
22,51,100,0
32,4,81,0
35,33,100,0
30,16,94,0
26,30,100,0
23,18,100,0
31,20,95,0
73,57,78,0
78,0,67,0
26,21,100,0
42,48,100,0
0,70,83,0
0,43,100,0
37,35,100,0
29,14,83,0
55,17,89,0
99,0,45,0
29,40,100,0
31,43,100,0
20,27,100,0
18,25,100,0
16,67,78,0
7,35,100,0
72,19,97,0
62,0,70,0
0,51,100,0
22,56,87,0
71,18,95,0
44,0,67,0
94,0,50,0
19,32,100,0
12,44,100,0
51,0,82,0
39,38,100,0
39,24,100,0
35,48,100,0
32,40,100,0
58,6,92,0
67,32,100,0
33,31,100,0
71,11,95,0
25,68,99,0
49,8,89,0
25,10,90,0
30,71,90,0
29,23,100,0
29,38,100,0
32,22,98,0
38,5,79,0
12,30,100,0
47,23,100,0
45,34,100,0
27,59,95,0
49,22,90,0
65,8,86,0
43,11,97,0
27,43,100,0
21,18,91,0
40,24,100,0
40,49,100,0
0,35,100,0
67,0,82,0
1,54,100,0
6,53,100,0
56,16,100,0
11,70,90,0
38,9,81,0
11,26,95,0
1,35,100,0
26,61,77,0
26,36,100,0
13,28,100,0
0,75,63,0
98,9,25,0
47,13,86,0
27,27,100,0
17,53,100,0
45,74,80,0
23,29,100,0
31,32,100,0
30,29,100,0
20,11,87,0
46,0,100,0
5,58,95,0
26,25,75,0
32,8,81,0
62,7,81,0
12,30,100,0
77,5,81,0
82,0,90,0
45,31,95,0
43,22,99,0
84,26,100,0
23,30,100,0
100,28,22,0
92,27,18,0
29,33,91,0
82,0,55,0
28,24,89,0
37,27,100,0
36,62,75,0
80,0,60,0
44,22,100,0
14,55,100,0
38,51,83,0
17,58,100,0
62,24,100,0
16,55,100,0
37,7,79,0
34,0,77,0
18,25,93,0
5,64,93,0
41,30,100,0
50,17,94,0
35,3,75,0
96,20,20,0
75,0,73,0
47,18,86,0
23,50,100,0
0,59,100,0
19,55,100,0
25,65,100,0
21,49,100,0
48,27,100,0
3,71,78,0
98,0,47,0
0,45,100,0
38,34,100,0
11,36,100,0
9,37,100,0
59,9,85,0
21,44,100,0
0,57,100,0
31,33,100,0
54,8,82,0
24,62,90,0
23,32,100,0
15,19,85,0
58,56,81,0
27,23,100,0
22,24,100,0
