@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,10,12,17'

@attribute At5 numeric
@attribute At10 numeric
@attribute At12 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
11,43,99,0
78,75,49,1
80,0,23,7
68,16,63,5
89,28,4,3
72,41,27,3
13,0,17,8
100,41,73,8
92,42,15,3
0,36,63,4
68,12,8,2
43,27,72,5
100,68,46,1
28,76,66,4
95,78,52,9
42,51,16,5
0,5,33,0
66,29,71,5
89,37,14,2
20,0,12,6
74,0,24,7
0,45,64,4
0,32,76,0
32,0,36,8
100,38,72,8
16,0,8,6
0,40,50,4
31,0,7,6
0,38,42,4
42,69,24,9
92,37,17,3
100,59,37,1
7,0,9,6
26,48,100,0
27,39,83,0
2,0,17,6
51,23,66,5
100,15,0,7
61,0,33,8
71,33,65,8
82,47,23,3
84,10,0,7
0,62,96,4
22,36,69,8
58,42,71,8
0,0,21,0
100,29,0,7
0,33,44,4
32,0,17,6
61,12,27,2
100,35,68,8
95,52,21,3
21,85,51,9
11,4,0,6
100,52,20,8
82,42,14,3
76,35,0,7
80,45,30,1
30,49,90,0
18,0,11,6
100,28,26,2
20,0,14,6
62,79,53,1
46,17,4,2
6,0,21,8
68,22,2,2
26,31,54,4
88,14,55,5
100,59,31,8
92,15,0,2
0,44,73,4
0,35,53,4
22,0,39,8
94,14,0,7
78,63,42,1
90,63,40,3
17,52,16,9
60,14,3,2
45,28,69,5
94,18,0,2
84,52,28,3
100,44,25,3
22,37,83,0
100,41,18,2
59,13,9,2
0,30,58,4
64,0,12,7
100,37,100,8
63,43,0,8
57,78,52,1
21,5,0,6
78,0,5,7
40,0,66,5
0,32,37,4
75,0,46,5
57,35,73,5
24,0,10,6
43,65,100,0
19,24,44,4
56,26,4,2
0,43,66,4
0,49,53,4
95,79,71,9
18,74,45,9
62,40,79,5
19,68,57,4
19,10,0,6
19,0,33,8
0,34,57,4
72,16,10,2
61,1,1,2
60,32,55,8
25,0,2,6
100,36,68,8
0,0,11,8
67,62,27,9
100,26,0,7
97,14,0,7
83,24,7,2
100,16,0,7
22,0,0,6
97,0,20,7
63,76,54,7
32,57,93,0
88,39,22,3
0,16,60,0
100,31,0,7
15,0,10,8
0,38,68,4
12,25,68,0
0,24,62,0
43,55,20,9
92,2,0,7
100,0,10,7
59,0,38,7
61,83,56,1
7,64,67,4
100,36,11,3
97,0,32,7
57,0,6,1
5,39,42,4
73,85,42,9
0,34,39,4
12,36,81,0
35,56,96,0
62,4,51,8
53,58,15,9
0,0,11,8
0,43,62,4
34,23,0,2
0,27,64,0
48,18,72,5
55,21,55,8
7,0,8,6
49,39,10,2
17,0,21,6
18,0,29,6
78,100,98,0
55,67,45,7
61,45,74,5
100,48,23,3
92,38,65,8
100,60,38,1
70,28,4,2
71,13,1,1
68,41,12,3
0,18,51,0
77,75,50,1
100,1,39,8
15,1,0,6
0,100,67,9
100,35,59,8
72,0,1,7
94,22,2,2
39,0,38,8
9,47,100,0
2,35,49,4
16,8,0,8
63,0,12,7
61,0,50,5
100,56,13,8
0,47,44,4
77,65,57,9
24,0,12,6
44,38,68,8
100,43,14,3
49,0,4,1
100,41,13,1
50,78,54,7
62,27,0,2
0,72,42,9
100,53,21,3
45,0,33,8
100,63,54,9
6,0,21,6
100,29,0,7
79,12,1,1
66,26,67,8
22,47,19,5
0,73,97,4
56,54,12,9
100,72,46,9
0,6,42,6
0,51,61,4
6,0,32,8
0,66,92,4
100,43,11,3
30,7,0,6
74,0,6,7
64,30,1,2
100,38,14,3
65,43,16,2
62,7,1,2
22,7,0,6
8,69,56,4
94,2,0,1
88,43,19,3
66,22,3,2
72,45,30,1
94,0,53,5
23,0,18,8
54,21,6,2
0,43,50,4
14,0,16,6
79,74,49,1
16,40,78,0
10,0,12,6
87,34,12,2
17,0,6,6
93,34,10,2
25,39,84,0
0,69,61,4
6,0,31,6
30,27,76,0
19,35,79,0
0,33,44,4
56,0,55,5
100,34,7,3
94,76,80,9
0,81,48,9
75,20,0,7
63,4,15,2
78,0,14,7
5,26,70,0
0,0,33,8
100,48,21,3
65,0,6,1
76,0,8,7
100,60,40,1
81,36,0,7
94,37,14,2
36,37,81,5
0,6,44,0
19,30,82,0
0,37,60,4
0,48,53,4
4,24,64,0
48,100,73,1
100,15,0,7
90,52,18,3
59,7,46,5
11,56,23,5
100,41,0,8
0,41,74,4
55,16,9,2
61,28,2,2
35,8,0,6
83,39,14,3
92,0,14,7
100,19,0,7
100,16,0,2
100,67,63,9
56,26,60,8
0,28,55,4
53,38,8,2
100,11,0,7
13,0,16,0
45,57,26,9
0,17,39,4
0,35,81,0
100,32,0,7
85,42,10,3
57,13,66,5
67,75,49,1
100,56,30,3
72,0,23,7
0,24,62,0
47,12,0,6
0,49,47,4
46,48,32,5
69,36,0,8
0,46,67,4
14,0,20,0
100,10,0,7
79,57,33,3
86,29,3,2
100,51,26,3
75,58,51,9
64,1,44,5
78,93,62,4
19,54,28,5
16,0,15,6
67,0,41,8
100,53,30,1
31,0,18,6
43,23,0,6
100,1,0,7
100,55,25,3
91,43,17,3
12,12,0,6
94,79,40,9
36,9,0,1
0,46,63,4
94,64,42,1
69,91,60,1
63,29,68,5
100,61,40,1
71,34,63,8
100,66,36,9
1,48,65,4
27,100,38,0
68,37,16,3
0,100,57,9
78,0,16,7
33,57,20,9
86,9,4,2
31,49,90,0
65,12,31,2
0,0,16,6
0,34,78,0
22,59,18,9
68,29,20,2
47,12,8,1
3,0,40,8
76,74,49,1
17,0,4,6
87,38,12,3
0,61,95,4
16,74,83,4
69,46,78,8
100,0,11,8
26,23,38,4
19,0,8,6
74,74,47,1
0,22,45,4
43,27,67,5
0,9,17,6
88,48,21,3
0,50,72,4
63,15,58,5
67,88,58,1
0,54,53,4
0,0,30,0
24,73,43,9
44,75,100,0
76,0,16,7
100,10,0,7
96,60,35,1
27,2,0,6
88,43,9,3
98,32,66,8
88,75,50,1
81,0,3,2
86,46,21,3
27,0,15,6
40,67,28,9
22,1,0,6
0,36,48,4
34,0,16,6
0,36,51,4
0,55,73,4
41,0,10,6
0,22,66,0
0,56,62,4
62,28,10,2
77,74,48,1
90,3,8,2
47,6,3,2
0,66,77,4
37,20,56,8
0,10,40,0
31,76,51,4
0,20,62,0
96,48,34,5
83,24,0,2
0,42,57,4
100,9,0,7
43,64,100,0
81,37,18,3
1,27,71,0
61,12,2,2
0,71,68,9
74,37,15,2
48,15,0,6
28,56,93,0
0,98,61,9
100,34,5,3
55,26,9,2
29,36,79,0
38,47,31,1
83,75,51,1
0,0,10,8
39,0,32,7
91,24,54,8
70,0,17,2
45,42,96,5
100,65,53,9
0,90,59,9
65,75,50,1
100,13,0,7
0,29,46,4
2,32,53,4
100,28,7,2
100,15,0,7
37,4,0,6
76,61,74,9
11,48,23,5
69,28,4,3
69,75,50,1
100,24,0,7
100,16,0,7
72,0,25,7
63,0,30,7
57,51,29,5
81,45,80,8
100,58,37,1
44,29,0,8
12,0,8,6
51,60,14,9
79,48,22,3
79,75,50,1
58,12,61,5
100,42,0,8
0,29,48,4
100,10,0,2
95,31,0,3
29,40,88,0
100,27,0,7
4,58,65,4
9,38,80,0
37,45,95,5
69,58,24,8
83,45,20,3
100,21,0,7
79,12,6,2
59,0,22,2
26,62,100,4
0,99,65,9
0,5,45,0
88,51,32,5
77,18,69,5
0,64,28,9
0,90,64,9
23,18,0,6
0,41,73,4
88,14,14,2
100,38,73,8
90,81,63,9
95,49,18,3
100,64,66,9
70,34,66,8
48,2,0,6
15,19,53,0
88,41,21,3
100,69,40,5
100,50,36,8
87,17,4,2
48,0,30,8
21,0,18,8
36,0,21,6
85,19,67,5
62,0,46,5
58,92,100,0
100,42,13,3
82,24,30,2
53,0,32,7
28,74,35,9
79,76,50,7
54,94,100,0
4,0,24,6
55,17,77,6
48,34,79,5
56,58,14,9
0,57,75,4
100,31,0,7
0,45,59,4
16,70,63,4
100,37,9,3
0,24,59,0
21,73,65,4
0,11,50,0
82,81,42,9
3,0,3,6
69,84,100,0
38,74,58,9
100,8,0,7
1,28,72,0
68,24,10,2
25,12,55,8
100,33,67,8
66,78,52,1
100,75,79,9
66,59,90,0
100,50,74,9
76,0,9,7
84,71,48,1
100,58,33,1
81,23,2,2
52,82,55,1
55,20,74,5
77,0,28,7
15,4,34,6
38,51,91,5
66,0,25,7
75,58,50,9
0,57,28,9
5,30,54,4
13,0,11,6
18,49,15,5
23,0,6,6
41,58,100,0
100,41,14,3
100,53,32,3
94,80,56,9
19,0,9,6
100,50,19,3
66,36,65,8
0,35,38,4
7,6,34,6
62,53,26,3
74,27,64,5
68,0,15,7
72,75,50,1
74,75,50,1
96,27,0,1
0,85,48,9
47,24,67,5
100,64,31,5
100,0,12,7
60,22,2,1
0,0,13,6
10,26,70,0
9,0,21,6
82,0,22,7
7,0,32,8
41,0,39,8
44,27,59,8
30,0,16,6
7,65,100,8
57,51,25,3
52,0,32,7
28,70,33,9
51,0,37,8
2,28,0,5
100,0,7,7
0,6,44,0
67,77,51,7
38,48,16,9
11,17,69,0
25,0,15,6
69,79,52,1
69,0,26,7
12,50,27,5
4,0,24,6
100,11,0,7
100,29,63,8
43,36,81,5
88,0,22,7
22,50,93,4
0,0,19,6
66,45,17,3
43,53,17,9
36,49,29,5
25,64,27,9
93,49,25,3
0,34,77,4
95,73,49,9
54,87,61,9
79,33,0,7
52,17,0,2
100,36,6,3
73,41,29,5
38,83,51,9
69,16,1,2
100,13,0,7
70,43,27,3
13,0,13,6
32,4,49,8
100,59,37,3
100,0,0,8
30,52,16,9
87,63,39,3
46,15,0,6
78,31,13,2
46,42,88,5
56,0,43,5
0,0,21,8
36,60,100,0
8,24,43,4
33,64,23,9
85,75,50,1
68,85,57,1
77,20,0,3
90,15,51,8
84,44,15,3
40,39,84,5
13,24,69,0
29,46,6,9
18,9,0,8
93,72,46,5
70,34,69,5
72,0,12,2
66,65,38,5
0,0,12,6
73,17,0,2
40,83,95,4
56,91,60,1
26,0,16,6
0,33,82,0
45,74,48,1
65,0,40,7
97,0,2,7
100,23,0,7
40,70,29,9
0,5,45,0
60,24,68,5
8,7,11,6
62,91,62,1
61,12,22,2
21,12,26,4
0,22,66,0
43,75,49,1
78,0,29,7
100,35,7,3
0,17,55,0
95,12,62,5
0,88,58,9
33,69,31,9
72,36,66,8
51,14,0,2
65,0,23,2
0,46,77,4
65,0,32,7
0,21,60,0
100,36,5,3
100,47,31,1
7,6,15,6
0,66,51,9
0,100,65,9
49,65,100,0
100,41,0,8
84,0,43,5
17,32,43,4
96,37,7,3
29,18,0,6
0,35,44,4
36,51,6,9
100,20,0,7
