@relation penbased

@attribute At1 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
38,61,26,100,27,85,0,0
42,61,20,100,25,86,0,0
7,45,16,84,20,100,50,0
25,60,11,100,57,66,0,0
49,63,0,79,22,90,23,0
19,25,46,100,64,99,0,0
52,94,0,66,0,79,54,0
29,62,1,96,27,95,2,0
22,66,0,85,26,100,12,0
31,66,0,78,20,95,33,0
6,39,24,100,51,100,6,0
54,72,0,79,17,95,37,0
15,68,6,80,5,80,42,0
29,63,4,96,23,100,16,0
12,58,7,100,29,100,8,0
26,38,29,100,66,74,26,0
26,54,13,99,30,100,13,0
32,79,0,82,4,81,21,0
71,100,0,42,0,56,88,0
31,57,14,100,23,100,19,0
12,20,44,100,64,92,0,0
21,40,36,100,44,100,0,0
40,38,0,95,43,100,28,0
53,73,0,67,14,86,48,0
47,67,0,68,5,72,50,0
15,70,14,100,36,100,0,0
41,68,9,100,30,100,5,0
13,53,17,100,31,100,5,0
0,35,42,100,66,80,15,0
42,68,0,76,9,85,47,0
77,100,0,42,0,52,88,0
73,62,0,100,73,65,41,0
100,77,20,65,15,78,0,0
32,65,1,91,21,100,15,0
35,71,0,93,11,87,11,0
27,62,9,100,27,100,8,0
64,56,0,78,35,100,18,0
81,87,0,61,0,62,84,0
9,30,29,100,37,100,17,0
71,76,1,74,23,79,0,0
59,88,0,77,10,100,35,0
28,70,0,98,23,100,19,0
22,50,25,100,47,99,10,0
13,30,42,100,56,100,0,0
59,69,0,86,22,97,16,0
5,27,38,100,58,99,10,0
6,24,33,100,46,100,16,0
66,78,0,74,20,100,29,0
31,69,0,87,11,85,23,0
20,14,70,94,70,95,0,0
100,100,16,40,0,58,53,0
33,50,35,100,38,100,0,0
43,49,0,98,30,100,39,0
29,41,14,100,53,100,19,0
85,83,0,78,5,88,16,0
24,42,11,95,44,100,14,0
41,70,0,83,22,89,11,0
27,95,0,64,0,88,37,0
11,48,23,100,36,100,5,0
17,27,42,100,58,100,0,0
10,38,26,100,52,100,3,0
0,48,33,100,35,100,6,0
5,52,14,97,30,100,14,0
49,57,0,93,28,100,8,0
20,45,29,100,26,100,17,0
29,66,11,98,14,83,11,0
25,82,0,73,0,79,37,0
20,53,4,89,24,99,26,0
31,59,0,100,47,83,12,0
27,69,1,73,8,77,52,0
55,73,0,58,7,74,65,0
43,69,0,83,20,90,11,0
0,25,52,100,75,63,42,0
53,69,0,78,22,90,11,0
25,68,0,87,15,89,20,0
3,25,41,100,61,100,14,0
8,36,26,100,40,100,14,0
55,89,0,69,6,92,47,0
29,49,10,95,34,100,9,0
65,70,0,62,1,67,77,0
57,72,0,75,13,87,26,0
27,66,15,100,28,100,2,0
26,82,0,91,14,100,25,0
19,39,44,100,62,97,0,0
75,76,0,70,23,100,31,0
9,51,27,100,39,100,0,0
70,75,0,63,2,71,38,0
80,96,0,100,65,68,32,0
29,57,22,100,40,100,12,0
58,70,0,79,32,100,18,0
0,0,66,96,71,98,9,0
84,100,0,60,0,80,36,0
15,19,33,100,52,100,15,0
49,65,0,81,6,72,49,0
14,35,16,95,30,100,25,0
38,67,0,85,26,100,21,0
7,58,20,91,15,94,40,0
95,100,26,11,7,28,94,0
15,57,5,95,28,100,20,0
25,63,2,86,10,90,32,0
35,61,8,100,40,100,0,0
68,90,0,38,0,48,78,0
17,40,39,100,46,100,0,0
40,69,1,88,27,100,15,0
19,52,10,99,32,100,7,0
59,92,0,68,0,81,39,0
19,61,10,93,25,98,19,0
78,92,0,53,0,59,89,0
70,78,0,65,6,82,45,0
52,36,36,40,73,60,5,0
27,65,4,94,29,100,9,0
58,84,0,58,0,61,64,0
23,49,2,91,30,100,14,0
16,30,51,100,57,100,0,0
26,60,5,93,25,75,13,0
7,61,13,100,30,100,13,0
10,60,14,100,24,95,19,0
81,84,0,82,18,96,13,0
68,71,0,84,22,100,17,0
39,43,13,96,39,100,5,0
30,71,0,84,16,94,24,0
18,21,44,100,75,81,1,0
0,41,31,100,61,87,14,0
40,76,0,84,25,100,4,0
56,72,0,85,23,100,19,0
42,27,49,100,66,100,0,0
36,55,7,100,76,69,24,0
37,53,7,100,35,100,7,0
68,83,0,60,3,71,55,0
58,75,0,61,10,83,58,0
27,37,41,100,50,100,0,0
3,18,37,100,54,100,21,0
0,8,58,100,92,70,11,0
26,61,6,95,28,100,6,0
49,81,0,71,0,69,41,0
30,64,22,100,24,97,5,0
17,32,24,97,48,100,28,0
3,37,34,100,64,71,22,0
56,100,0,67,0,82,44,0
36,76,0,70,6,76,49,0
32,39,27,100,48,100,0,0
48,43,39,54,87,78,19,0
54,56,0,79,32,100,28,0
47,81,0,62,0,63,61,0
44,77,0,70,0,76,48,0
19,64,15,100,30,100,0,0
56,67,0,84,22,99,32,0
48,66,0,82,24,100,25,0
25,74,5,100,20,99,0,0
11,10,51,100,70,90,0,0
0,30,36,100,49,100,18,0
41,64,0,95,31,87,22,0
21,49,26,90,5,89,44,0
46,61,19,100,29,100,0,0
51,60,40,100,44,100,0,0
27,47,13,100,34,100,0,0
8,57,22,100,43,95,7,0
6,37,19,100,40,100,7,0
3,39,39,100,71,78,10,0
