@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
2.941,0.657,0
0.105,0.576,1
0.151,0.642,1
1.089,1.423,0
0.464,1.792,0
0.268,2.164,0
0.832,2.711,0
0.341,1.007,0
1.752,1.47,1
0.17,1.356,0
0.238,0.475,0
0.389,0.55,1
0.861,1.811,0
1.437,1.91,1
3.307,0.503,0
3.06,0.584,0
0.41,1.009,0
0.144,0.713,0
0.772,2.995,0
0.096,0.433,1
0.131,0.5,0
1.923,0.966,0
0.14,0.996,0
2.153,1.127,0
1.021,2.274,0
0.797,2.197,0
1.022,1.607,0
0.159,0.378,0
0.755,1.277,0
3.079,0.491,0
3.341,-0.275,0
0.954,1.444,1
-0.668,-0.709,0
0.106,0.455,0
0.925,2.303,0
0.421,1.494,1
0.19,0.496,0
0.195,1.204,0
-0.185,-0.656,0
2.786,-0.269,0
0.231,0.52,1
0.41,2.084,0
0.618,0.884,1
3.381,0.566,0
0.325,0.758,0
2.946,1.555,0
0.25,0.5,0
0.185,0.932,0
0.228,0.471,0
0.179,0.448,0
1.098,2.692,0
0.226,0.704,0
0.558,3.17,0
2.675,0.309,0
1.173,1.814,1
2.62,1.082,0
1.219,2.015,0
0.779,2.109,1
0.563,3.544,0
-0.063,0.752,1
0.598,0.932,1
0.383,1.267,0
0.116,0.719,1
1.989,1.975,0
0.671,1.538,0
0.995,1.846,1
0.348,0.602,1
1.607,2.311,0
0.258,0.861,1
0.976,0.774,0
0.436,0.734,1
0.16,0.374,1
2.558,0.561,0
0.287,0.883,1
0.191,0.395,0
2.045,0.531,0
0.227,0.686,0
1.928,2.195,0
0.635,3.459,0
0.536,3.273,0
0.218,1.149,0
2.521,0.476,0
1.591,1.104,1
0.56,2.372,0
2.287,-0.234,0
0.231,1.136,0
0.498,3.28,0
3.097,0.575,0
0.892,1.352,1
0.383,2.201,0
0.132,0.515,1
1.292,1.044,0
1.254,2.545,0
0.069,0.269,0
0.505,0.534,1
0.264,1.064,0
0.359,0.601,0
0.529,2.477,0
0.277,1.079,0
0.345,2.558,0
1.37,0.965,1
0.129,0.546,0
1.598,1.054,1
0.121,0.172,1
1.146,1.998,0
2.095,0.66,0
1.122,2.532,0
0.202,0.733,1
1.051,2.748,0
0.982,2.68,0
1.58,1.639,0
0.243,1.265,0
2.239,0.89,0
0.325,1.122,0
2.035,1.232,0
-0.076,0.341,1
0.24,1.851,0
0.36,2.311,0
0.221,1.321,0
0.6,1.791,0
1.877,2.205,0
0.88,2.242,1
0.127,0.422,1
0.348,1.079,1
2.463,1.019,0
2.509,0.448,0
0.214,0.508,1
1.773,1.634,0
0.87,3.42,0
0.319,3.013,0
0.246,0.559,0
0.323,0.577,1
0.364,2.186,0
0.375,2.068,0
0.532,0.434,1
0.271,0.641,1
1.342,1.218,0
0.615,0.985,1
0.295,0.837,1
2.074,2.103,0
0.678,0.655,1
0.32,2.883,0
0.371,1.194,0
2.039,1.226,0
1.329,1.413,1
0.74,2.248,0
0.278,2.076,1
0.257,0.317,0
2.601,0.422,0
0.206,1.345,0
0.21,0.45,1
0.503,2.681,0
0.084,0.41,0
0.166,0.873,0
0.253,2.692,0
0.327,0.51,1
0.133,0.506,1
0.783,3.076,0
0.331,1.72,0
0.529,3.296,0
0.289,1.059,1
1.926,0.811,0
0.17,0.463,0
2.607,0.359,0
0.792,2.015,0
0.346,0.526,1
0.235,0.966,0
1.654,1.518,0
-0.147,-0.297,1
0.15,0.661,0
3.156,0.537,0
1.338,1.555,0
0.657,2.138,0
0.134,0.326,0
3.607,0.572,0
0.352,1.147,0
0.586,2.32,0
0.132,0.543,1
0.135,0.584,0
0.249,1.147,0
0.328,0.901,0
0.245,1.495,0
0.115,0.444,0
0.324,0.411,0
0.371,1.222,0
2.324,0.65,0
1.604,0.991,1
2.785,0.581,0
0.763,1.414,1
0.442,2.568,0
2.631,0.604,0
0.426,0.754,1
2.112,1.354,0
0.176,0.472,1
0.487,1.881,1
2.043,1.455,0
0.454,0.99,1
0.515,2.984,0
0.687,2.277,0
0.375,1.797,0
2.177,1.375,0
3.098,0.358,0
0.706,0.837,1
0.215,2.081,0
0.115,0.528,0
1.208,1.688,1
2.558,0.56,0
0.999,2.345,0
0.333,1.906,1
1.19,1.647,0
0.067,0.286,0
0.173,0.362,1
1.6,0.579,0
0.121,0.544,1
2.168,0.402,0
2.836,0.582,0
0.886,1.555,1
0.069,0.562,0
-0.058,-0.256,1
