@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.416,0.756,-0.252,0
0.121,0.588,1.978,0
2.571,0.201,0.137,0
0.266,1.002,1.138,1
0.443,0.759,1.27,1
0.487,-0.428,-0.213,0
0.53,1.002,0.733,1
0.66,1.552,-0.425,1
0.35,0.907,2.188,1
0.551,-0.517,-0.189,0
0.226,2.147,-0.703,0
0.252,-0.53,0.347,0
0.333,1.023,0.455,0
0.87,1.651,0.636,1
0.156,1.541,-0.448,0
3.279,0.317,0.463,0
2.063,0.143,0.108,0
3.151,0.308,0.612,0
1,0.89,0.369,0
0.583,0.989,-0.302,0
0.258,1.885,0.799,0
0.453,1.37,1.883,0
0.538,1.516,-0.309,0
0.388,-0.429,-0.26,0
0.106,0.327,1.13,1
1.247,-0.321,-0.157,0
0.614,1.234,0.553,0
0.249,3.199,-0.81,0
0.312,1.261,0.777,1
0.37,2.195,-0.54,1
0.607,-0.348,-0.168,0
0.692,1.666,0.683,0
0.235,0.381,0.925,0
0.095,0.362,0.544,0
2.673,1.16,-0.308,0
0.231,0.676,1.775,0
0.181,2.038,-0.56,0
0.181,0.75,1.97,0
0.451,-0.363,-0.198,0
0.288,2.861,-0.914,0
0.098,0.415,1.045,1
0.465,2.231,0.939,1
0.091,0.497,-1.093,0
0.88,0.546,0.306,0
2.916,-0.126,0.125,0
0.636,1.945,0.737,0
0.34,2.362,0.896,0
0.135,1.343,2.28,0
0.159,1.872,-0.768,0
0.453,1.71,0.959,1
-0.112,-0.216,0.613,0
0.36,0.718,0.319,0
0.523,0.604,0.371,0
0.54,2.359,-0.803,0
0.38,1.04,-0.466,0
1.136,1.464,-0.3,1
0.098,0.564,0.887,1
0.747,1.381,1.936,1
0.427,0.576,-0.193,0
1.625,0.389,-0.134,0
0.081,0.553,0.93,0
0.442,0.436,1.08,1
-0.235,0.866,1.448,1
1.304,-0.234,0.12,0
2.116,0.544,0.57,0
0.413,1.258,0.713,1
0.648,-0.54,0.344,0
0.266,2.484,-0.527,0
0.175,0.862,1.92,1
0.67,-0.576,-0.285,0
1.239,0.585,0.715,0
0.363,1.93,0.798,0
0.134,1.455,2.024,0
0.504,0.645,0.684,1
1.735,1.561,-0.351,0
3.287,0.277,0.871,0
0.119,1.294,1.762,0
0.123,0.892,0.635,1
3.104,0.154,0.122,0
2.942,-0.131,0.089,0
3.53,0.181,-0.078,0
2.302,-0.09,-0.052,0
0.524,1.94,0.695,0
0.369,1.396,-0.502,0
0.523,-0.731,0.345,0
1.203,-0.356,-0.157,0
0.561,-0.613,0.388,0
3.542,0.413,-0.096,0
0.115,0.523,0.719,0
0.981,-0.337,0.189,0
0.536,2.354,1.06,0
0.242,-0.247,1.066,1
2.158,-0.128,0.112,0
0.363,-0.383,-0.185,0
0.226,1.624,-0.461,0
0.243,0.455,1.268,1
0.385,0.828,-0.34,0
0.211,1.101,0.498,0
0.749,0.543,1.353,0
2.602,0.131,0.1,0
0.13,0.507,1.837,0
0.68,-0.532,-0.215,0
0.136,0.56,0.674,0
0.11,0.735,-0.265,0
0.154,0.93,1.668,0
0.83,-0.46,-0.185,0
0.334,0.905,0.884,1
1.21,-0.493,0.288,0
0.221,0.865,1.636,1
0.172,0.524,1.262,1
0.169,1.468,1.001,0
0.179,0.715,1.854,0
0.411,1.7,1.012,1
1.781,-0.209,-0.115,0
0.301,-0.281,-0.138,0
0.152,0.796,0.335,0
0.39,2.949,-0.728,0
3.397,0.183,0.114,0
0.412,2.093,1.937,0
3.496,0.275,-0.281,0
0.167,0.467,-0.607,0
0.16,0.508,1.083,1
0.479,-0.35,0.22,0
0.65,-0.387,-0.179,0
3.129,1.415,-0.347,0
0.255,0.547,0.772,1
2.026,0.429,0.522,0
-0.114,-0.379,-0.537,0
3.05,1.256,-0.298,0
0.554,0.879,-0.513,0
1.962,0.268,0.143,0
0.577,-0.656,0.333,0
0.205,1.484,1.258,1
1.077,-1.057,1.496,1
1.393,1.684,-0.428,1
0.679,1.022,1.162,0
2.134,-0.137,0.104,0
0.398,-0.485,-0.292,0
