@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R8,13-15,21'

@attribute A8 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {0,1}

@data
-1954,-151,-132,721,0
-64,-707,39,124,1
-174,1956,2323,-1366,0
149,-442,-988,1791,1
1678,277,-0,2093,1
1673,1342,581,-1053,0
-1271,362,1771,2478,1
-19,1042,-282,147,1
-1126,-49,-1655,-24,0
607,926,892,625,1
3642,304,221,-96,0
1731,144,18,524,1
8,2801,108,121,0
2227,3321,-3406,2783,0
28,-482,892,378,1
-118,-812,2133,3108,0
2312,-283,-3926,2157,0
1935,26,1038,1756,1
-668,-185,1814,-633,1
415,3112,319,-3579,0
817,1716,384,-481,1
553,305,1082,-313,1
929,751,-1057,-711,1
-117,45,-65,-41,1
609,1221,37,-1301,1
-359,-325,-1029,-444,0
236,629,1445,2125,0
-5175,-3065,1867,2014,0
1097,179,1726,169,1
1174,67,2886,71,1
1247,2616,1684,1914,1
1841,-33,715,596,1
675,-609,-152,-1777,0
1592,311,-34,57,0
-428,-517,1512,-3253,0
-58,1751,-238,-1318,0
1234,-1195,-1972,-649,0
1748,-291,708,-1718,0
-1557,-5,696,-675,1
1715,2024,1197,-879,1
47,352,192,52,1
294,1728,703,-109,0
1504,-2339,255,2365,0
-91,-954,3136,1751,0
1641,1015,-1256,934,0
-453,4053,-21,-1239,0
149,752,1595,-463,1
782,1832,1816,689,1
2124,-1634,-1052,-1566,0
-1402,-614,-2319,-1258,0
698,2176,-1289,12,1
2278,888,3295,-1806,0
1182,1292,-1182,-529,1
586,-262,-1571,-3791,0
349,-1393,2013,28,1
1867,67,-162,1481,1
2913,1259,916,1638,0
1804,71,-265,683,1
-634,762,1183,528,0
1226,146,-61,-179,0
-2445,228,1327,2869,0
503,-887,101,2047,1
-11,-1026,854,-1047,1
1001,1984,305,202,0
-1207,-454,957,-1364,0
2312,-3813,8,4861,0
1756,1268,147,2523,1
-607,924,-986,1587,1
1798,1034,1361,451,1
2008,2985,-2876,-1514,0
665,244,-154,-2576,0
21,1904,-1345,2107,0
-1581,-2021,4915,363,0
2476,1046,946,1929,1
-1171,-354,-19,2334,0
462,66,467,-31,1
-2619,-988,398,594,0
-2147,2283,4325,-3675,0
-2885,-78,-119,2831,0
433,422,32,59,1
1328,-271,3,962,0
961,1704,684,803,0
528,382,1448,373,1
-121,1843,1574,-442,0
4066,2742,19,306,0
63,1664,-1661,-1752,0
944,1009,933,827,1
2091,-2748,51,1026,0
-979,1062,448,-208,1
665,-4968,-1031,602,0
1124,-1218,299,-162,0
-218,2896,-2673,-652,0
281,-2994,-1815,3022,0
-26,432,-526,-14,1
1394,193,85,2103,1
1008,-68,126,2985,1
-73,-3905,616,1424,0
265,-2911,-2379,-2768,0
1352,727,1715,1342,1
644,-1111,871,589,1
528,887,956,123,1
-835,-723,-835,299,0
703,492,282,333,1
-9,-384,-202,993,1
228,1112,147,727,1
2653,1302,287,523,1
3049,2342,853,701,1
193,9,-538,345,1
2157,3816,1818,-1658,0
-902,2744,3771,1754,0
899,-74,1045,1346,1
-3953,51,366,-3797,0
-3776,-2306,-2612,-1447,0
1395,332,-1197,-242,1
1414,2081,-871,-1976,0
504,1249,771,1246,1
-1302,1683,-852,-865,0
3024,1417,-2394,-31,0
119,-1269,-928,308,0
291,613,2457,-3213,0
463,-1442,-92,-1396,1
1569,1292,3063,-323,0
869,581,-388,1316,1
-567,3187,-3813,3613,0
2463,-1497,2959,1813,0
-1365,306,215,-445,1
-922,634,1188,-72,1
-227,1651,3259,-75,1
861,2058,98,944,0
3064,3251,109,1895,0
-1493,-2561,2777,-1815,0
1181,2699,-1603,3438,0
824,1753,-643,-3197,0
-156,875,-959,-1631,0
-273,3298,2938,19,0
-388,427,2029,1548,0
39,-2286,1474,437,0
-581,-111,141,1622,0
102,566,-111,2533,0
-82,-874,1217,1052,1
235,538,1736,176,1
-157,-1682,1366,69,1
1247,-723,1482,1171,1
-834,-1285,-2759,385,0
-386,1148,1557,685,1
-1818,3069,3062,-1923,0
2673,1302,-881,644,1
-3409,-816,-799,-2647,0
177,1592,1046,825,1
1346,2676,116,123,1
1098,19,1376,505,1
218,1873,1724,-747,1
-249,137,-341,-428,1
1187,-915,-24,1441,1
233,-2899,-1518,-8,0
2408,1068,63,-1281,1
-1797,-15,-1576,-1936,0
-211,-92,108,1743,0
1919,-1084,712,-276,1
-1484,-1056,465,-1402,0
-69,367,-126,168,0
-1102,3233,809,-1353,0
1359,-509,1044,-98,1
-34,-848,-463,588,1
1472,862,1146,-1214,1
-14,3485,-134,-628,0
2864,224,-1966,1601,0
887,-1748,2995,-427,0
-2443,-3444,846,453,0
1175,-321,765,96,1
2468,564,-87,624,1
806,408,-841,956,1
-5,-16,1895,1444,1
-746,1246,332,284,1
-1466,-1286,1129,72,1
1114,162,12,-487,1
1372,1954,1687,-1024,0
-16,-3983,-191,1206,0
-846,91,-399,-81,1
-1668,191,-421,2381,1
-2119,1723,-2253,-1074,0
1145,-2971,2816,-827,0
3183,83,-1887,-1348,0
851,1867,591,1303,1
1918,1228,-3189,2763,0
733,201,1307,-266,1
63,852,-196,-346,0
379,982,26,912,1
1347,2321,-2807,286,0
-257,-2011,222,-5203,0
-831,1815,-328,-351,0
1306,-1397,1618,924,1
1724,-281,89,448,1
2232,1743,1329,-479,1
-661,-1598,-2713,-851,0
1173,616,-1473,268,0
192,1153,-2,413,0
1659,-464,284,-1745,0
-3142,-384,-4137,718,0
1746,2605,-1436,185,1
29,1872,1012,235,1
936,-74,514,28,1
1183,107,-1,-1275,0
995,-1184,-1354,-346,0
1591,-1072,78,-582,1
1012,1029,387,803,1
-1474,228,-1864,457,0
2646,2328,637,-738,1
111,814,-1519,-567,1
-2451,-627,-4422,-156,0
262,-188,189,88,0
-1127,2501,-1438,3601,0
-538,18,-849,1095,1
-156,84,784,-1101,0
441,113,186,1419,1
-1551,-504,1014,1226,1
513,1749,1078,681,1
-456,607,98,1811,0
1305,2318,595,72,1
568,-94,619,1667,0
91,-42,879,348,1
2809,493,-308,2894,0
1363,1026,-32,721,1
261,2552,-135,-222,0
887,138,1125,1641,1
149,1212,735,1018,1
-225,-2048,2784,2318,0
1,-884,44,-955,0
1635,105,-351,471,1
-354,1408,464,1853,1
1072,-1048,-107,552,0
-407,455,1629,138,1
-1952,-728,1976,1992,0
1799,1018,-391,427,1
8,264,84,1596,1
986,24,-574,271,1
167,2118,911,-1232,0
295,41,1548,1246,1
41,157,-911,228,1
-141,1199,704,-1229,1
-1478,-2,1912,-172,0
123,1678,-84,527,1
43,-402,136,932,1
1902,-2796,218,-2585,0
-483,-603,-745,-241,1
415,1286,496,254,1
877,1143,637,18,1
3244,-122,-1618,-838,0
-3797,639,2033,291,0
-1699,661,559,-1749,0
-61,3814,-842,-4149,0
1675,1607,1082,1171,1
-1421,2145,-64,-286,0
527,-1615,1472,231,0
1064,138,1027,-526,1
479,-1101,2466,-1319,0
-2282,109,926,1893,0
229,-971,-715,-1794,0
1132,-178,581,1754,1
1216,1514,754,167,1
319,-27,344,-308,0
2716,-411,877,4354,0
-868,-678,-1822,-136,0
2005,-524,-1664,-173,0
46,2491,2552,178,0
-1599,385,-606,2652,0
-207,-413,2667,1186,0
-3556,2682,-2336,375,0
22,-1787,-1658,679,0
1585,-1374,895,79,1
1649,385,233,-295,1
-275,86,1215,1217,1
279,-21,-229,1093,1
-91,158,-555,2495,0
464,817,1694,382,1
-55,244,-422,-2994,0
-519,2004,-2851,2371,0
728,-1556,-433,954,1
85,-7,1537,827,0
-5954,528,2668,-643,0
-1555,-3222,-683,179,0
85,1859,166,381,1
3106,-1283,16,-1012,0
67,691,-33,353,1
-1076,-95,-2841,-2,0
-1384,-76,-1162,2318,0
-42,-1253,357,-2098,0
1734,1723,198,322,1
1804,3932,2217,148,0
-289,768,97,-95,1
2061,174,-46,2719,0
133,71,221,1304,1
-2,1674,1607,394,1
2993,-1756,-3798,671,0
-921,2669,48,1236,0
48,485,-186,-1254,1
-291,2186,664,-166,1
-261,1147,3035,28,0
103,-316,936,353,1
-1248,31,-1598,454,1
-1339,5992,1043,1331,0
175,-1356,-135,-86,1
-451,5,-306,1263,1
-541,2164,-498,1452,1
-1727,-878,646,178,1
103,-2277,-1486,33,0
609,-476,1215,-669,0
2221,1694,392,1298,1
1171,-1075,-892,-667,1
-177,-1056,-1111,-948,0
-2763,-1068,1003,-552,0
964,-108,227,1484,1
-303,-237,1044,751,0
198,2133,2528,231,0
1142,-688,1091,-1784,1
191,1243,1974,3965,0
392,1793,1368,464,1
1293,58,-2256,618,0
-436,2256,-1464,-1197,0
716,46,68,-759,0
-86,-3984,308,4698,0
-87,185,16,-64,0
1124,-815,1939,-865,0
3932,1416,-892,1322,0
2591,-491,1847,-169,0
718,-1076,633,186,1
-962,-23,257,-46,0
7,-554,1026,-4,0
148,667,-665,852,1
823,-217,-731,578,1
61,-252,-55,2144,1
45,-379,2656,2075,0
906,1468,2552,-696,1
-163,-348,1414,-216,1
-1041,584,-733,374,0
35,-3173,2482,2454,0
