@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R5,8,10,13,21'

@attribute A5 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute Class {0,1}

@data
1388,1163,4408,222,0
158,1139,57,1896,1
-241,-1512,298,731,1
209,-2061,-3053,-1562,0
888,562,26,243,1
-1229,1486,-999,-2912,0
-2372,-1462,-1692,499,0
378,-706,282,627,1
11,1519,1393,581,1
-1619,-81,-3139,-4303,0
3316,33,1346,2085,0
223,4,-521,-418,1
971,424,2242,1127,1
-563,2626,67,59,0
-358,245,1076,-153,1
-671,-3447,-2274,2441,0
-1987,-1239,2751,-2394,0
843,163,959,-19,1
128,1113,752,-1026,0
1861,-2787,1446,-1976,0
-1881,1405,62,-91,1
834,-156,1074,606,1
-2031,825,42,-2603,0
1414,2038,-67,559,1
1492,1085,717,11,1
-3024,-547,4662,2507,0
-183,-159,2315,761,1
854,-4182,-237,3023,0
-1244,85,-26,2318,0
1848,-762,-14,-106,1
-105,-613,1646,205,1
-937,-1101,-229,-57,0
1272,264,-2,-427,1
1926,-665,-1566,-268,0
494,-204,637,2378,0
-475,-707,1623,1162,1
2296,1872,1378,-2,0
1001,-22,-65,1764,1
-33,812,1221,686,1
-1251,-2157,-2064,-3739,0
36,1717,154,-2057,0
-637,-953,-1021,4173,0
2436,-51,-1048,-1852,0
-301,-18,-58,-141,1
512,-56,-2215,-2688,0
-2517,-2407,3176,1256,0
1121,93,2325,363,1
1643,-754,-735,2475,0
1732,1031,-104,-993,0
1497,16,55,492,1
994,916,1002,49,1
2494,-861,-682,-822,0
-161,1361,1376,1132,1
-2985,-1129,-872,-1719,0
-193,-182,-389,864,1
-4923,3924,-618,15,0
-2268,-6061,843,-117,0
-1688,-285,88,69,1
-1283,243,3145,1804,0
-889,1415,511,-459,1
1289,-766,2192,1066,1
-333,-1155,-772,2079,1
297,2236,2547,843,1
1576,-335,1138,427,1
2456,202,-435,-662,1
-2072,-2594,-2729,167,0
-307,-81,526,-4063,0
-1005,1771,1581,-324,1
-253,-277,1111,-1466,1
1139,713,-75,-989,1
-606,-108,-1723,-357,0
-1406,462,65,69,0
788,207,-404,112,1
-758,1702,-152,618,0
-2687,1869,-1752,1216,0
1363,-457,-601,1236,1
842,-944,-384,1,1
-2006,2226,-122,872,0
-81,1062,-853,3692,0
189,598,-3658,546,0
3418,991,1454,-118,0
-988,-1045,-1045,2218,1
306,1587,443,613,1
-185,52,1451,888,1
-977,-1389,-158,-2765,0
1581,-31,1945,-11,1
-554,607,479,864,1
1291,2028,69,585,1
2674,1402,-3289,-138,0
1471,1165,202,1424,1
-2137,79,-596,32,0
-82,144,376,-2215,1
312,-218,-789,1317,1
119,841,-653,814,1
1626,851,605,423,1
