@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R4,8-9,19,21'

@attribute A4 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
112,23,1299,-81,1
-3736,-1674,-1966,124,0
857,817,878,-1546,0
1881,805,709,1315,1
557,284,255,77,1
594,-61,12,745,1
-312,-2368,-959,-2833,0
-1292,417,-3454,1378,0
-1915,814,9,-875,0
1038,251,859,1804,1
611,1841,796,-907,1
-1837,1246,1373,718,1
-1506,-1784,2209,-1016,0
1598,-72,-1553,818,1
1749,732,-2265,1598,1
709,132,1216,-467,1
152,1631,2887,-3383,0
-2031,282,-636,-1435,1
266,-408,-16,-836,1
42,-349,-682,1237,1
823,138,606,-229,1
-1359,1255,636,1558,1
891,2161,173,1186,0
129,1013,125,3297,0
-1121,1067,1829,-839,1
-3787,2866,-424,-315,0
246,2262,-69,4011,0
-1917,-3447,829,2298,0
-759,1852,403,-736,1
469,473,184,-123,1
-408,-536,1423,1634,1
983,-86,1467,632,1
-1082,651,-372,-283,1
892,5,1895,755,1
904,2314,733,1985,1
349,-282,122,592,0
2182,1231,1976,-382,1
-2245,2248,1435,504,0
-1735,2299,478,823,1
-1256,-895,-92,756,1
293,-126,2636,-306,0
-375,-452,-67,2008,1
79,366,1026,549,1
-317,3484,193,-691,0
1464,1443,-984,698,1
316,99,-3214,-1468,0
239,-412,-108,686,1
175,-53,1603,-261,1
148,417,-4264,-715,0
-684,1487,-1109,1078,0
349,-79,-1522,1703,0
267,-4,1139,-68,1
186,-212,226,22,0
1574,236,895,917,0
-1321,3463,654,1156,0
-796,973,3937,-2927,0
905,995,1862,1844,1
1231,1207,-2047,1401,1
-12,525,-487,-2791,0
162,1914,-57,803,1
693,1524,-2,362,1
-553,-513,-523,68,0
666,736,46,85,1
2148,167,1253,1514,1
86,874,1074,-658,1
766,-126,2079,1935,1
209,403,2193,-89,1
686,1531,-254,2567,1
1826,309,1708,725,0
954,1492,1631,668,1
48,68,902,585,1
58,1467,528,-672,0
-1442,-169,456,3989,0
-413,1783,114,993,1
-4926,896,-2007,699,0
739,-107,1147,2484,1
-871,-145,-1394,3039,0
-1707,711,-537,1781,0
-1304,3575,644,-728,0
902,-49,-117,-117,0
-658,2595,3197,1166,0
-73,951,-1146,926,1
1575,1443,1565,596,1
556,-752,685,-446,1
-1232,1461,-1173,1904,1
509,94,1926,-696,0
-1104,1676,714,-1267,0
46,2716,3275,798,0
786,1322,182,2355,1
722,982,-544,533,1
2749,553,4032,-3129,0
61,2875,-2119,-1709,0
-1217,1444,1945,692,0
957,372,624,333,1
-3962,2526,-617,13,0
-295,473,-2023,-819,0
-3533,-41,565,519,0
1538,107,2348,2584,1
-129,1008,82,-726,0
819,244,618,-661,1
-134,1919,285,1186,1
-3171,131,-814,-2151,0
-525,-339,1999,582,0
1803,2272,-548,-927,1
455,6,708,-915,1
946,1316,2637,173,1
-205,-999,19,-53,1
1006,1092,1086,-851,1
-691,1013,-1604,-792,0
1983,1082,468,-1497,0
2609,382,1723,-582,0
-509,-1041,2655,1897,1
-1276,-384,2817,-162,0
501,-244,263,1611,1
-277,111,738,1993,0
474,-1362,-392,238,1
-409,1441,-759,-709,1
1353,1094,918,188,1
287,4068,2324,671,0
694,1894,181,1351,1
-603,2142,-3024,974,0
-246,182,-161,1637,1
1059,814,414,2166,1
1811,-283,982,985,1
162,-1115,1482,3406,0
-811,1367,2486,6,1
1099,87,21,-19,1
1211,1099,1045,364,0
-1755,-1952,344,-1015,0
489,3158,-913,605,0
2042,1649,-462,-2188,0
107,-94,868,264,1
404,1249,705,-1053,0
142,-2624,-2835,-2641,0
587,1303,2297,815,1
-1284,-1473,-786,-1558,0
1994,-2244,2483,-1702,0
3178,1396,1337,124,1
-533,449,833,212,1
-233,2338,-238,1814,1
16,169,1624,-168,1
1266,1265,421,-414,1
1492,-385,-87,-2537,0
111,2273,11,-72,1
59,528,1792,-168,1
834,2737,959,-233,0
-18,-507,1,-354,1
-95,-985,533,-279,0
28,-2295,227,299,1
904,798,-332,-18,1
-1565,-2032,976,-1498,0
773,2015,-356,1114,1
-2253,-592,-584,-1806,0
359,1928,1907,553,1
563,743,-2344,-516,0
546,259,-2204,-197,1
1958,1517,-301,202,0
1965,-473,-4895,-1345,0
-2115,108,2902,137,0
-1444,199,-93,163,1
448,494,1237,759,1
964,712,-524,252,0
2116,-35,59,1068,1
228,-1037,-2103,313,0
-2763,3232,-2259,-1294,0
184,1165,775,865,1
-2161,16,-763,503,0
898,2827,-1595,-2337,1
1061,0,1194,-12,1
699,4073,-1283,37,0
937,-256,-1089,-3156,0
2217,166,-1589,1064,1
-157,-101,1446,648,0
1187,-378,-1923,-1442,0
3558,1038,-261,346,0
1703,951,-1595,1834,0
-83,2595,497,-987,1
519,-17,429,16,1
-203,-326,3038,-125,0
714,28,168,-193,1
2129,1402,568,-888,1
1046,-4,1498,438,1
-1799,363,-168,107,1
-272,-3429,404,-2864,0
-43,0,932,977,1
1734,1768,-716,2511,0
1067,1833,568,761,0
45,-975,-28,-905,1
1756,767,143,-754,1
1026,1849,-1191,601,1
112,88,-642,-1605,0
2308,1669,-1004,1308,1
-1653,432,27,233,0
2228,314,2131,1859,1
716,2655,1196,-1128,1
-725,224,1157,839,1
-1032,564,673,741,1
-1314,-1047,1528,1118,1
-1318,146,919,-1531,0
1762,1,1056,-911,1
83,-1783,465,-1089,0
-2246,1284,-374,3905,0
-1318,2376,4175,-4626,0
115,1168,1333,54,1
-254,858,-1059,1902,1
3411,62,784,-602,1
-603,36,-3016,-194,1
1288,-236,1691,1971,1
319,-3406,-3426,-605,0
-665,1518,-2393,-316,0
-428,1474,1304,-263,1
1022,-481,843,2167,1
2864,-1896,-1185,-2223,0
1238,1554,-663,71,1
-776,3389,556,1557,1
208,-191,-3803,256,0
522,-2374,-1282,-114,0
318,209,461,1433,1
-77,1147,3176,4316,0
582,98,496,868,1
1787,1637,-1982,-189,0
-1216,2564,1097,-2309,0
172,-1131,1554,353,1
779,-471,1718,2323,1
1955,-361,577,-1597,1
1067,1586,1603,1137,1
-1729,1584,4568,-1119,0
-1826,-875,-673,-1855,0
-893,1216,1484,73,1
-231,105,175,416,0
1069,-829,843,-644,1
-2031,106,-933,-1562,0
-108,-1033,366,337,0
269,-5,1059,4,1
2615,2419,1257,-241,0
3197,-46,241,1723,0
128,2376,-2142,762,0
56,448,-188,928,1
282,1968,2541,-2068,0
-591,-1241,1058,-2154,0
2596,692,-1283,-368,0
-1769,-2019,7,911,0
-234,193,882,1686,1
-4448,-908,-1386,1423,0
3084,-1859,562,2107,0
2241,-105,39,-3076,0
2892,-3724,3333,1476,0
305,-1039,182,1618,1
-134,1954,4612,3485,0
-641,-268,373,-2151,0
-822,-868,-1538,-187,0
909,-372,436,1474,0
-64,1505,705,372,1
0,1662,2321,6,1
2666,27,-62,-733,1
1403,87,2847,1169,1
1148,2252,-182,1492,1
-581,105,-2532,-24,0
561,1774,489,-587,1
95,925,629,-1198,1
1271,1076,-108,1211,1
1551,401,-298,-1207,1
-134,3408,3506,-267,0
2496,614,36,1936,1
273,-801,-379,3717,0
-379,-607,9,589,1
189,1512,48,747,1
-849,-1275,-1454,694,1
-387,3602,-1755,1931,0
-409,-5399,-5047,-343,0
1882,-1972,558,116,0
-232,219,-25,-1861,0
3018,-1537,-2294,-765,0
-1248,3311,1136,-402,0
-579,-1288,686,2539,0
-416,2256,1225,85,1
-175,1994,1369,658,1
-905,1288,688,1288,1
-874,1184,1098,246,0
247,-3008,2273,1506,0
-9,926,813,1739,1
2114,2627,4372,-1777,0
-62,98,1074,-863,1
1702,-156,802,1405,1
-1167,1664,24,1166,0
-105,1143,1373,52,1
274,625,547,696,1
531,-159,1978,-3277,0
248,191,12,1151,1
-3793,928,1572,252,0
-58,-713,561,95,1
-123,2025,-59,1602,1
1495,-564,529,-58,1
895,1087,805,354,1
-3157,2316,1432,1512,0
65,11,-14,82,1
-2622,-1853,-1695,-1514,0
917,-1255,453,1036,0
-1434,-152,-126,1762,1
-3029,1223,-432,-1226,1
1079,-2779,-66,874,0
-1777,1325,-4302,-1916,0
-2286,-23,-416,1125,0
-24,75,879,-1665,1
-1747,384,-321,-495,1
1429,636,-1392,-2423,0
104,993,-1956,1154,1
22,1001,1907,26,1
-1262,-1312,1252,11,0
338,-2622,-1712,-954,0
-1117,-3671,-2372,812,0
408,15,731,-508,1
726,-3034,2057,-173,0
1279,786,561,79,1
-3,793,979,25,1
1579,-571,-1214,1216,0
-924,1144,254,-1252,0
1124,-74,739,-67,0
1492,-2816,-2136,-1718,0
713,409,56,1719,1
-1044,1597,1452,1321,1
479,2629,-382,-73,1
-414,668,-1014,-108,1
1614,-1948,752,-2733,0
-1247,-1811,158,-5772,0
-236,-1096,932,-44,1
137,1208,-41,1247,1
-961,4087,-2574,-1019,0
-304,1451,-594,54,1
1526,275,1355,664,1
1419,-604,-709,1054,1
862,859,326,-637,1
-2328,-1427,-914,2696,0
103,-575,-195,9,1
2576,-344,1228,1484,1
341,-1577,-2976,644,0
-29,-737,-861,951,0
115,2898,2241,-375,0
347,-286,1116,-2336,0
2252,-238,1341,1521,1
-755,-3141,-211,-1458,0
1374,-6007,-1091,-1004,0
-2343,-4095,-2653,961,0
257,2794,-1232,2972,0
-122,958,94,-94,1
3401,1105,-2116,1846,0
471,-1106,2148,-2393,0
-558,-519,751,1296,1
-1556,-1928,582,601,1
1489,-814,402,-678,1
14,2451,3918,-1256,0
14,-877,111,786,1
-341,1524,4216,-21,0
-497,-872,-1859,2139,0
-675,-1819,-1339,-1938,0
-1123,777,-96,949,1
-775,1114,97,-139,1
1452,637,-1579,-1939,0
2311,1835,-182,1305,0
-344,-524,1329,744,1
-879,-402,-166,619,1
1304,-277,-218,2572,0
75,-74,86,-282,1
1388,-1838,593,3228,0
229,1222,-935,1439,1
779,625,1197,865,1
-142,-28,379,593,1
1026,-1764,606,2109,0
71,-272,-1531,622,0
-598,2053,186,-489,0
2659,-2593,1466,1,0
-57,771,-93,1327,1
-1769,3999,1466,78,0
68,548,-797,-756,1
298,-34,309,2665,0
86,-455,264,1635,1
3818,334,978,-491,1
895,2331,1454,-804,0
299,1947,-862,-1392,0
1728,875,3828,638,1
-445,2914,-1341,-2038,0
-3,-1441,-5922,1729,0
296,545,-732,1335,1
1216,-1587,-2247,-692,0
1909,-91,-444,-27,1
382,-3609,1592,466,0
-74,-199,-1205,284,0
1095,-557,443,422,1
-1422,3921,24,-854,0
1397,-798,1841,117,1
-25,1382,-643,-188,1
-347,-1295,4133,325,0
-632,654,525,227,1
-2153,-2488,2643,-1318,0
-1425,456,88,-2969,0
-1164,75,-85,2357,1
103,1736,-1783,-796,0
-689,159,467,1846,1
608,889,592,1408,1
-215,-898,-218,-782,0
3215,394,-3784,284,0
-2461,-2306,97,134,0
3802,321,-491,1248,0
28,-594,-709,3,1
-1001,475,1098,67,1
1276,-3624,-3382,-366,0
-311,2225,1298,-1407,1
886,761,-859,1604,1
-327,106,-3212,-3215,0
-3806,-122,-631,-1125,0
1352,441,1406,288,1
312,953,2125,-281,1
-1715,512,1128,-47,1
-2278,-49,691,-2424,0
-825,-61,1411,-2477,0
-2785,1281,192,205,0
-2867,-65,-4876,-4865,0
963,1772,-2962,1681,0
-317,-372,-1079,1716,1
-11,482,-32,-358,1
-866,589,-163,-2167,1
-1841,5668,192,1611,0
-6,4355,1727,2153,0
1517,2693,657,564,1
1792,-204,526,62,1
617,-278,1319,3065,1
739,-116,-417,-2459,0
-1042,-1122,3057,-408,0
-1373,1264,-982,-3749,0
7,1924,789,1186,1
1778,2816,-303,466,1
1393,3112,673,-77,0
-404,-55,257,135,1
-8,2122,733,1151,1
-47,1463,681,2425,1
598,-525,-2413,-3476,0
192,537,-708,1569,1
2611,-1612,1642,-152,0
624,-52,4645,2294,0
45,199,5015,-1839,0
-891,-456,777,-186,0
429,-943,892,-667,1
1804,-63,-2227,-3294,0
-65,145,-293,1193,1
984,-1023,-259,-815,1
131,695,729,-1971,1
373,-452,942,16,1
-363,-3,906,-82,0
133,29,-4509,2,0
763,685,-152,77,1
-331,545,1138,-1664,0
1093,-1565,575,947,1
956,-23,551,-893,0
-62,1107,-1182,909,1
-4862,3267,634,48,0
-548,38,-2814,143,0
-786,624,944,-619,1
957,1557,-1534,9,1
2656,209,-1371,-514,0
-1382,53,64,-14,1
702,538,1113,-1652,1
-432,-1097,-1213,-294,0
-788,-1553,782,14,0
1263,912,408,-1161,1
2114,618,1367,121,1
-2144,-3078,2477,4116,0
667,-2044,216,194,0
221,-1429,293,2191,0
966,2075,-1516,111,1
3525,-949,2072,-1035,1
2,-345,5813,-1947,0
-325,646,-147,277,1
-2028,2068,1945,-1109,0
-2948,2039,-226,-1019,0
132,268,2479,1723,1
226,573,-1479,-1529,1
1499,-282,-77,1794,1
1185,-188,1978,696,1
-352,647,2677,-2756,0
3594,-3328,2451,-847,0
34,1293,983,-1454,0
996,199,801,-736,1
3651,132,-616,-342,0
-23,1488,899,-199,1
-6,582,1139,208,0
936,1911,-148,643,0
2371,3557,-439,-202,0
-21,38,-148,157,1
949,1313,-509,1593,0
-361,23,19,4216,1
-1209,-1387,-166,2202,0
-1367,-1271,-2281,17,0
-87,368,99,25,1
-2072,-1186,-4522,-579,0
692,526,-588,1533,1
1708,922,-8,1941,0
431,-1262,-43,1812,1
1534,54,-2224,1989,1
2723,-797,3411,-1149,0
1112,872,-846,2331,1
7,-11,-668,568,0
3559,-2072,145,4141,0
-16,1781,1867,1189,1
2981,-757,-3599,1356,0
759,-935,2046,607,1
-527,518,1054,-2687,0
-24,119,6,491,1
719,-4388,-159,1816,0
2138,1712,185,252,0
1021,566,1624,193,1
-741,-2461,297,104,0
1068,-89,2559,1102,1
695,735,665,357,1
912,-2818,1997,-279,1
47,-2138,-97,367,0
-1528,2529,149,1318,0
-232,-926,-1227,-4704,0
454,644,177,1931,1
-502,649,-173,-791,0
-565,-1568,-772,-1,1
4351,-33,-623,2801,0
2431,1136,4614,-233,0
304,2223,-2692,2931,0
197,501,1755,181,1
55,-528,-34,-283,1
569,1758,271,-383,1
-291,2119,-1818,3072,0
1525,-1523,1491,-414,1
-3235,-1399,-4187,116,0
627,-4476,-2388,624,0
627,-1063,371,445,0
-106,-457,74,1383,0
-1067,-1524,1191,593,1
1143,619,1032,-572,1
1399,-1226,-176,-5684,0
553,-19,102,-199,1
-88,1195,-2439,-228,0
-106,1668,-39,214,0
