@relation ring

@attribute A4 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
612,-726,-1397,67,0
3406,-1334,-859,491,0
4872,-569,-3017,-1078,0
2864,1136,-607,-2223,0
-2341,-4495,1786,414,0
-645,2133,491,-2526,0
1894,1576,-1371,-838,0
-1346,748,767,-82,0
637,-204,-847,-555,0
-1223,-1257,-46,1806,0
292,1,-237,-1454,0
-45,261,-1461,179,0
-1725,-287,-2876,-308,0
-144,-99,-265,582,0
-377,1743,-405,-3336,0
-1348,2724,-3661,2997,0
2619,-2154,678,404,0
-1704,-94,2104,-204,0
3044,1825,-53,196,0
67,273,18,3432,0
1352,486,1699,-1399,0
204,-924,-1634,-1288,0
388,2912,-15,-2475,0
-1601,-2899,-171,418,0
1244,-2702,-3176,-1346,0
1936,1309,-1283,-1504,0
-684,-1269,-1598,1078,0
-3629,-389,-1623,-115,0
3141,517,18,-267,0
-1772,-728,2765,443,0
29,-2943,2476,-424,0
3018,2065,-2564,2721,0
-2554,-402,-3663,-242,0
-458,1695,-298,1906,0
1054,2289,-711,1059,0
43,484,21,2294,0
-933,369,-3503,1309,0
278,-1464,-42,-189,0
-683,621,224,-144,0
177,282,-35,43,0
-11,-27,-1666,2773,0
-8,-1408,49,-74,0
-2112,-2407,2561,5105,0
-188,4598,-314,-2123,0
-938,-2803,-869,1674,0
-3209,298,1,597,0
-678,1147,891,-579,0
-5101,-2286,-98,382,0
936,253,3049,643,0
-641,-2287,-1759,-2151,0
-689,-3851,-1251,-168,0
-84,-954,74,237,0
-1027,1336,25,5126,0
-2287,276,-1967,-275,0
-188,-2212,25,-1904,0
-1451,-148,-778,514,0
-295,-1579,1082,1128,0
-1668,427,497,1129,0
197,-2,-821,-982,0
-2246,-117,2458,-1614,0
468,2321,317,-241,0
-884,1594,1382,244,0
758,116,-846,-123,0
55,-3329,-3052,-1118,0
-3155,289,3452,-395,0
1615,1311,-1176,-3066,0
-4482,-518,-3561,3039,0
74,2544,-3482,-46,0
405,-121,1443,-2553,0
-2276,2081,2946,173,0
1241,3134,-324,-4146,0
-1473,-1957,-562,-824,0
2,1427,-1267,-1947,0
907,-201,-2317,-1907,0
-1158,-1731,538,281,0
2648,559,398,-667,0
-3763,-2945,-1478,-1064,0
501,-2754,2502,-1122,0
-3528,2256,-1661,-147,0
836,912,904,-1492,0
184,872,-2753,-2703,0
-194,1297,3781,638,0
-38,-1806,-77,-182,0
-1186,3144,-238,1542,0
