@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R4,13,18-19,21'

@attribute A4 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-1283,1683,-619,4193,0
52,1705,589,-1062,1
953,-195,33,-2919,0
-343,3364,263,-2306,0
808,29,-979,578,1
672,927,-857,562,1
339,539,723,1152,0
571,55,-1314,522,1
47,-278,595,-801,1
974,-392,-676,-15,1
571,2094,147,613,1
-3862,-1942,-1218,4101,0
-994,-1967,274,-3039,0
-1425,1001,1418,2257,0
-1265,2892,907,1152,0
3851,-998,-17,984,0
2659,-957,4767,-1298,0
-1472,-435,-118,-1076,1
-906,-906,12,3228,1
656,675,483,-459,1
-369,1487,-1429,-1308,0
-561,1849,1539,1058,1
128,227,-1918,227,0
-2598,1712,62,1904,1
-2002,-1946,-168,1016,0
428,806,38,1642,1
-3,-1711,1118,86,1
1346,-658,1944,98,1
337,989,56,-632,1
1876,-426,-1228,264,1
-1169,-2047,606,963,1
2326,-1283,1593,1285,0
1135,167,517,-259,1
-567,-2388,-4903,-1547,0
2767,2874,1187,-34,1
-833,-1212,1846,-706,0
963,1251,296,1142,1
-4275,-2092,-441,873,0
628,82,-133,1235,1
779,483,42,2208,1
175,-194,-476,1672,1
-2653,65,-3206,92,0
277,-1081,1591,1004,0
-2462,-1586,209,159,0
1072,-124,1352,-525,1
-857,-273,97,75,1
-1582,1294,-1816,-158,0
534,23,1621,1474,1
276,713,-47,35,1
-345,-1605,-196,-21,0
-911,599,29,1348,1
-294,912,1074,744,1
748,-1847,662,-1128,0
1102,1301,513,336,1
-451,168,413,2342,1
-502,-147,821,1294,0
-1442,-3451,-1677,-1665,0
749,-275,117,38,1
-964,-935,-2432,-2141,0
-8,68,2558,344,1
-72,1198,221,2244,1
1442,252,-267,7,1
3778,494,3793,-2742,0
208,814,1158,96,1
49,2754,-1762,188,1
-1455,-228,-102,374,0
1865,2161,326,425,1
-186,-678,-514,723,1
-277,-2388,3094,498,0
1347,2053,666,1369,0
1468,-1223,-328,376,1
3801,-293,-4774,19,0
1919,-1787,296,14,1
592,566,78,278,1
213,-2113,3372,-172,0
85,-835,-31,84,1
179,1222,589,-84,1
-55,-359,589,161,1
-924,-584,845,479,1
-822,2554,16,3586,0
1925,-119,1444,3308,0
-2436,-736,1113,-5663,0
-213,25,948,1581,1
2197,2414,-1212,-118,0
-861,1262,554,1665,1
-438,-1358,1398,3,0
-1444,2395,-308,-39,0
-3311,-138,-16,-732,0
-1299,647,569,-522,1
32,612,-742,-322,0
1532,-784,134,-1538,0
-1368,1389,-1323,657,1
519,-23,-93,621,1
-394,-3,-856,-1097,1
2939,688,-833,-66,0
-698,406,157,12,1
106,769,677,-717,1
1011,-32,-199,1207,1
-839,-212,873,235,1
-3108,-1389,155,-2884,0
-3562,-2901,501,-3939,0
