@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6-10,12,14,17,20,22,24,28,37'

@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp28 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp41 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,98,76,76,98,72,95,76,74,95,78,75,4
89,98,76,76,94,76,87,71,70,83,67,67,4
85,90,72,68,85,72,83,68,67,83,67,62,4
89,86,72,68,85,76,83,68,67,83,67,62,4
115,111,91,92,115,94,99,88,88,112,92,87,3
106,111,87,88,111,91,112,92,92,107,92,87,3
102,106,83,88,111,87,103,88,85,103,85,87,3
111,111,87,88,111,87,99,84,85,95,81,79,3
49,71,65,57,49,65,54,53,63,54,63,67,5
91,104,74,76,95,78,91,75,71,87,71,70,4
107,118,88,88,103,85,107,88,87,103,87,89,3
103,108,85,88,103,92,103,93,87,107,87,85,3
103,113,92,88,107,88,103,88,87,111,92,81,3
79,79,67,71,79,67,75,71,67,75,67,70,7
95,100,79,79,95,75,100,78,78,91,70,79,4
91,96,75,75,91,71,91,74,70,87,70,72,4
116,118,92,88,111,92,109,90,89,104,92,90,3
107,113,87,88,107,83,109,86,89,109,89,90,3
103,100,83,88,103,83,100,82,78,100,81,83,3
103,104,83,84,99,83,100,82,81,100,81,79,3
99,104,83,79,95,75,100,86,85,100,85,83,3
54,85,67,55,51,67,63,59,63,56,66,60,5
91,92,70,78,91,74,91,83,72,91,72,76,4
83,88,70,70,83,66,91,75,72,81,64,76,4
96,104,78,86,100,85,48,71,75,99,83,133,2
104,108,85,86,104,85,103,87,83,99,83,83,3
100,108,81,82,96,78,95,83,79,99,79,87,3
88,93,68,79,91,72,88,82,73,92,73,72,4
108,114,86,92,108,90,106,93,90,115,90,87,3
99,105,83,87,99,83,102,85,83,102,83,87,3
95,101,79,83,99,83,102,82,87,106,87,83,3
103,105,83,79,88,72,106,82,87,97,80,83,3
66,72,64,59,57,64,79,67,62,63,58,68,7
115,119,97,89,120,97,131,92,98,120,98,107,3
102,105,80,78,97,80,98,80,76,94,76,78,3
37,119,136,44,34,136,31,47,139,31,135,135,2
106,114,90,89,102,90,115,92,94,111,91,88,3
102,114,90,89,106,87,115,88,91,106,87,92,3
102,114,87,89,106,87,102,84,83,102,87,85,3
106,114,87,89,106,83,102,88,87,102,83,85,3
89,94,72,80,89,72,99,80,74,95,74,75,4
94,94,72,80,89,68,91,71,74,91,70,75,4
49,111,109,50,40,128,45,46,146,31,143,104,2
106,111,87,88,111,87,107,84,85,107,88,83,3
102,111,83,84,102,83,103,88,85,103,85,87,3
94,94,76,76,89,72,79,71,67,75,63,71,7
121,128,103,88,121,99,121,93,96,111,92,103,3
99,100,74,84,95,78,95,84,75,99,75,81,3
107,113,85,88,107,88,107,88,87,107,87,81,3
107,108,88,88,107,92,107,88,87,107,92,89,3
103,113,85,84,99,81,103,84,79,91,71,66,3
111,113,92,88,103,87,109,86,92,113,92,90,3
58,104,100,51,45,116,53,49,125,32,133,135,2
37,128,137,41,32,150,32,52,114,37,122,135,2
91,100,79,88,107,87,37,49,111,71,85,127,2
111,113,92,84,107,92,109,90,92,113,96,98,3
91,93,71,71,79,62,75,70,66,75,66,60,7
83,85,67,75,79,71,75,66,63,79,66,60,7
113,122,92,90,109,92,112,92,94,117,98,90,3
96,96,78,82,91,74,91,71,90,57,101,108,2
53,108,107,49,37,125,37,46,135,32,135,143,2
