@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6,8-9,16,18-19,21,24-26,29,32,35-37'

@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp27 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp45 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,87,92,85,99,104,88,88,88,103,88,87,113,87,3
106,87,84,81,99,108,88,85,88,95,88,83,109,83,3
77,79,60,78,54,87,56,78,79,91,75,79,96,79,5
94,72,72,74,79,87,71,67,75,83,71,67,77,67,7
66,68,57,67,68,79,53,70,67,64,59,71,85,67,5
107,88,80,87,107,113,79,83,78,100,82,85,108,85,3
112,92,92,92,111,113,93,92,90,109,90,89,112,89,3
112,96,92,92,116,118,88,92,90,109,90,89,117,92,3
103,88,84,87,107,113,88,83,90,109,86,89,112,89,3
103,85,88,83,103,104,84,83,82,100,82,81,104,81,3
68,67,53,67,61,77,55,67,66,71,66,66,73,63,5
99,79,84,103,123,127,82,85,92,122,96,105,114,86,3
107,87,88,89,104,108,90,89,92,108,92,86,105,83,3
107,87,88,85,109,112,86,89,87,103,92,90,110,90,3
103,83,88,81,96,100,82,81,87,99,87,83,101,79,3
99,83,79,81,96,104,82,81,83,95,79,79,105,83,3
91,79,75,81,100,104,82,81,79,99,83,83,101,79,3
72,67,67,66,75,76,66,66,71,77,71,68,86,68,7
91,70,74,75,91,97,83,72,78,97,82,76,93,73,4
87,66,74,72,91,93,79,68,78,92,78,73,93,73,4
87,66,74,68,84,93,75,68,78,88,78,69,89,69,4
40,114,63,131,34,119,52,105,44,37,44,136,119,133,2
83,70,74,83,88,97,71,68,82,97,82,80,89,73,7
53,70,56,60,66,72,59,64,70,79,67,62,74,58,7
103,86,87,101,115,119,89,97,97,131,92,98,125,98,3
91,68,79,73,88,93,82,73,80,89,80,72,90,68,4
84,72,75,73,84,93,74,69,72,85,72,72,102,83,4
88,72,67,76,75,93,57,90,57,49,50,128,125,135,2
99,83,87,83,97,105,82,83,88,111,88,87,106,87,3
95,79,83,87,102,101,85,83,88,106,88,87,115,87,3
63,60,63,65,79,82,67,62,72,81,72,68,78,61,7
92,76,78,76,94,94,80,72,84,95,80,74,100,74,4
92,69,78,72,89,98,80,72,80,95,84,74,91,70,4
92,76,82,120,73,106,84,83,46,34,50,103,104,81,2
115,90,93,87,106,111,92,87,88,107,88,88,113,88,3
111,87,89,83,102,106,88,87,88,103,88,88,113,88,3
102,83,85,91,106,106,88,87,88,103,88,88,118,88,3
102,83,82,87,102,111,84,83,88,103,88,85,108,85,3
88,69,74,72,85,86,68,68,68,79,71,70,91,74,7
79,62,67,68,81,86,72,61,76,83,71,67,79,67,7
81,72,64,103,54,104,53,114,44,34,48,121,113,104,2
111,91,88,81,103,108,88,88,59,58,79,79,109,87,3
102,83,88,85,103,108,92,88,88,107,88,87,109,87,3
115,94,88,88,107,113,92,92,88,107,84,92,113,92,3
102,83,88,85,103,108,88,85,88,103,88,87,104,79,3
98,83,80,70,79,83,68,67,75,83,75,71,85,71,7
121,99,92,96,111,118,88,92,90,118,90,89,112,92,3
87,81,88,125,58,104,79,79,46,34,49,125,117,111,2
103,88,88,79,107,109,88,87,49,43,66,85,104,81,3
79,67,71,71,79,85,71,67,70,79,70,70,84,70,7
79,67,71,67,83,89,75,71,74,83,74,70,84,70,7
32,150,44,114,37,117,46,151,46,37,52,109,119,139,2
29,141,44,151,29,138,46,140,42,30,42,142,124,135,2
34,129,44,125,34,122,46,129,46,34,49,131,119,124,2
32,129,48,129,34,122,46,125,46,34,46,127,124,124,2
107,87,88,111,71,100,82,81,46,37,52,98,101,79,2
107,92,84,89,109,112,86,89,83,103,87,90,114,86,3
79,71,71,66,79,80,74,70,67,73,63,57,82,64,7
79,71,71,70,83,84,74,70,67,73,63,57,72,60,7
109,85,82,94,108,114,87,83,93,115,97,94,114,90,3
