@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,3,9-10,13,19-20,22,25-26,28,37'

@attribute Sp11 numeric
@attribute Sp13 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp24 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,102,84,94,84,104,78,99,84,107,87,3
68,86,68,94,68,87,67,83,71,75,67,4
68,94,80,98,71,91,74,95,67,75,71,4
88,115,88,106,88,113,88,103,88,107,87,3
84,111,84,98,92,113,85,107,88,111,92,3
88,115,88,111,92,118,88,107,88,107,87,3
88,111,84,106,88,104,85,99,84,99,83,3
88,104,88,112,88,113,87,111,90,104,89,3
97,113,92,112,93,109,87,107,90,109,89,3
92,118,88,107,88,109,87,103,90,104,92,3
84,108,88,107,88,109,83,103,82,100,78,3
88,108,88,99,84,109,83,103,82,100,81,3
67,85,75,83,56,112,114,34,46,32,131,2
79,104,84,99,49,104,85,96,46,34,131,2
88,109,84,103,86,112,89,104,87,103,86,3
88,109,79,99,86,112,92,104,87,108,86,3
84,104,84,103,82,104,81,96,83,99,83,3
84,104,75,87,86,112,85,100,83,103,86,3
79,100,75,83,86,112,85,96,83,103,79,3
66,88,56,49,49,119,127,32,44,34,136,2
86,104,86,104,92,105,83,103,89,111,83,3
82,108,82,96,83,105,79,95,89,106,87,3
86,112,82,96,83,105,83,103,78,102,83,3
86,112,78,83,83,105,83,88,82,106,87,3
87,114,92,122,89,124,101,125,88,120,98,3
92,135,92,108,93,129,101,120,88,125,109,3
79,93,79,88,74,97,73,88,80,89,72,4
87,105,83,99,82,110,83,97,84,102,83,3
83,110,87,103,85,105,83,106,88,102,87,3
92,110,87,108,89,114,90,106,92,115,94,3
83,101,79,99,85,105,83,102,88,106,87,3
63,72,56,48,67,74,58,56,72,77,61,7
97,119,93,115,92,125,98,125,88,126,103,3
44,124,44,34,44,131,135,31,43,31,139,2
85,110,82,97,88,115,87,111,88,103,88,3
93,114,89,111,92,106,83,102,92,107,88,3
89,114,89,102,88,115,83,111,92,107,88,3
89,110,89,111,92,115,91,106,88,107,92,3
85,114,85,102,92,106,83,106,88,107,85,3
44,125,41,31,43,133,132,31,48,37,125,2
44,120,84,102,46,113,103,87,48,32,129,2
88,111,88,106,88,113,88,107,88,107,87,3
88,106,84,111,88,113,92,107,88,111,92,3
84,102,84,98,84,91,74,87,79,91,71,7
88,139,92,121,88,128,104,116,86,128,107,3
84,100,80,95,79,100,75,95,78,96,81,4
80,100,84,95,84,100,79,95,82,96,78,4
71,96,71,79,67,104,100,45,56,53,107,2
43,128,46,34,44,123,133,32,46,32,129,2
88,113,88,103,88,104,83,107,86,104,85,3
88,118,88,107,93,109,87,107,86,104,85,3
88,118,88,99,88,109,87,103,86,104,85,3
88,113,84,107,86,122,92,109,92,112,94,3
88,109,88,111,86,108,89,109,87,103,86,3
88,113,88,107,86,112,85,104,83,103,83,3
88,123,88,111,90,117,96,113,92,108,90,3
82,96,82,96,83,105,79,73,74,75,83,4
46,138,46,29,42,135,150,30,42,29,150,2
49,117,46,34,46,130,127,34,47,37,126,2
82,112,86,109,83,110,90,108,85,106,87,3
86,112,82,100,87,114,86,103,89,111,94,3
92,130,92,112,97,124,94,115,97,115,94,3
96,119,92,112,93,119,94,115,92,115,94,3
92,114,83,99,97,114,90,106,88,111,87,3
42,135,46,30,44,129,143,34,44,29,146,2
46,119,52,51,47,114,126,40,47,37,124,2
87,114,92,112,89,114,87,106,88,102,87,3
92,114,87,103,89,114,90,111,92,111,91,3
67,75,71,73,67,93,76,84,68,81,72,7
93,119,89,115,88,111,87,106,84,107,88,3
44,119,44,34,44,115,113,46,46,36,132,2
44,129,44,34,44,136,139,31,46,29,139,2
44,124,42,34,44,131,135,31,46,31,135,2
42,119,44,34,44,120,128,34,46,34,128,2
93,119,93,111,92,115,91,106,88,107,88,3
89,110,89,111,88,111,87,106,88,107,92,3
89,114,93,115,92,120,94,106,88,107,88,3
67,78,67,71,60,67,54,69,56,54,52,7
67,70,63,67,68,67,54,66,64,71,59,7
84,111,92,111,88,113,88,112,93,111,92,3
44,125,44,31,50,128,135,36,48,34,133,2
80,102,88,106,71,104,85,103,63,58,96,3
88,111,92,115,88,113,85,107,88,103,83,3
88,115,92,111,88,113,88,103,88,111,92,3
64,67,68,81,64,71,56,71,63,68,62,7
76,90,68,69,71,79,63,75,67,72,58,7
46,139,50,31,44,134,137,34,46,32,136,2
46,122,50,36,48,118,112,45,49,32,133,2
46,118,46,36,51,113,112,37,46,34,111,2
84,113,88,107,88,109,92,107,74,79,81,3
92,118,88,112,93,118,92,111,95,113,96,3
71,79,68,68,67,74,58,68,63,67,55,7
44,139,44,29,46,133,144,32,56,42,120,2
44,128,44,34,49,138,140,29,52,45,105,2
67,74,67,75,59,80,63,71,59,57,49,7
71,96,75,83,66,84,70,79,63,70,64,7
43,138,46,32,42,130,142,32,44,34,143,2
46,122,52,43,46,114,124,40,44,37,129,2
46,122,46,34,42,110,120,34,44,31,133,2
49,117,74,79,46,110,109,70,60,63,94,2
90,117,90,109,96,114,94,108,97,115,94,3
90,117,90,113,92,114,90,108,93,111,87,3
90,122,90,113,92,114,90,108,89,106,87,3
90,117,90,113,92,119,90,103,85,106,83,3
78,92,74,87,71,82,68,77,70,71,58,7
59,66,59,56,59,62,45,57,57,60,58,5
92,114,96,117,97,119,94,115,92,115,94,3
42,124,46,32,44,124,136,34,44,31,139,2
44,124,44,31,47,131,135,31,50,45,107,2
44,110,47,40,47,106,105,43,56,51,92,2
47,110,53,46,60,94,79,77,71,75,63,2
50,105,60,63,64,86,65,77,68,75,59,7
92,120,88,106,80,96,78,91,84,95,75,4
80,94,57,49,80,96,74,68,79,99,79,4
44,125,47,34,43,128,132,31,44,34,129,2
47,120,44,34,50,118,121,36,48,34,121,2
97,120,88,115,92,108,88,99,79,99,79,3
88,115,88,102,84,104,78,95,79,95,75,7
88,106,88,98,84,104,81,95,84,99,79,7
53,60,60,59,64,71,59,61,63,64,75,5
80,96,76,87,79,96,75,95,78,91,78,4
71,91,76,87,79,100,79,95,78,91,78,4
68,100,43,29,75,104,100,34,82,96,81,2
56,100,68,71,67,77,54,72,70,71,59,7
68,91,68,75,67,70,54,72,63,67,55,7
64,75,68,75,67,77,58,79,66,71,55,7
92,118,84,99,79,100,79,95,74,87,74,7
84,100,79,99,78,104,81,96,79,95,79,4
71,74,67,75,63,73,55,75,67,70,57,7
84,96,71,79,78,84,70,79,75,91,72,7
75,85,75,87,70,88,70,83,75,84,72,7
55,77,51,45,52,84,63,49,56,48,60,5
82,96,82,96,83,97,79,95,89,106,83,4
49,117,46,32,56,114,120,37,67,71,80,2
63,88,66,71,67,75,57,70,63,63,51,7
63,69,63,71,67,72,53,70,63,67,55,7
66,88,82,91,75,86,64,91,67,75,62,7
82,100,78,87,83,93,72,91,78,88,73,7
70,88,74,83,75,97,75,84,74,84,73,7
59,80,63,60,59,82,68,60,57,53,76,5
92,105,83,99,97,114,87,106,97,111,94,3
83,101,83,95,89,101,80,97,97,111,91,3
63,68,67,73,63,74,55,71,68,69,57,7
75,86,79,91,70,89,69,88,68,73,61,7
75,82,71,77,67,85,69,75,68,77,72,7
59,82,52,48,57,78,73,46,60,62,68,5
56,72,59,54,57,78,73,49,44,37,98,5
82,97,85,97,84,106,87,106,88,103,81,3
89,110,93,115,92,115,91,115,92,107,88,3
63,74,63,71,68,71,57,73,64,75,56,7
74,89,82,92,68,86,68,94,71,75,59,7
67,82,74,84,68,86,72,81,64,71,78,5
57,82,60,60,57,78,68,59,56,57,74,5
50,101,50,40,44,106,105,37,43,29,114,2
84,102,88,98,92,108,81,103,93,111,92,3
84,106,88,106,88,108,88,107,88,111,87,3
64,94,64,69,84,100,78,79,84,103,83,2
68,86,68,73,64,87,78,71,67,68,79,5
53,82,57,55,56,83,70,57,71,75,71,5
76,83,80,87,75,96,75,91,70,79,66,7
80,100,64,71,79,93,79,68,78,83,70,5
71,93,67,75,74,84,63,71,67,73,49,7
79,96,71,75,78,92,70,91,75,84,68,7
63,81,63,64,63,80,70,67,75,77,68,5
99,117,95,118,92,119,90,112,93,111,90,3
95,117,104,113,96,119,94,112,97,115,94,3
104,127,95,113,96,114,98,112,97,111,94,3
63,73,66,75,67,82,60,81,70,75,58,7
66,73,70,79,71,86,68,81,70,79,69,7
70,88,74,83,71,79,60,77,74,79,62,7
70,88,78,83,75,82,68,91,74,88,73,7
66,84,66,71,67,86,75,70,67,75,80,5
75,90,67,73,67,70,48,67,64,69,54,7
71,79,71,77,74,85,62,84,72,85,68,7
63,82,67,73,70,89,73,79,80,98,87,5
71,90,71,84,74,97,76,88,72,85,79,4
71,90,75,88,74,97,76,79,72,85,79,4
71,93,75,77,74,89,73,79,68,89,83,4
46,105,42,32,44,105,122,31,47,34,113,2
93,110,93,111,84,111,83,106,84,99,85,4
67,78,67,75,64,78,61,77,68,71,59,7
70,82,70,79,68,82,65,81,68,75,63,7
74,97,74,79,72,94,83,85,76,99,88,4
44,105,42,29,47,111,124,29,43,36,114,2
80,106,80,98,84,108,85,99,84,107,87,4
80,102,80,94,88,104,78,87,88,107,87,4
72,90,72,85,71,100,81,91,75,99,87,4
64,75,68,75,67,74,58,83,70,79,63,7
40,113,43,31,44,113,129,29,46,32,114,2
50,100,68,83,48,93,75,83,46,32,122,2
97,118,93,111,95,112,89,104,92,108,90,3
67,77,67,72,66,76,59,79,71,77,60,7
67,74,71,79,63,76,59,75,67,70,60,7
99,127,95,113,96,105,86,108,70,84,65,3
74,88,63,71,71,75,57,73,70,79,62,7
67,75,67,73,67,82,62,75,68,77,61,7
56,97,49,37,70,97,101,49,72,85,76,2
59,90,67,77,74,85,73,84,76,94,76,4
82,89,85,102,64,78,61,89,64,75,59,7
82,101,67,79,80,94,68,81,80,87,78,7
74,119,63,97,72,120,98,106,80,116,99,1
84,111,88,106,88,108,88,103,84,107,83,4
88,111,88,102,84,108,85,99,84,103,83,4
72,86,68,81,71,87,67,79,79,95,71,7
68,74,64,73,68,75,59,75,67,75,62,7
76,120,72,115,76,128,103,116,75,116,100,1
72,90,68,81,68,87,70,91,67,68,58,4
68,90,76,94,76,104,81,99,75,87,79,4
76,94,72,85,71,87,70,83,75,87,71,4
68,79,60,75,71,74,58,75,70,75,59,7
64,100,64,91,63,109,87,99,66,113,100,1
68,87,76,99,67,96,79,99,59,67,55,4
84,104,88,99,82,104,81,100,83,103,83,4
79,93,75,91,82,96,74,87,79,99,83,4
67,77,67,72,66,80,63,75,71,81,68,7
67,100,79,111,63,104,81,100,63,84,79,1
78,88,66,75,75,93,68,77,74,88,73,4
82,96,78,87,79,101,75,91,82,97,80,4
70,80,70,75,71,82,64,77,78,84,69,7
70,76,63,75,67,90,64,73,74,88,83,7
63,88,59,60,59,97,86,57,53,56,90,5
66,117,66,113,67,124,98,112,67,111,97,1
66,73,59,63,71,62,57,63,70,75,69,7
59,66,63,67,67,72,60,66,67,71,62,7
71,90,83,103,63,93,76,102,64,73,57,7
87,105,87,99,82,101,83,102,84,98,83,4
71,82,67,70,78,97,83,84,80,98,83,7
67,82,67,73,74,101,83,88,84,98,83,7
67,90,67,77,74,101,80,88,80,98,83,7
67,82,67,77,67,82,65,71,72,77,61,5
63,82,63,63,60,93,83,60,60,59,76,5
67,119,63,91,67,119,94,97,68,115,102,1
67,82,67,75,68,74,61,77,71,79,59,7
63,78,67,67,68,74,57,66,64,75,63,7
68,74,64,73,68,83,59,75,67,75,62,7
64,82,84,98,68,87,70,91,67,75,62,7
84,102,68,69,71,87,67,83,63,58,67,5
68,78,60,59,64,83,70,57,71,72,58,5
57,86,57,55,56,87,78,57,55,54,71,5
68,86,64,73,68,87,67,75,63,72,62,7
80,100,80,99,75,104,79,99,66,87,70,7
56,83,56,57,55,85,71,54,59,60,70,5
64,122,68,116,67,123,100,111,66,113,100,1
63,81,71,91,56,73,66,79,59,51,72,5
71,85,71,87,78,84,63,83,75,88,72,7
79,96,59,54,82,92,74,67,79,99,83,3
71,123,67,111,66,117,96,109,67,112,98,1
67,118,67,111,66,122,100,109,67,112,98,1
67,123,67,111,66,122,100,113,63,112,98,1
66,80,66,79,63,86,68,84,67,84,62,7
59,73,56,53,59,79,72,54,60,56,80,5
63,66,66,71,63,68,57,70,67,71,65,7
71,86,59,54,67,85,80,56,68,73,79,5
49,68,56,60,50,74,58,53,53,52,57,5
52,79,63,77,53,82,69,75,50,52,65,5
67,119,71,108,67,119,101,111,68,111,98,1
67,124,67,112,67,124,97,111,68,115,98,1
67,72,63,70,63,70,55,71,60,69,57,7
74,93,67,88,76,94,72,94,76,83,67,4
82,110,67,67,80,98,79,73,76,91,81,4
80,106,84,102,80,108,85,103,79,107,87,3
84,111,76,85,84,104,81,83,79,107,87,3
50,74,53,52,56,75,59,51,55,54,58,5
68,120,68,111,68,122,99,112,67,111,100,1
80,104,84,103,79,104,87,107,78,91,78,3
56,75,53,54,51,70,58,58,52,60,59,5
53,79,53,54,55,70,58,54,56,56,55,5
64,122,64,112,67,118,96,107,66,113,100,1
64,122,64,116,67,123,100,111,66,109,96,1
64,128,60,107,71,118,96,103,63,109,96,1
68,122,68,116,71,123,104,111,70,109,100,1
75,96,67,79,78,92,74,87,79,91,68,4
75,89,55,64,82,92,74,67,79,95,79,4
55,74,55,58,56,73,59,56,56,54,53,5
55,74,51,54,52,73,59,60,56,57,57,5
71,123,71,111,70,122,96,118,71,112,98,1
52,73,56,56,59,97,83,77,82,92,90,5
67,82,79,95,67,85,69,88,68,77,65,4
63,75,71,84,53,78,65,75,53,49,57,5
56,72,56,54,60,82,69,56,60,69,76,5
67,124,63,112,63,119,97,111,64,111,98,1
67,130,67,108,63,124,97,106,68,111,98,1
67,72,67,70,67,74,58,71,68,73,68,7
78,89,78,88,80,90,68,89,76,87,70,4
78,97,85,111,80,111,87,106,80,103,88,3
74,97,60,63,84,102,83,89,88,107,92,3
80,94,80,89,76,96,70,91,75,91,75,4
76,86,76,89,71,87,70,87,75,87,67,4
76,86,76,85,76,87,70,87,75,83,67,4
72,86,68,77,68,83,63,79,67,79,62,7
76,90,60,66,84,83,59,68,88,116,100,5
72,102,84,106,84,118,96,116,75,99,96,3
92,120,92,106,97,122,96,103,79,111,100,1
72,120,68,102,71,122,96,112,71,111,96,1
68,102,64,81,68,96,78,79,71,107,96,1
80,91,71,83,75,89,67,87,66,79,63,4
71,87,64,61,67,81,71,61,66,71,55,7
64,75,71,79,63,77,54,79,70,75,66,5
84,108,60,68,88,104,79,91,86,113,100,3
71,108,68,107,71,118,96,107,66,109,92,1
71,89,75,87,74,84,70,83,67,73,57,4
67,81,71,83,70,80,63,79,71,91,72,7
71,118,63,107,63,122,96,100,67,95,86,1
67,118,63,107,63,117,96,109,67,99,86,1
71,118,71,107,70,117,96,113,67,108,98,1
70,84,66,71,67,86,64,77,78,92,80,7
66,108,63,87,59,101,86,95,57,88,87,1
63,100,63,96,59,110,90,99,57,88,83,1
66,117,66,104,63,110,90,95,57,92,87,1
66,117,63,100,63,101,83,95,63,84,73,1
74,117,70,109,71,119,98,112,67,115,97,1
67,82,63,73,63,74,58,71,64,73,57,7
67,90,67,81,70,89,73,92,80,98,83,7
71,86,75,81,82,101,80,92,80,98,83,7
92,130,92,108,93,124,101,106,84,115,98,3
59,110,59,99,57,110,83,92,53,85,76,1
93,119,93,120,88,115,94,115,88,112,96,3
60,114,57,92,57,106,87,89,53,79,81,1
64,74,64,69,64,67,56,71,67,72,54,7
64,74,64,73,68,75,56,71,67,72,54,7
64,125,72,111,64,122,99,107,67,107,96,1
84,104,76,83,79,89,71,87,59,63,74,7
53,104,50,75,51,89,75,68,52,67,78,1
53,108,53,79,51,96,79,79,52,79,78,1
53,100,46,79,51,93,75,75,52,79,78,1
67,74,63,72,66,73,55,71,67,73,57,7
88,118,84,111,86,104,92,113,87,112,94,3
51,96,51,75,52,96,85,83,49,73,75,1
67,118,84,116,66,112,92,100,59,95,90,1
84,118,67,107,70,122,92,109,63,103,94,1
63,69,63,75,71,90,72,95,85,102,83,7
56,100,52,67,49,90,75,70,47,71,73,1
52,96,56,83,52,90,75,81,53,84,80,1
52,100,56,83,49,93,83,88,50,84,76,1
70,117,70,113,67,119,90,103,67,106,87,1
92,124,83,88,93,105,83,92,92,102,87,3
92,114,79,108,85,119,90,102,76,102,91,3
52,105,49,73,50,93,76,67,50,66,72,1
49,86,52,70,47,85,76,71,50,66,76,1
67,101,67,91,67,105,83,88,72,94,94,5
82,105,85,102,88,115,91,102,88,107,92,3
93,114,82,92,92,106,79,98,88,103,81,3
82,101,67,75,84,82,65,73,80,95,74,7
74,114,57,97,60,115,94,94,60,95,92,1
50,89,57,84,60,98,83,94,64,95,85,1
53,97,57,75,60,106,87,81,64,99,92,1
57,82,53,71,60,90,76,73,60,91,85,1
57,110,67,111,60,115,94,106,60,95,92,1
63,114,67,106,64,111,91,102,53,75,92,1
76,111,60,102,71,108,88,95,67,99,92,1
57,115,53,85,53,104,85,79,51,83,83,1
60,102,60,94,60,104,85,91,59,95,92,1
84,108,88,112,88,109,83,107,90,100,81,3
88,122,88,107,88,113,87,107,86,100,81,3
80,96,64,68,84,96,71,75,82,96,81,7
64,83,84,95,75,113,92,103,78,87,81,3
76,96,80,107,84,118,96,111,78,100,92,3
64,108,53,75,63,96,83,83,56,79,81,1
60,108,60,95,71,118,92,107,70,109,100,1
88,104,88,103,90,108,85,100,87,99,83,3
93,113,88,103,90,112,89,100,92,103,86,3
84,100,93,107,82,100,78,104,83,95,79,3
93,109,84,99,90,112,89,100,87,103,83,3
55,104,67,99,56,108,85,96,56,84,86,1
86,108,86,104,83,101,83,103,82,97,80,3
52,84,49,63,49,82,72,70,50,79,76,1
49,76,52,71,52,82,72,73,47,67,65,1
56,88,59,83,56,93,79,84,53,79,76,1
59,104,70,104,63,110,94,95,57,88,83,1
63,108,63,100,59,105,86,91,53,84,83,1
63,108,66,104,63,110,94,103,63,92,87,1
46,112,59,87,42,110,124,51,44,31,133,2
52,90,49,73,47,85,73,75,50,66,72,1
63,119,63,99,67,114,94,97,68,89,87,1
63,114,63,103,67,114,90,102,68,94,91,1
46,119,42,30,44,114,133,31,47,34,128,2
46,110,56,73,44,114,133,37,47,31,124,2
82,110,85,97,88,102,83,102,84,99,81,3
50,85,47,71,53,82,72,73,50,71,74,1
78,129,67,106,80,120,98,106,71,107,103,1
88,106,88,102,84,104,78,91,84,95,79,3
84,98,84,102,84,104,85,103,84,103,83,3
50,86,53,73,53,87,74,75,51,72,71,1
57,94,64,81,60,100,81,87,63,91,83,1
57,106,60,85,56,96,85,91,63,87,83,1
68,111,72,77,64,108,92,83,59,61,100,5
88,113,88,99,88,109,87,99,86,100,85,3
84,104,84,99,84,104,83,99,86,100,85,3
84,104,88,99,88,109,92,95,82,104,85,3
88,113,68,99,79,109,92,95,82,100,89,1
53,91,53,79,55,96,79,83,56,79,78,1
56,96,60,99,63,104,92,99,63,96,89,1
71,122,60,91,67,100,83,87,70,100,96,1
60,100,50,36,67,100,87,68,70,100,92,1
60,96,64,64,59,100,92,58,52,56,74,5
64,108,64,61,59,104,100,61,63,71,81,5
84,100,88,107,82,104,78,100,83,95,79,3
55,85,55,79,56,88,78,83,59,77,79,1
75,104,75,91,66,100,81,83,59,88,83,1
75,109,67,83,66,104,89,96,67,84,83,1
63,96,67,103,59,96,81,87,59,81,79,1
63,100,63,99,63,112,89,100,67,99,94,1
67,104,59,87,70,104,89,79,75,108,98,1
59,96,55,64,66,104,92,67,67,88,86,5
59,100,59,58,59,92,81,60,49,51,83,5
79,96,71,75,74,100,81,96,75,91,79,4
49,92,46,71,52,97,83,77,50,71,80,1
46,84,49,71,46,86,75,73,50,71,76,1
49,88,52,79,49,82,75,66,53,75,80,1
59,96,63,91,63,114,94,99,67,102,90,1
63,108,66,100,67,114,94,103,67,106,94,1
56,104,63,67,59,93,90,66,60,60,87,5
70,104,74,91,67,97,79,91,67,75,90,4
96,110,92,103,93,110,87,97,84,102,79,3
92,110,87,99,85,105,80,102,80,94,79,3
87,105,83,99,85,101,83,102,76,94,79,3
59,97,52,84,57,97,80,75,57,77,76,1
56,97,59,88,57,93,80,75,57,77,79,1
59,101,67,84,60,97,80,79,60,81,76,1
67,114,63,103,70,110,90,111,72,106,98,1
67,114,67,103,67,114,94,106,64,106,94,1
63,101,67,88,78,114,97,92,88,115,102,1
49,86,59,70,44,82,83,67,50,52,83,5
78,101,82,97,80,94,76,94,80,95,81,3
60,105,50,79,57,90,79,73,53,91,88,1
50,89,47,75,50,90,76,73,46,71,74,1
60,89,63,92,68,106,91,94,68,103,88,1
60,97,63,71,60,102,91,62,60,71,81,5
74,101,74,88,76,98,79,85,71,91,81,4
76,106,57,81,84,113,92,91,79,107,100,1
57,90,57,77,56,96,74,79,55,72,75,1
60,90,68,89,60,113,88,95,71,103,92,1
60,111,68,106,68,118,92,103,71,103,92,1
68,115,72,106,71,118,96,107,71,103,96,1
50,78,57,66,56,83,78,68,59,75,75,5
80,96,88,99,79,100,79,95,82,91,74,3
46,87,50,75,51,96,79,75,52,87,85,1
53,87,53,71,55,93,75,75,52,75,78,1
53,87,53,71,55,89,75,68,52,75,78,1
64,104,64,83,63,104,83,91,63,91,89,1
68,113,68,107,71,118,92,107,66,104,92,1
68,118,71,103,71,118,92,103,70,109,92,1
