@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R13-15,20'

@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
21.222221,-10.888889,0.444444,7
0.888889,-4.777778,6.888889,3
102.77778,-28.555555,50.77778,2
17.666668,-13.777778,24.88889,4
8.111112,-13.555555,25.444445,5
12.222222,-19.555555,29.444445,3
128.44444,-29,39,2
2.666667,5.444445,1.444444,1
77.77778,-49.666668,82,2
97.333336,-32,57.333332,2
0.777778,-3.333333,4.666666,3
19.777779,-7.888889,26.444445,1
48.88889,-20.666666,44.333332,6
8.555555,-10.555555,18.777779,5
43.555557,-14.111111,35.22222,6
113.666664,-36.333332,51.333332,2
17,-11.111111,-2.111111,7
40.666668,-16.88889,33.11111,6
0.444444,-0.777778,2.555556,5
23.88889,-7.555555,-5.222222,7
25.11111,-12,-7.333334,7
14.333333,-4.888889,-4.888889,7
41.88889,-14.111111,34.88889,6
52.11111,-22.666666,31.333334,3
3.444444,2.888889,4.888889,1
37.11111,-26.444445,40.88889,3
40.11111,-13.111111,29.555555,4
43.11111,-18,38,4
16.777779,-4.222222,21.777779,1
61,-31.11111,59.22222,4
104.888885,-37.22222,52.444443,2
0.111111,-2,6.333334,5
15.888889,-12.666667,25.666666,5
51.555557,-19.333334,39,6
83.44444,-43,73.333336,2
5,-4.777778,11.222222,4
10.444445,-5.333334,-6,7
19.444445,-10.777778,20.555555,5
121.55556,-30.666666,43.333332,2
17.666668,-3.555556,18.777779,1
26.88889,-13.888889,-2.888889,7
25.444445,-12.222222,-5.555555,7
2.888889,4.444445,2.777778,1
121.44444,-31.222221,44.77778,2
19,-11.888889,2.777778,7
51.333332,-23.777779,46.555557,4
6.111111,-4.333334,11.333333,4
105.333336,-38.11111,53.22222,2
45.666668,-15.555555,33.77778,6
53.666668,-20.88889,41.77778,4
8.666667,-11.777778,15.555555,3
13.666667,-4.222222,19.444445,1
39.22222,-21.777779,39.555557,6
0.777778,-1.111111,2.888889,5
3.555556,4.333334,3.333333,1
3.666667,3.222222,5.222222,1
13,-17.88889,27.444445,3
17.88889,-1.444444,19.222221,1
14.222222,-12,23.333334,5
25,-13.333333,26.666666,4
27.555555,-9.222222,-4.888889,7
21.88889,-18.88889,24.11111,3
31.444445,-12.666667,-6.333334,7
62.22222,-18.777779,41.88889,4
0.111111,-1.222222,3.111111,5
0,0,0,5
17.88889,-3.222222,20.777779,1
53.88889,-9.444445,27.88889,4
90.55556,-42,67.333336,2
107,-40.666668,53.333332,2
28.333334,-13.222222,23.11111,5
79.111115,-46.555557,79.44444,2
1.444444,-7,11,3
16.11111,-5.444445,-11.444445,7
0,0,0,5
133,-16.88889,27.11111,2
14.888889,0.111111,14.444445,1
33.444447,-14.777778,-5.111111,7
9,-16.555555,26.11111,3
108.888885,-39.77778,55.22222,2
6.333334,-8.222222,15.111111,5
52.77778,-22,46,6
53.11111,-16,35.333332,4
0,-0.888889,1.777778,5
36,-8.222222,22.444445,4
108.888885,-37.444443,50.555557,2
121.111115,-27.222221,40.11111,2
