@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,14-15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
126,237,5.777778,-4.666666,-4.666666,7
5,210,51.296295,-17.555555,39.11111,6
94,140,3.037037,-3.777778,9.222222,5
93,236,12.518518,-8.888889,-5.222222,7
111,246,25.88889,-14.333333,-10.333333,7
155,40,1.259259,-0.111111,0.888889,5
192,157,18.333334,-13.333333,-3.333333,7
142,140,26.444445,-9,17.666666,4
108,146,0,0,0,3
221,107,2.222222,-5.666666,9.333333,3
23,85,17.962963,2.777778,11.777778,1
108,128,53.25926,-20.777779,41.555557,4
197,121,41.037037,-10.777778,25.222221,4
95,71,105.666664,-27,50.333332,2
153,192,53.444443,-18.333334,34.666668,6
98,119,21.592592,-0.777778,17.222221,1
116,35,125.18519,-34.22222,48.444443,2
152,220,14.62963,-9.222222,-4.555555,7
123,183,32.25926,-8.444445,20.555555,6
95,109,17.25926,5.888889,8.222222,1
21,123,19.296297,-10.888889,21.11111,4
95,57,26.296297,-4.888889,24.444445,1
182,39,9.518518,-6.555555,14.444445,5
23,92,12.666667,-11.666667,18,3
32,95,3.148148,-7.111111,12.888889,3
142,182,34.51852,-8.888889,23.11111,6
198,183,54.037037,-15.444445,37.555557,6
103,226,13.481482,-9.777778,-4.777778,7
43,137,1.666667,-3,6.333334,5
58,111,19.333334,-11.333333,20.666666,5
23,85,17.962963,2.777778,11.777778,1
85,225,16.185184,-5.222222,-10.222222,7
62,144,4.814815,3.555556,2.888889,1
222,189,17.296297,-8.222222,-9.555555,7
156,49,38.037037,-7.111111,18.222221,4
185,188,50.185184,-15.555555,35.77778,6
190,162,41.333332,-19,29.333334,6
46,235,10.888889,-10,-4.666666,7
172,138,12.185185,-11.888889,21.11111,5
23,219,13.37037,-7.444445,-4.111111,7
170,189,51.11111,-16,36.666668,6
166,65,97.333336,-43.666668,71.333336,2
192,51,108.74074,-40.555557,54.77778,2
45,89,2.296296,-6.555555,12.444445,3
83,81,59.444443,-22.666666,45,4
123,94,21.444445,-13.666667,27,5
131,208,16.185184,-10.222222,-3.555556,7
75,113,27.88889,-32.333332,49,3
57,89,17,-12,22.666666,5
196,134,6.074074,4.111111,3.111111,1
18,209,48.77778,-17.333334,36,6
4,201,53.703705,-19.777779,40.555557,6
190,81,42.925926,-10.444445,25.88889,4
245,93,86.296295,-46.88889,77.44444,2
87,146,43.148148,-18.777779,38.22222,4
17,108,1.851852,-3.888889,4.444445,3
53,53,113.14815,-26.444445,51.22222,2
78,107,17.185184,3.444444,10.444445,1
188,133,6.666666,5,3.333333,1
185,84,23.25926,-13.777778,24.222221,5
102,179,49.185184,-12.888889,31.777779,6
45,89,2.296296,-6.555555,12.444445,3
161,138,1.222222,-2.333333,6,5
170,113,28.333334,-12,19.666666,5
252,82,38.88889,-13,28.666666,4
180,116,33.185184,-12.222222,25.444445,4
97,116,6.62963,2.777778,5.444445,1
97,21,126.81481,-35.444443,48.22222,2
208,65,56.703705,-12.111111,23.222221,4
96,123,21.62963,-20.555555,37.77778,4
118,180,48.555557,-13.333333,31.333334,6
76,138,16.518518,-19.88889,24.777779,3
24,93,62.851852,-24.222221,49.11111,4
160,41,0.703704,-0.444444,1.555556,5
18,87,2.925926,-5.111111,8.222222,3
252,201,40.296295,-13.555555,26.11111,6
93,190,53.592594,-18.777779,39.88889,6
243,120,47.851852,-9.222222,25.444445,4
69,17,130.2963,-28.555555,40.77778,2
121,102,51.666668,-13.666667,32,4
162,159,26.11111,-2.666667,10.333333,4
8,39,113.37037,-32.444443,55.88889,2
53,28,111.59259,-45.444443,57.22222,2
140,19,110.296295,-37.88889,59.77778,2
142,183,43.185184,-8.888889,26.444445,6
120,51,124.40741,-33.555557,50.11111,2
197,105,4.148148,-7.444445,12.555555,3
101,121,3.407408,-6.888889,7.777778,3
200,215,23.037037,-17.777779,-1.444444,7
46,131,1.407407,-1.888889,4.111111,5
19,28,111.51852,-46.22222,59.11111,2
35,189,31.925926,-8.777778,19.88889,6
75,65,57.74074,-21.88889,44.77778,4
187,86,6.703704,-6.111111,12.555555,5
92,46,107.51852,-40.88889,64.111115,2
116,192,57.074074,-20.222221,45.11111,6
19,90,3.407408,-7.555555,13.444445,3
105,193,60.11111,-21,45,6
122,11,143.44444,-19.666666,22.333334,2
18,145,3.925926,4.888889,0.222222,1
159,105,26.74074,-12.555555,21.777779,5
241,218,8.444445,-9,-3.333333,7
46,238,13.259259,-10.777778,-1.777778,7
68,107,1.777778,-4.666666,8.333333,3
116,238,8.518518,-3.222222,-8.555555,7
28,162,25.11111,-16.333334,3,7
104,103,58.88889,-20,41.333332,4
178,185,49.037037,-15.111111,34.88889,6
234,177,16.25926,-11.111111,-2.444444,7
97,77,25.185184,-3.222222,21.444445,1
139,109,29.407408,-13.888889,23.11111,5
170,143,0,0,0,5
59,99,2.037037,-5.777778,10.555555,3
30,251,20.666666,2.333333,-8.666667,7
66,109,102.48148,-39.11111,59.22222,2
36,189,31.37037,-8.777778,19.88889,6
223,150,0,0,0,5
130,189,12,-7.666666,-5.666666,7
228,20,125,-33,46.666668,2
41,93,112.296295,-25.222221,47.11111,2
76,106,3.666667,-8,12.666667,3
27,106,2.185185,-5.555555,8.111111,3
201,135,5.518518,4.777778,2.777778,1
124,183,18.185184,-11.888889,-3.222222,7
244,193,16.185184,-8.555555,-5.888889,7
252,36,135.2963,-20.222221,32.444443,2
59,135,0.481482,-1.444444,2.888889,5
120,74,101.85185,-38.22222,64.111115,2
191,119,39.851852,-10.888889,25.11111,4
75,107,16.703703,6.222222,8.222222,1
190,188,49.703705,-15.111111,36.22222,6
149,77,24.481482,-3.111111,21.222221,1
152,98,28.777779,-11.666667,25,4
226,110,1.666667,-4.666666,8.333333,3
74,122,16.148148,-24.444445,36.555557,3
171,187,48.37037,-15.111111,35.22222,6
121,60,26.74074,-6.222222,25.444445,1
134,148,0.037037,-0.111111,0.222222,5
140,25,128,-30.666666,43,2
82,120,6.962963,-10.888889,17.444445,3
145,152,25.037037,-16.11111,2.222222,7
249,154,4.296296,-5.222222,10.111111,5
233,211,15.444445,-9,-0.666667,7
38,106,20,0,15.333333,1
143,114,27.185184,-12.555555,21.777779,5
68,80,111.07407,-24.555555,48.77778,2
223,190,46.88889,-14.666667,32.666668,6
155,27,137.51852,-14.888889,27.11111,2
42,63,22.37037,-6.111111,21.88889,1
96,196,63.51852,-22.555555,46.77778,6
13,142,4.592593,4.888889,1.888889,1
113,96,3.814815,-8.111111,14.222222,3
101,197,21.25926,-11.444445,-7.444445,7
244,134,44.703705,-22.777779,40.555557,4
177,126,5.407407,6.777778,0.777778,1
217,80,15.851851,-11.888889,22.11111,5
195,136,2.444444,-5.333334,10,5
105,69,59.555557,-18.333334,41,4
115,138,0.777778,-2.333333,4.666666,3
154,189,59.925926,-19.444445,44.88889,6
75,122,1.592593,-4.777778,8.555555,3
163,133,1.555556,-1.666667,6,5
240,145,4.074074,3.777778,2.777778,1
75,131,0.518518,-1.555556,3.111111,3
108,111,3.814815,0.888889,5.222222,1
61,104,57.333332,-13.666667,32.666668,4
68,128,35.592594,-10.444445,24.555555,4
131,214,6.814815,-5.444445,-6.111111,7
