@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,12,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,59.555557,-12,-18.666666,59.555557,6
85,28.11111,-3,-17,28.11111,1
83,22.666666,-16.11111,-8.777778,22.666666,3
11,150.11111,-19.333334,-6.333334,150.11111,2
94,127.55556,-18.88889,-24.222221,127.55556,2
42,47.77778,-14,-17,47.77778,4
182,56.333332,-11.111111,-18.777779,56.333332,6
167,13.777778,-5.111111,7.555555,17.11111,7
19,58.77778,-21.555555,-19.222221,58.77778,4
89,13,-6.333334,-7.333334,13,5
81,26.11111,-1.111111,-15.777778,26.11111,1
194,50.444443,-12.555555,-14.888889,50.444443,6
208,17.666668,-11.111111,15.888889,24.555555,7
46,141,-30.11111,-14.777778,141,2
52,129.22223,-31.88889,-20.88889,129.22223,2
194,16.666668,-10.666667,11,20.444445,7
169,15.666667,-11.444445,14.222222,21.333334,7
200,72.66667,-19.11111,-23.11111,72.66667,6
146,15.666667,-7.777778,-7.444445,15.666667,4
122,1,-1,-1,1,3
46,132.88889,-41.22222,-13.555555,132.88889,2
17,86.55556,-24.222221,-23.88889,86.55556,4
192,7.444445,-3.888889,11.444445,13.777778,7
182,72.55556,-17.555555,-24.88889,72.55556,6
207,10.333334,-7.777778,13.222222,16.555555,7
244,11.666667,-9.777778,13.222222,17.222223,7
149,0,0,0,0,5
63,23.666666,-2.555556,-14.222222,23.666666,1
57,139,-33,-17,139,2
163,48,-16.333334,-7.666666,48.11111,6
201,74,-20.333334,-23.666666,74,6
14,130.66667,-41.22222,-12.555555,130.66667,2
90,10,-7.111111,-7.444445,10,5
186,11.777778,-5.111111,16.555555,21.11111,7
19,132.33334,-39.77778,-14.444445,132.33334,2
88,127.55556,-27.11111,-23.777779,127.55556,2
195,76.55556,-19.88889,-24.555555,76.55556,6
128,6.666666,4,-7.333334,7.111111,1
182,35.444447,-7.666666,-9.333333,35.88889,6
