@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
113,9,17.11111,6.555555,-13.777778,1
133,9,8.333334,3.333333,-8.333333,1
72,9,23.555555,27.88889,-19.11111,1
87,9,18.222221,11,-13.666667,1
116,9,6.777778,4.111111,-7.555555,1
142,9,6.555555,2.222222,-6.777778,1
124,9,7.444445,3.888889,-8.111111,1
53,9,22.777779,33.77778,-20.88889,1
62,9,20.777779,18,-16.666666,1
122,9,7,3.111111,-7.222222,1
123,9,7.111111,3.222222,-7.111111,1
101,9,21.222221,16.444445,-16.222221,1
125,9,7.333334,4.444445,-7.888889,1
139,9,7.555555,3.333333,-7.666666,1
70,9,23,19.333334,-17.333334,1
113,9,20,15.555555,-14.777778,1
147,9,5.444445,12.666667,-8.666667,1
138,9,6.777778,1.444444,-6.888889,1
89,9,18.777779,14.777778,-14.222222,1
130,9,8.444445,1.777778,-7.222222,1
136,9,7.777778,2.888889,-7.444445,1
111,9,19.777779,14.888889,-14.444445,1
60,9,21.333334,22.11111,-18.222221,1
126,9,7.444445,3,-8,1
134,9,6.777778,2.777778,-7.222222,1
113,9,7.111111,3.222222,-7.777778,1
144,9,6,2.888889,-6.444445,1
118,9,6.222222,3.666667,-7.333334,1
92,9,18.777779,15.111111,-14.222222,1
118,9,6.555555,3.555556,-6.777778,1
65,9,20.11111,17.88889,-15.777778,1
111,9,6.888889,3.888889,-7.444445,1
134,9,7.666666,2.333333,-7.666666,1
98,9,21,15,-15.333333,1
111,9,4.111111,5.222222,-6.111111,1
114,9,16.11111,7.777778,-12.555555,1
42,9,20,25.555555,-17.777779,1
40,9,15.666667,18.444445,-13.888889,1
128,9,7.444445,2.666667,-8,1
90,9,18.777779,12,-14,1
145,9,6.333334,3.777778,-6.888889,1
93,9,18.88889,19.222221,-14.777778,1
55,9,20.555555,16.88889,-15.444445,1
108,9,19,10.333333,-14.333333,1
125,9,7.333334,4.444445,-7.888889,1
77,9,24.555555,24.11111,-18.555555,1
67,9,19.555555,17.666666,-16.333334,1
101,9,20.333334,14.777778,-15.555555,1
81,9,22.333334,18.222221,-17.11111,1
142,9,6.777778,0.666667,-7,1
140,9,7.888889,3,-7.666666,1
79,9,17.333334,12.555555,-14.111111,1
107,9,19.88889,12,-15,1
100,9,21.777779,18.666666,-17.333334,1
84,9,23.555555,18.444445,-17.555555,1
118,9,7.555555,5,-8.333333,1
115,9,7.777778,5.333334,-8.333333,1
115,9,20.555555,12.555555,-14.444445,1
51,9,22.666666,28.11111,-18.88889,1
123,9,8,2,-7.666666,1
116,9,6.555555,4.111111,-7.555555,1
135,9,5.666666,1.888889,-6.444445,1
143,9,6.555555,2.555556,-7.111111,1
75,9,21.11111,17.333334,-16.666666,1
