@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
123,0.388889,6.111111,8,6.777778,2,1
101,1.777778,16.925926,18.333334,19.88889,8.888889,1
44,2.38889,18.74074,17.333334,25.222221,19.444445,1
135,0.888889,5.518518,7.111111,6.444445,2.777778,1
122,0.5,6,7.222222,7.333334,4,1
56,1.333333,22.74074,21.11111,30.222221,22.444445,1
141,0.777778,5.407407,7,6.222222,2.444444,1
57,2.111111,26.296297,24.666666,34.444447,24.444445,1
59,2.944445,25.074074,22.333334,34.333336,27.777779,1
60,1.277778,19.925926,19.333334,25.777779,17.555555,1
81,1.833333,19.851852,20.333334,24.666666,14.444445,1
139,0.833333,6.111111,7.555555,7.222222,3.333333,1
126,0.611111,5.407407,7.666666,5.666666,0.777778,1
120,3.222222,23.666666,22.11111,30.444445,20.333334,1
98,1.888889,20.88889,21,25.88889,15,1
131,0.777778,5.185185,6.666666,6,2.444444,1
117,1.611111,19.88889,20.666668,24.11111,12.666667,1
65,2.333334,20.814816,20.11111,26.777779,17.88889,1
126,0.444445,5.777778,7.444445,6.777778,3,1
124,0.611111,6,7.444445,7.222222,3.666667,1
62,3.388889,27.37037,23.777779,37.666668,30.88889,1
144,0.722222,4.814815,6,5.777778,2.888889,1
86,1.222222,26.481482,24.222221,35,25.555555,1
75,0.722222,21.333334,21.11111,27.11111,17.333334,1
147,0.722222,4.592593,4.111111,7.444445,8.555555,1
142,1.5,4.666666,6.777778,4.888889,0.666667,1
145,0.5,4.074074,5.333334,5,2.777778,1
56,1.5,23.703703,22.11111,31.333334,22.88889,1
125,0.666667,6.185185,7.333334,7.666666,4.444445,1
56,1.277777,26.444445,23.333334,36,28.666666,1
69,1.611111,24.333334,22,32.555557,24.666666,1
88,1.722222,21.148148,21.444445,26.333334,15.555555,1
123,0.444444,4.555555,6,5.333334,2.333333,1
124,0.888889,5.888889,7.111111,7.111111,3.666667,1
101,1.611111,22.444445,21.555555,29.222221,20.333334,1
111,2.555555,3.814815,4.111111,5.555555,5.222222,1
111,0.888889,6.037037,7,7.666666,4.888889,1
134,0.388889,5.296296,6.777778,6.222222,2.777778,1
51,1.611111,19.592592,18.777779,25.666666,18.222221,1
59,2.055555,21.814816,20.777779,28.777779,20.88889,1
87,2.722222,17.333334,18.222221,21,11,1
74,0.666667,22.407408,21.666666,28.88889,19.444445,1
124,0.444444,5.111111,6.666666,6,2.666667,1
131,0.777778,5.962963,7.555555,6.666666,2.111111,1
57,2.111111,26.296297,24.666666,34.444447,24.444445,1
143,0.444444,5.444445,6.777778,6.777778,4,1
118,0.444445,6.259259,7.555555,7.666666,4.222222,1
140,0.5,6,7.444445,6.888889,2.666667,1
138,0.5,4.962963,6.777778,5.444445,1.444444,1
103,1.888889,18.962963,20.222221,22.777779,11.444445,1
81,2.722222,20.481482,20.11111,26.11111,16.88889,1
