@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,1.63,0,0,0,0.32,0,1.96,0,0,0,0,0,0,0,0,0,0.11,0.83,33,1
0,0.11,0,0.59,0.47,0.11,0.47,3.21,0,1.07,0,0,0,0,0,0,0.072,0.127,0.254,148,1
0.16,0.56,0.04,1.16,0.28,0.64,0.4,3.06,0,0.6,0,0,0,0,0,0,0.019,0.052,0.152,181,1
0.17,0.52,0,0.04,0,0.32,0.22,3.47,0,0.84,0,0,0,0,0,0.04,0.016,0.058,0.165,117,1
0,0.64,0.64,0,0,0.64,0,1.28,0,0,0,0,0,0,0,0,0,0,0.369,22,1
0.47,0,0.94,0,0.47,0,0,1.89,0,0,0,0,0,0,0,0,0,0.074,0,11,1
0,0,0.38,0.38,0,0.38,0,3.43,0,0.38,0,0,0,0,0,0,0,0,0,12,1
0.17,0.52,0,0.04,0,0.32,0.22,3.47,0,0.84,0,0,0,0,0,0.04,0.016,0.058,0.165,117,1
0.89,1.14,0,0.12,1.14,0,2.04,2.8,0,0.12,0,0,0,0,0,0,0,0.165,0.061,84,1
0,0.57,0,0.57,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0.74,32,1
0,0.47,0,0,0,0.95,0,1.42,0,0,0,0,0,0,0,0,0,0.133,0.267,61,1
0.19,0.29,0.19,0.97,0.09,0,1.17,3.81,0,0.29,0,0,0,0,0,0,0,0,0.232,49,1
0,0.27,0.27,0,0,1.35,0,1.08,10.86,0.54,0,0,0,0,0,0,0,0,0.141,252,1
0,1.55,0,0.38,0,0.38,1.16,1.93,0,0.38,0,0,0,0,0,0,0,0.06,0.12,22,1
0,0,1.13,0,0,1.13,0,1.13,0,0,0,1.13,0,0,0,0,0,0.319,0,17,1
1.96,0.98,1.96,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0.168,0,12,1
0,0.55,0.18,0,0.18,0,0.37,3.15,0,0,0,0,0,0,0,0,0,0.182,0,4,1
0.88,0.44,0,0,1.1,0.66,1.54,2.87,0,0.22,0,0,0,0,0,0,0,0.085,0.114,65,1
0.17,0,0,0.52,0,0.87,0,1.39,0,0.17,0,0,0,0,0,0,0,0.373,0.716,35,1
0.89,1.15,0,0.12,1.15,0,2.04,2.81,0,0.12,0,0,0,0,0,0,0,0.164,0.061,84,1
0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.205,0,15,1
0,0.32,0.32,0.32,0,0.98,0.65,2.61,0,0.65,0,0,0,0,0,0,0,0.051,0,137,1
4.76,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0,0.1,0.2,0,0,0.1,0.1,4.17,0,0.41,0,0,0,0,0,0,0,0.057,0,24,1
0.08,0.25,0.08,0.33,0,1.61,0.33,1.52,0.84,0.08,0,0,0.08,0,0,0,0,0.047,0.157,292,1
0.51,0,0,0,0,0.25,1.27,2.04,0,0,0,0,0,0,0,0,0,0.457,0,66,1
0,0,0,0.28,0.84,0.84,4.51,2.54,0,0,0,0,0,0,0,0,0,0.091,0.045,104,1
0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,3,1
0.32,0.8,0.16,0,0.16,0.16,0.8,0.16,0,0,0.16,0.16,0,0,0,0,0,0,0.024,149,1
0,0.52,1.05,0,0,0.52,0,1.05,0,0,0,0,0,0,0,0,0,0.25,0,23,1
0.53,0,1.6,0,0.53,0,0.53,2.13,0,0,0,0,0,0,0,0,0,0.239,0,51,1
0,0,0,0.67,0,0,0,0,0,0,0,0,1.34,0,0,0,0.17,0.511,0,27,1
0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,12,1
0.02,0.05,0,0.05,0,0.05,0.38,0.07,0,0,0,0,0,0,0,0,0,0.004,0.017,489,1
0,0.38,0,0,0,0.38,0.38,2.69,0,0.38,0,0,0,0,0,0,0,0.122,0.061,20,1
0,0,0,0,0,0,0,0.87,0,0.43,0,0,0,0,0,0,0,0,0,107,1
0.1,0.3,0.1,0.4,0,1.94,0.4,1.94,0.92,0.1,0,0,0.1,0,0,0,0,0.048,0.162,283,1
0,0,0,0,0,0.82,0,1.65,0,0,0,0,0,0,0,0,0,0.415,0,11,1
0,0.26,0.13,0,0,0,0,3.98,0,1.46,0,0,0,0,0,0,0,0.109,0.021,65,1
0,0.48,0,0.48,1.93,0,0.48,2.41,0,0,0,0,0,0,0,0,0,0.084,0.761,46,1
0,0,0.74,0,0,0.74,0,4.47,0,0,0,0,0,0,0,0,0,0,0.118,7,1
0,0,1.15,0,0,0.38,0.38,4.61,0,0,0,0,0,0,0,0,0,0,0.347,6,1
0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0.147,0,27,1
0.08,0.35,0.08,0,0,0.53,0,3.58,0,0.17,0,0,0,0,0,0,0,0.054,0.109,119,1
0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0.462,0,6,1
0,0,0.96,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0.123,0,3,1
0,0.25,0,0,0,0.77,0.12,1.93,0.12,1.03,0,0,0,0,0,0,0,0.161,0.299,146,1
0,0,0.61,0,0,1.22,0,5.52,0,0,0,0,0,0,0,0,0,0.184,0,34,1
0,0.76,0.5,0.5,0.76,0,1.52,2.03,0,0,0,0,0,0,0,0,0,0.074,0.412,19,1
0.63,0,0,0,1.27,0.63,3.18,2.22,0,0.63,0.31,0,0,0,0,0,0,0.278,0.501,91,1
0,0,0,0,0,0.44,0,4.03,0,0.44,0,0,0,0,0,0,0,0,0.145,28,1
0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,16,1
0.3,0.75,0.15,0,0.15,0.15,0.75,0.15,0,0,0.15,0.15,0,0,0,0,0,0.02,0.02,149,1
0,0.71,0,0,0,0.23,0,3.81,0,0,0,0,0,0,0,0,0,0.112,0.037,97,1
0,0,0.4,1.2,0,0,0.4,4,0,0,0,0,0,0,0,0,0,0,0.212,13,1
0,0.19,0.19,0,0,0,0.09,0.19,0,0,0,0.19,0,0,0,0.09,0.015,0.137,0,44,1
1.36,0,1.36,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,128,1
0.44,0.29,0.03,0.14,0.03,0.22,0.07,3.43,0,0.63,0,0,0,0,0,0,0,0.075,0.531,763,1
0,0.32,0,0.16,0,0,0,4.67,0,0.32,0,0,0,0,0,0,0,0.045,0.03,10,1
1.25,0,1.25,0,0,1.25,1.25,1.25,0,0,0,1.25,0,0,0,0,0.199,0,0,32,1
0,0,1.2,1.2,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,295,1
0.08,0.48,0,0,0,0,0.08,0.88,4.57,0.72,0,0,0,0,0,0,0,0,0.202,102,1
0.09,1.14,0,0.09,0,0.66,0,1.52,0,0,0,0,0,0,0,0,0.044,0.059,0,31,1
0,0,0.86,0,0,0.86,1.73,3.47,0,0,0,0,0,0,0,0,0,0.152,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.17,0,0,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0.054,0.027,11,1
0,0,1.58,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0.279,23,1
0,0,0,1.16,0,0,0,4.95,0,0,0,0,0,0,0,0,0.151,0,0,4,1
0,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0.714,0,0,11,1
0,0,0,0,0,1.16,1.16,1.16,0,0,0,0,0,0,0,0,0,0.133,0,5,1
0,1.05,0,0,0,1.05,0,3.15,0,0.52,0,0,0,0,0,0,0,0,0.698,14,1
0,0,3.12,0,0,3.12,0,6.25,0,0,0,0,0,0,0,0,0,0,0,60,1
0.57,0.57,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,28,1
0,0.65,0,0,0,1.3,0,1.96,0,0,0,0,0,0,0,0,0,0,0.463,22,1
0,0,0,0,0,0,0,0.85,0,0.42,0,0,0,0,0,0,0,0,0,107,1
0.47,0,0,0,0,0.47,0.95,1.9,0,0,0,0,0,0,0,0,0,0.056,0,182,1
0.34,0.4,0.05,0.14,0.05,0.11,0.11,2.9,0,0.52,0,0,0,0,0,0,0,0.073,0.535,159,1
0,0,1.37,0.68,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0.103,0.309,69,1
0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0.452,0.301,23,1
0.09,0.14,0.09,0,0,0,0.04,1.53,0,0.04,0,0,0,0,0,0,0.015,0.119,0.111,87,1
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,33,1
0,1.55,0,0.38,0,0.38,1.16,1.93,0,0.38,0,0,0,0,0,0,0,0.06,0.121,22,1
0,0,1.04,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0.062,0.248,0.062,59,1
0.06,0.2,0,0,0,0,0.13,1.16,0,0,0,0,0,0,0,0,0.034,0.057,0.092,104,1
0,0,0,0,0,1.28,0,3.84,0,0,0,0,0,0,0,0,0,0,0.23,41,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0.364,0,38,1
0,0,0.31,0.63,0,0.31,0,3.18,0,0,0,0,0,0,0,0,0,0.137,0,40,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,15,1
0,0,1.94,0,0,2.91,0,1.94,0,1.94,0,0,0,0,0,0,0,0.13,0.13,26,1
0,0.36,0,0,0,0,0,0.73,0,0,0.36,0,0,0,0.36,0,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,1.47,1.47,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0.147,0.147,281,1
0.38,0.77,0,0.57,1.15,0.19,2.11,2.11,0,0.77,0,0,0,0,0,0,0.027,0.027,0.191,525,1
0.2,1.01,0.5,0,1.61,0.1,1.11,1.31,0,0.1,0,0,0,0,0.1,0,0,0.107,0.152,669,1
0,0.56,0,0,0.18,0,0.37,3.18,0,0,0,0,0,0,0,0,0,0.189,0,4,1
0,1.15,0,0,0,1.54,0,5.4,0,0.38,0,0,0,0,0,0,0,0.196,0,56,1
0.65,0.71,0.52,0.19,1.17,0.13,1.1,1.3,0,0.19,0,0,0,0,0.06,0,0,0.085,0.106,117,1
0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0.27,0.27,1.08,0,0,0,2.45,0,0.27,0,0,0,0,0.27,0,0,0.04,0.04,19,1
0,1.68,0,0,0,0.33,0,2.02,0,0,0,0,0,0,0,0,0,0.06,0,19,1
0,0.76,0.76,0,0,0,0.76,1.52,0,0,0,0,0,0,0,0,0,0,0.177,79,1
0.49,1.97,0,0,0,0.49,0.49,4.43,0,0,0,0,0,0,0,0,0,0,0,152,1
0.68,0,0,0,0,0,0,2.04,0,0,0.68,0,1.36,0,0,0,0,0,0,30,1
0,0.6,0.2,0.6,0,0.4,0.4,2.21,0,0.6,0,0,0,0,0,0,0,0.096,0.129,64,1
0,0.77,0.38,0,0,0.77,0.77,2.31,0,0.38,0,0,0,0,0,0,0.063,0.127,0,62,1
0.23,0.47,0.23,1.41,0,0,0.47,0.94,0,0,0,0,0,0,0,0,0,0.075,0.151,276,1
0,1.38,0,0,0,2.77,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0.58,0.58,0,0,0.58,0,1.76,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0,0,0,0,0.25,0,0,8.29,0,0,0,0,0,0,0,0.218,0.087,0.174,126,1
0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0.133,0,28,1
0,0.24,0,0.17,0,0.03,0,0.45,0,0,0,0,1.36,0,0,0,0.179,0.305,0.011,26,1
0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.084,0.126,0,772,1
0,0.48,0,0,1.44,0.48,2.41,0,0,0.48,0,0.48,0,0,0.48,0,0,0.818,0.467,259,1
0,0,0,0,0,0.31,0,2.82,0,0,0,0,0,0,0,0,0,0.05,0,22,1
0,0.32,0.32,0.64,0,0.32,0,2.27,0,0.32,0,0,0,0,0,0,0,0.105,0.157,10,1
0,0.08,0.08,0.43,0,0,0.08,1.2,0,0.08,0,0,0,0,0,0,0,0.081,0.013,48,1
0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0.342,0,10,1
0.34,0.68,0.34,0,0.34,0.68,1.37,1.03,0,0,0,0,0,0,0,0,0,0.094,0,13,1
0.56,0.56,1.12,0,0,0.56,0,3.95,0,0,0,0,0,0,0,0,0,0.247,0.33,140,1
0,0.84,0,0.84,0,0,0,0.84,0,0.84,0,0,0,0,0,0,0,0.128,0.042,47,1
0.13,0.26,0,0.13,0,0.13,0,2.35,0,0.26,0,0,0,0,0,0,0,0.137,0.068,30,1
0.31,0.46,0.05,0.26,0,0.1,0,3.21,0,0.33,0,0,0,0,0,0,0,0.068,0.793,199,1
0,0,0.9,0,0,0,0.9,1.81,0,0.9,0,0,0,0,0,0,0,0,0,19,1
0,1.29,0,0,0,0,0,1.29,0,1.29,0,0,0,0,0,0,0,0,0.208,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.626,17,1
1.32,0.56,0,0.18,0,0,0,2.45,0,0.18,0,0,0,0,0,0,0,0.08,0.107,35,1
0,0.99,0,0,0.24,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.035,0,209,1
0.1,0.7,0.4,0.1,0,0.1,1.11,2.22,0,0.3,0,0,0,0,0,0,0,0,0.39,56,1
0,0.36,0.12,0,0,0.12,0.6,2.41,0,0,0,0,0,0,0,0,0.056,0.037,0.094,14,1
0,0.67,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,12,1
0.05,0.58,0,0,0,0.58,0.17,3.01,0,0.34,0,0,0,0,0,0,0,0.204,0.186,131,1
1.51,1.51,0,0,1.51,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1.237,404,1
0.2,0.55,0,0.27,0,1.11,0.06,2.23,0,0.69,0,0,0,0,0,0,0,0.105,0.305,94,1
0.24,1.24,0.49,0.33,0.66,0.82,1.57,2.32,0,0.16,0,0,0,0,0,0,0,0.132,0.224,581,1
0,0,0,0,0,0,0,1.88,0,0,0,1.88,1.88,0,0,0,0,0,0,15,1
0.82,0.32,0,0.16,0,0.16,0,1.47,0,0.32,0,0,0,0,0,0,0,0,0.29,13,1
0.16,1.35,0,0,0,0.33,0.16,5.77,0,0.84,0,0,0,0,0,0,0,0.061,0.278,46,1
0,0.17,0,0.05,0,0,0,4.17,0,0.05,0,0,0,0,0,0,0.01,0.051,0.165,12,1
0.75,1.13,0,0.37,0,0.37,0,2.27,0,0,0,0,0.37,0,0,0,0,0.196,0.196,845,1
0,1.63,0,0,0,1.63,0,3.27,0,0,0,0,0,0,0,0,0,0,0.266,16,1
0.29,0.29,0.58,0,0,1.46,0.87,1.16,0,0,0,0,0,0,0,0,0,0.086,0,37,1
0.19,0.19,0.19,0.98,0.09,0,1.18,3.85,0,0.29,0,0,0,0,0,0,0,0,0.222,49,1
0,0.15,0.31,0,0,0.15,1.4,2.19,0,0,0,0,0,0,0,0,0,0.252,4.017,23,1
0,0.82,0.41,0.82,0,2.47,0,1.23,0,0.82,0,0,0,0,0,0,0,0,0.132,76,1
0.53,0.53,0,0,0,0.53,1.06,1.6,0,0,0,0,0,0,0,0,0,0.087,0,61,1
0,0.89,1.78,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,39,1
0,0.25,0.25,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0.022,0.044,0,11,1
0,0,0.79,0,0,0,0,2.37,0,0.79,0,0,0,0,0,0,0,0.061,0.183,13,1
0.22,0.82,0.07,0,0.15,0,0,3.3,0,0.22,0,0,0,0,0,0,0,0.095,0.071,74,1
0,0.53,0.53,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0.09,0,19,1
0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.046,0,0.322,49,1
0.45,0,1.36,0,0,1.82,0,2.73,0,0,0,0,0,0,0,0,0,0,0,17,1
0.42,0.35,0.03,0.1,0.03,0.24,0,3.19,0,0.63,0,0,0,0,0,0,0,0.077,0.543,286,1
0.38,0.77,0,0.57,1.15,0.19,1.92,2.11,0,0.77,0,0,0,0,0,0,0.027,0.027,0.191,525,1
0,0.89,0,0,0,1.34,0,2.24,0,0,0,0,0,0,0,0,0,0.074,0,12,1
0,0.99,0,0,0,4.97,0,3.48,0,0,0,0,0,0,0,0,0,0.34,0,8,1
0,0.14,0,0,0,0.14,0,0,0,0,0,0.44,0,0,0,0,0.022,0.067,0.022,11,1
0,0,2.3,0,0,0.76,0.76,3.07,0,0,0,0,0,0,0,0,0,0,0,142,1
0.19,0.38,0,0.25,0,0.38,0.06,2.98,0,0.76,0,0,0,0,0,0,0,0.085,0.235,45,1
0,0.18,0.06,0.06,0,0,0.06,4.49,0,0.06,0,0,0,0,0,0,0.01,0.052,0.167,12,1
0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.062,0,11,1
0,0.09,0.09,0,0,0,0,0.77,0,0,0,0,0.09,0,0,0,0.063,0.047,0.047,23,1
0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0.142,0,0,70,1
1.32,0.56,0,0.37,0,0,0,2.45,0,0.18,0,0,0,0,0,0,0,0.08,0.107,34,1
0,0,0,1.29,0,0.43,1.73,0.43,0,0,0,0,0,0,0,0,0,0.124,0.062,8,1
1.14,1.14,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0.197,35,1
0,0,0,0,0,0.52,0,0,0,0,0,0.52,0,0,1.56,0,0,0.077,0,11,1
0.1,0.7,0.4,0.1,0,0.1,1.01,2.22,0,0.3,0,0,0,0,0,0,0,0,0.397,56,1
0.51,0,1.02,0,0,0,0.51,0.51,0,0,0,0,0,0,0,0,0,0.142,1.212,130,1
0.49,0.59,0,0,0,0,0,3.75,0,0.19,0,0,0,0,0,0,0.778,0.037,0.979,54,1
0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0.2,0,0,0,0,0.2,1.21,0,0.4,0,0,0.2,0,0,0,0,0.152,0.121,10,1
0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0.141,0,28,1
0,0.3,0.3,0.3,0,0.9,0.3,2.4,0,0.6,0,0,0,0,0,0,0,0.048,0,139,1
0.34,1.02,0.34,0,0,2.04,0.34,4.76,0,0.34,0,0,0,0,0,0,0,0.161,0,56,1
0,0.99,0.49,0.99,0,0.49,0.74,1.98,0,0.49,0,0,0,0,0,0,0,0.179,0.077,114,1
0,0.43,0.1,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.065,29,1
0,0,0,0,0,0.22,0,3.4,0,0,0,0,0,0,0,0,0.159,0.558,0,83,1
0,1.63,0,0,0,4.91,0,3.27,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0.22,0,0.45,0,0.45,0,0.22,0,0,0,0,0,0,0,0,0.153,0.092,0,27,1
0.4,0.26,0.06,0.33,0.26,0.4,0,4.1,0,0.26,0,0,0,0,0,0,0,0.088,0.151,123,1
0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.185,0,38,1
0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,62,1
0,0,0,0,0,1.44,0,5.79,0,0,0,0,0,0,0,0,0,0,0.271,11,1
0.19,0.39,0,0.59,0,0.59,1.37,4.52,0,0.19,0,0,0.19,0,0,0,0,0,0.032,43,1
0.18,0.37,0,0,0.18,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,0.277,0.061,13,1
0.44,0,0,0,0,0,0.44,2.64,0,0,0,0,0,0,0,0,0,0.231,0.231,70,1
0.1,0.71,0.4,0.1,0,0.1,1.11,2.23,0,0.3,0,0,0,0,0,0,0,0,0.397,56,1
0,0.17,0.05,0.05,0,0,0.05,4.24,0,0.05,0,0,0,0,0,0,0.01,0.051,0.163,12,1
0.02,0.15,0,0.02,0,0.05,0,0.05,0,0.02,0,0,0.3,0,0,0,0.011,0.022,0.022,20,1
0,0.55,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0.12,14,1
0,0.35,0.7,0,0,0,0,3.16,0,1.05,0,0,0,0,0,0,0,0.173,0,60,1
0,0.33,0.33,0.33,0,0.33,0,1.98,0,0.33,0,0,0,0,0,0,0,0.107,0.161,50,1
0.57,0.57,2.28,0,0,0,0.57,3.42,0,0,0,0,0,0,0,0,0,0.081,0,147,1
0.07,0.1,0.15,0.02,0,0,0.13,2.09,0,0,0,0,0.1,0,0,0,0.042,0.101,0.046,66,1
0,3.7,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0.289,0,29,1
0.2,0.3,0.2,0.3,0.5,0.6,0.8,3.43,0,0.3,0,0,0,0.1,0,0,0,0.017,0.206,103,1
0,3.03,0.86,0,0,2.16,1.29,3.46,0,0,0,0,0,0,0,0,0,0.2,0,41,1
