@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,5-7,11,14,16,20,23-27,32,35,41,45-46,48,51,53-54,56,58'

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.28,0.14,0.28,0.21,0.21,0.21,0.14,0,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.18,0.048,101,1
0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0.61,0,0.3,0.76,0,0,3.53,0,0.15,0,0,0,0,0,0,0,0,0,0,0.203,0.022,445,1
0,0.65,0,0.65,0.65,0,0.65,5.22,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,66,1
0.41,0.41,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,121,1
0,0.61,0.92,0,0,0,0,0,0.3,0.61,0,0,0,0,0,0,0,0,0,0,0.207,0,30,1
0.45,0.45,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.15,0,0,0,0.068,0,130,1
0.46,0,0.33,0.06,0.39,0,0.26,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0.23,0.084,40,1
0.12,0.19,0.32,0.38,0,0,0,0.06,0.19,0,0,0,0,0,0,0,0,0,0,0,0.071,0,43,1
0,0.23,0,0,0,0.23,0.23,0,0,0.23,0,0,0,0,0,0,0.71,0,0,0,0,0,11,1
0,0,0,0.23,0,0.23,0.23,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0.024,280,1
0,1.15,0.76,0,0,0,0.38,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0.061,0,20,1
0.44,0.14,0.03,0.03,0.29,1.23,0.22,0,0.59,0.63,0,0,0,0,0.03,0,0.07,0,0,0,0.531,0.137,763,1
1.76,0.88,0,0.12,0.5,0,0.25,0.25,1.13,0.12,0,0,0,0,0,0,0,0,0,0.159,0.119,0,38,1
0,0.76,0,0.38,0,0,0.38,0,0.38,0,0,0,0,0,0,0,1.14,0,0,0,0.179,0,78,1
0,1.31,0,1.31,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,186,1
0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.185,0.232,99,1
