@relation spambase

@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_re numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0.05,0.05,0,0.69,0.05,0.75,0.05,0,0,0,0,0,0,0,0.051,0.163,12,1
0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0.67,0,0.11,12,1
0,0.36,0,0.36,0,0,1.47,0,0,0,0,0,0,0,0,0.118,0.888,33,1
0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.278,0,6,1
0,0,0,1.24,0.62,0,0.62,0,0,0,0,0,0,0,0.62,0.107,0.107,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0.353,12,1
0,0.65,0,0.65,1.3,0,0,0.65,0,0,0,0,0,0,0,0.459,0,66,1
0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,18,1
0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,1.26,0.198,0.596,17,1
0,0,1.3,0.59,0.11,0,0.47,0.83,0,0,0,0,0,0,0.11,0.038,0.233,54,1
0,0.73,0,2.2,0,0,0,0,0,0,0,0,0.73,0,0,0,0,29,1
0,0.64,0,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0.64,0.156,0.156,19,1
0,0.35,0.17,0.35,0,0.17,0.35,0,0,0,0,0.35,0,0,0,0.057,0.171,34,1
0,0.27,0.27,0,0,0,0.13,0.55,0,0,0,0,0,0,0,0.017,0.177,232,1
0,0.4,0.81,0.1,0,1.11,0,0.3,0,0,0,0,0.1,0,0,0,0.397,56,1
0,0.6,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0.412,0.103,33,1
0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,1.25,0.182,0.182,21,1
0,0,0.65,0.23,0.42,0,0.5,0.5,0,0,0,0,0,0,0.03,0.077,1.281,595,1
0,0,0,5.91,2.95,0.59,0,0.59,0,0,0,0,0,0,0,0,0,15,1
0,1.69,0.84,10.16,0.84,0,0,0.84,0,0,0,0,0,0,0,0,0.278,418,1
0,0,1.32,0.6,0.24,0,0.72,0.96,0,0,0,0,0,0,0.12,0.04,0.222,54,1
0,0,1.34,0.19,0.19,1.92,1.34,0.77,0,0,0,0,0,0,0,0.027,0.191,525,1
0,0,0.17,0.17,0.17,0,0,0,0,0,0,0,0,0,0.34,0.054,0.027,11,1
0,0,0.64,0,1.61,0,0,0,0,0,0,0,0,0,0,0.16,0.107,63,1
0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0.073,0,12,1
0,0.21,1.5,0,0.21,0,1.28,0,0,0,0,0,0,0,0,0,0.271,58,1
0,0,0,2.77,0,4.16,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,38,1
0,0,0.24,0.99,0.24,0,0,0,0,0,0,0,0,0,0,0,0,44,1
0,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0.105,0,16,1
0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0,1.07,0.53,0,0,1.61,0,0,0,0,0,0,0,0,0,0.336,0,14,1
0,1.11,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,16,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.335,0,12,1
0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,6,1
0,1.65,1.65,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1
0,0.36,0,0.36,0,0,1.47,0,0,0,0,0,0,0,0,0.124,0.932,33,1
0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0.077,0,11,1
0,0.25,0.08,0.25,0.08,0.94,0.85,0.08,0,0,0,0,0,0,0.08,0.063,0.114,669,1
0.6,0,0,2.42,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0.206,20,1
0,0,2.64,0,0,0.44,0,0,0,0,0,0,0,0,0,0.231,0.231,70,1
0,0.46,0,0,0,1.4,0.46,0,0,0,0,0,0,0,0.46,0,0,32,1
0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0.075,0,11,1
0,0.25,0.08,0.25,0.08,0.93,0.85,0.08,0,0,0,0,0,0,0.08,0.063,0.114,669,1
42.73,0.42,0.42,0,0,1.28,1.28,0,0,0,0,0.42,0,0,0,0,0.349,105,1
0,0.9,0,0,0.9,0.9,0,0.9,0,0,0,0,0,0,0,0,0,19,1
0,0,0.1,0,0,0,0,0.32,0,0,0,0,0,0,0.05,0.076,0.186,289,1
0,0.04,0.69,0.23,0.4,0,1,0.31,0,0,0,0,0,0,0.02,0.065,0.754,144,1
0,0.8,0,0.8,0.4,1.2,0,1.61,0,0,0,0,0,0,0.4,0.069,0.207,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0,0.74,1.49,0.74,3.73,0,0.74,0,0,0,0,0,0,0,0,0,0.118,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
0,0,0,0,2.53,5.06,0,0,0,0,0,0,0,0,0,0,0.475,11,1
0,0,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0.061,0,153,1
0,0.32,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0.32,0.105,0.158,10,1
0,0,0.39,0,0.09,0,0,0.09,0,0,0,0,0,0,0.09,0.037,1.31,54,1
0,0,0,0.46,0.46,0.23,0,0,0,0,0,0,0,0,0,0.038,0,42,1
0,0.15,0.63,0,1.58,0,0.15,0.47,0,0,0,0,0,0,0.15,0.076,0.127,97,1
0,0,0,0.45,0.9,0,0.45,0,0,0,0,0,0,0,1.35,0,0.07,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,11,1
0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0.267,16,1
0,0,0.61,0.21,0.43,0.03,0.5,0.54,0,0,0,0,0,0,0.03,0.078,0.505,798,1
0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1
0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.105,0.105,60,1
0,0.86,0,0.86,0,1.73,0,0,0,0,0,0,0,0,0,0.152,0,10,1
0,1.07,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0.437,10,1
0,0.18,0.18,0,0,0,0.18,0,0,0,0,0,0,0,0,0.081,0.027,11,1
0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0.74,32,1
0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,1.26,0.215,0.431,25,1
0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.33,0.28,0.336,19,1
0,0,0,0.64,0,1.29,0,0,0,0,0,0,0.64,0,0,0.224,0,13,1
0,1.21,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1
0,0.62,0,0,0,0.62,0,0.62,0,0,0,1.24,0,0,0,0,0.322,30,1
0,0.17,0.17,0,0.17,0.7,0.35,0,0,0,0,0,0,0,0,0.147,0.058,39,1
0,0.05,0.05,0,0.64,0.05,0.82,0.05,0,0,0,0,0,0,0.05,0.052,0.167,13,1
0,0.19,0.58,0,0,1.17,0.09,0.29,0,0,0,0,0.09,0,0,0,0.224,49,1
0,0.05,0.76,0.26,0.44,0,1.05,0.34,0,0,0,0,0,0,0.02,0.066,0.764,193,1
0,0.33,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0.33,0.107,0.161,50,1
0,0.65,0,0.65,0,0,0,0,0,0,0,0,0,0,0.65,0,0,21,1
0,0.1,0.2,0.91,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0.096,0.16,494,1
0,0.94,0,0,0.47,0,1.41,0,0,0,0,0,0,0,0.47,0.073,0.221,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0.32,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0.32,0.106,0.159,10,1
0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613,12,1
