@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,15-16,18,22,29-30,36-39,45,52-55,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_font numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_re numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.38,0.12,0,0.12,0,0,0,0,0,0,0,0,0.244,0.081,0,1.729,1
0,1.27,0.63,3.18,0,0,0,0,0,0,0,0,0.055,0.496,0,3.509,1
1.66,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,2.611,1
0.48,0,0.48,0,0,0,0,0,0,0,0,0.48,0.488,0.244,0,5.431,1
0.73,0,1.09,0.36,0,0,0,0,0,0,0,0,0.498,0.332,0,3.254,1
0.68,0,0.34,1.36,0,0,0,0,0,0,0,0,0.048,0.048,0,1.411,1
0.46,0,0.92,0.92,0,0,0,0,0,0,0,0.46,0.298,0.223,0,2.156,1
0,0,0.37,0.12,0,0,0,0,0.12,0,0,0,0.437,0.234,0.064,3.675,1
0,0,0,5.26,0,0,0,0,0,0,0,0,0,0.338,0,1.666,1
0,0,2.91,0.72,0,0,0,0,0,0,0,0,0.495,0,0,1.525,1
0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,0,5.13,1
0.05,0,0.26,0,0,0,0,0,0,0,0,0.02,0.322,0.764,0.159,6.1,1
0.46,0,0,1.4,0.93,0,0,0,0,0,0,0.46,0,0,0,2.676,1
0,0,0.64,0,0,0,0,0,0.64,0,0,0,0.662,0,0,10.068,1
1.11,0,0.55,0,0,0,0,0,0,0,0,0,1.158,0.331,0,4.875,1
0,0,0.41,0,0,0,0,0,0,0,0,0,0.97,0.149,0,32.142,1
0.14,0.14,0.14,0.72,0,0,0,0,0,0,0,0.14,0.865,0.023,0.046,5.133,1
0,0,0.62,0,0,0,0,0,0,0,0,0,1.055,0,0,2.033,1
0.62,0,0,1.24,0,0,0,0,0,0,0,0,0.517,0,0,3.363,1
0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,2.179,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1
0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.069,0,3.215,1
0,0.45,0,1.83,0,0,0,0,0,0,0,0,0.187,0.112,0,3.184,1
0,0,0.72,0.18,0,0,0,0,0,0.36,0,0,0.633,0.063,0,9.043,1
2.98,0,1.49,0,0,0,0,0,0,0,0,0,0,0.171,0.171,13,1
0,0,0.55,0,0,0,0,0,0,0,0,0.55,0.683,0,0,2.338,1
2.23,0,0,0.55,0,0,0,0,0,0,0,0.55,0.479,0,0.079,16.739,1
0,0,0.8,0,0,0,0,0,0,0,0,0,1.62,0.347,0,2.604,1
0.14,0,0.87,1.46,0,0,0,0,0.29,0,0,0,0.764,0.784,0.02,4.979,1
0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.032,0,1.206,1
0,0,1.05,0,0,0,0,0,0,0,0,0,0.702,0.263,0,6.487,1
0,0,0.54,0,0,0,0,0,0,0,0,0,0.715,0.318,0,2.345,1
2.41,0.34,0,3.44,0,0,0,0,0,0,0,0,0,0,0,1.888,1
0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.107,0,2.623,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1
0,0,0.43,1.73,0,0,0,0.43,0,0,0,0,0.31,0.062,0,1.477,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.121,0,1021.5,1
0,0,1.29,0,0,0,0,0,0,0,0,0,0.462,0.37,0,2.44,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,4.5,1
0,0,0.61,0.61,0,0,0,0,0,0,0,0.61,0.517,0.103,0,2.966,1
0,0,0.46,0,0,0,0,0,0,0,0,0.46,0.663,0,0,1.428,1
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.169,0,1.775,1
0.08,0,0.53,0,0,0,0,0,0,0,0,0,0.369,0.109,0.027,4.911,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1
0,0,0,0,0,0,0,1.03,0,0,0,1.03,0.163,0.326,0,3.545,1
0.67,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,5.558,1
0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,3.5,1
0,0,1.74,0,0,0,0,0,0,0,0,0,0.165,0.082,0,2.17,1
0.25,0,0.25,0.76,0,0,0,0,0,0,0,0,0.354,0,0,2.593,1
0.26,0,0.26,0,17.1,0,0,0,0,0,0,0,0.369,0,1.026,13.82,1
0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1.081,0,0,2.3,1
0,0,0,0.51,0,0,0,0,0.25,0,0,0,0.26,0.173,0,3.298,1
1.05,0,0,0,0,0,0,0,0,0,0,0,0.171,0.171,0,2.05,1
0,0.03,0.21,0.03,0,0,0,0,0,0,0,0.03,0.478,0.509,0.127,6.518,1
0,0.39,3.54,0,0,0,0,0,0,0,0,0.39,0.843,0.129,0.064,5.87,1
0,0,0,0,0,0,0,0,0,0,0,0,1.116,0.111,0,1.8,1
0.13,0.03,0.27,0.03,0,0,0,0,0,0,0,0.06,0.456,0.5,0.11,6.049,1
0.77,0,0.19,2.33,0,0,0,0,0,0,0.19,0,0.185,0.216,0,1.948,1
0.9,0,0,0.9,0,0,0,0,0,0,0,0,0.537,0,0,2.782,1
0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,3.871,1
0.67,0,0,1.01,0,0,0,0,0,0,0,0,0,0.048,0,1.204,1
0.9,0,0,0,0,0,0,0,0,0,0,0,0.774,0,0,1,1
0.19,0,0.98,0,0,0,0,0,0,0,0,0,0.741,0.306,0.025,6.652,1
0,0,0,0,0,0,0,1.05,0,0,0,1.05,0,0.338,0,4.047,1
0.19,0,0.98,0,0,0,0,0,0,0,0,0,0.749,0.31,0.025,6.652,1
0,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,3.2,1
0,0,0.68,0,0,0,0,0,0,0,0,0,1.255,0,0,2.818,1
0.44,0,0,0.44,0,0,0,0,0,0,0,0,0.433,0.361,0,2.375,1
0.47,0,0.94,0,0,0,0,0,0,0,0,0,0.218,0,0,1.102,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.769,1
0.62,0.31,1.56,0,0,0,0,0,0,0,0,0,0.77,0,0,2.481,1
0,0,0,0,0,0,0,0,0,0,0,0,1.294,0.043,0,3.979,1
0,0,0.32,1.29,0,0,0,0,0,0,0,0.32,0.531,0,0,4.337,1
0,0,0,0,0,0,0,0,0,0,0,0,0.396,0.099,0,2.333,1
0.61,0,0,0,0,0,0,0,0,0,0,0.3,0.728,0.182,0,4.339,1
0,0,0,0,0,0,0,0,0,0,0,0,1.111,0,0,1.409,1
0,0,0.77,0,0,0,0,0,0,0,0,0,0.671,0,0,129.5,1
0,0,2.59,0,1.29,0,0,0,0,0,0,0,1.098,0,0.439,3.571,1
0,1.46,0,2.26,0,0,0,0,0,0,0,0,0.593,0.217,0.039,11.463,1
0,0,0,0,0,0,0,0,0,0,0,0,0.343,0.171,0,2.235,1
0,0,0.65,0,0,0,0,0,0,0,0,0,0.529,0.411,0,3.964,1
0.43,0,0,0,9.17,0,0,0,0,0,0,0,0.065,0,1.047,9.269,1
0.73,1.47,0.09,1.2,0,0,0,0,0,0,0,0.09,0.432,0.135,0.013,8.445,1
0.17,0.69,0,0,0,0,0,0,0,0,0,0,0.079,0.106,0.053,2,1
0.47,0,0.94,0,0,0,0,0,0,0,0,0,0.224,0,0,1.102,1
0,0,0.11,0.89,0,0,0,0,0,0,0,0,0.056,0.056,0,2.153,1
0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,3.707,1
0,0,0,0,0,0,0,0,0,0,0,0,0.898,0.105,0,443.666,1
0,0,0.48,0,0,0,0,0,0,0,0,0,1.739,0.173,0.086,56.538,1
0,0,0,1.57,0,0,0,0,0,0,0,0,0,0.184,0,8.161,1
0.74,0,2.22,0,0,0,0,0,0,0,0.74,0,0.088,0,0,3.048,1
0.15,0,0,0,0,0,0,0,0,0,0,0.15,1.3,0.127,0,5.241,1
1.26,0,0,1.26,0,0,0,0,0,0,0,1.26,0,0.215,1.724,3.529,1
0,1.5,0,0,0,0,0,0,0,0,0,0,2.224,1.223,0,107.4,1
0,0,0.45,0.22,0,0,0,0,0,0,0,0,1.599,0.148,0,4.947,1
0,0,0.47,0,0,0,0,0,0,0,0,0,1.683,0.168,0.084,57.23,1
0,0,1.33,0,0,0,0,0,0,0,0,0,1.326,0,0,2.2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,4.5,1
0,0,0,0,0,0,0,0,0,0,0,1.25,0,0.182,0,3.545,1
0,0,0.53,0,0,0,0,0,0,0.1,0,0,0.358,0.188,0.075,2.847,1
0,0,0,0,0,0,0,0,0,0,0,0.2,0.298,0.149,0.029,11.96,1
0,0,1.57,0,0,0,0,0,0,0,0,0,0.682,0.341,0,2.555,1
0,0,0.81,0.81,0,0,0,0,0,0,0,0,0.121,0,0,4.035,1
0,0,0.17,0,0,0.05,0,0,0,0,0,0.05,0.089,0.079,0.009,4.913,1
0,0,0,0,0,0,0,0,0,0,0,0,1.005,0.059,0,295,1
1.31,0.65,0,0,0,0,0,0,0,0,0,0,0.522,0,0,1.69,1
1.03,0,2.06,0,0,0,0,0,0,0,0,1.03,0,0,0,10.692,1
0.74,0,0.74,0,0,0,0,0,0,0,0,0,0.355,0.118,0.237,2.095,1
0,0,0.05,0.38,0,0,0,0,0,0,0,0,0.112,0.018,0.018,3.922,1
0.64,0,0.64,0,0,0,0,0,0,0,0,0,0.522,0.313,0,2.511,1
0.68,0,1.36,0,0,0,0,0,0,0,0,0.68,1.706,0.2,0,4.281,1
0,0,1.09,0,0,0,0,0,0,0,0,1.09,0.371,0,0,3.096,1
1.65,0,2.47,0.82,0,0,0,0,0,0,0,0.41,0.199,0,0,15.892,1
0.5,1.61,0.1,1.11,0,0,0,0,0,0,0,0.1,0.49,0.158,0.015,8.55,1
2.73,0,0,0.68,0,0,0,0,0.68,0,0,0,1.244,0,0,2.472,1
0.55,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0.043,19.482,1
0.07,0.07,0,0.44,0,0,0,0,0.14,0,0,0,0.167,0.167,0.01,3.412,1
0.31,0,0.31,0,0,0,0,0,0,0,0,0.31,0,0.163,0.054,1.515,1
0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,1.375,1
0,0,1.33,0,0,0,0,0,0,0,0,0,1.326,0,0,2.2,1
0,0,0.71,0,0,0,0,0,0,0,0.23,0,0.402,0.402,0.089,5.681,1
0,0,0,0,0,0,0,0.43,0,0,0,0,0.874,0,0,5.114,1
0,0,0,0,0,0,0,0,0.19,0,0,0,0.364,0.312,0,7.541,1
0.54,0.18,0.36,0.54,0,0,0,0,0,0,0,0,0.249,0.305,0,3.921,1
0,0,0.37,0,0,0,0,0,0,0,0,0,1.248,0.197,0.065,58.705,1
0.38,0.12,0,0.12,0,0,0,0,0,0,0,0,0.25,0.073,0,1.764,1
0.41,0,1.65,0,0,0,0,0,0,0,0,0,0.904,5.3,0,7.478,1
0,0,0.48,0.24,0,0,0.24,0,0,0,0,0,0.036,0.184,0,2.276,1
0,0,0,0,0,0,0,0,0,0,0,0,2.413,0,0,3.384,1
0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,2.755,1
