@relation tae

@attribute Instructor numeric
@attribute Course numeric
@attribute Class {1,2,3}

@data
16,8,1
12,7,1
18,5,1
5,2,1
13,1,1
16,20,1
10,3,1
8,3,1
23,3,1
15,1,1
14,15,1
15,1,1
3,2,1
13,1,1
11,1,1
22,3,1
14,15,1
2,10,1
5,2,1
4,16,1
20,2,1
22,3,1
20,2,1
4,16,1
10,3,1
23,3,1
13,3,1
10,3,1
13,3,1
23,3,1
5,2,1
2,9,1
7,11,1
19,4,1
21,2,1
14,15,1
11,1,1
17,18,1
22,1,1
8,7,1
3,2,1
16,8,1
18,7,1
18,5,1
18,12,2
8,3,2
20,15,2
6,17,2
6,17,2
13,3,2
7,25,2
15,13,2
25,7,2
8,3,2
15,13,2
22,1,2
23,3,2
14,15,2
6,17,2
14,23,2
22,3,2
23,3,2
25,7,2
13,3,2
25,7,2
12,8,2
7,11,2
22,3,2
14,15,2
9,2,2
1,15,2
1,8,2
9,24,2
20,2,2
6,17,2
22,3,2
1,15,2
13,1,2
17,18,2
7,11,2
24,26,2
25,7,2
22,13,2
6,17,2
7,11,2
2,9,2
7,25,2
23,3,2
6,17,2
13,3,3
13,1,3
5,2,3
13,1,3
23,3,3
18,25,3
8,3,3
5,2,3
9,6,3
22,3,3
22,3,3
23,3,3
9,5,3
15,3,3
18,21,3
14,15,3
23,3,3
16,19,3
22,3,3
10,22,3
6,17,3
18,21,3
23,3,3
20,2,3
23,3,3
15,3,3
23,3,3
7,11,3
9,2,3
23,3,3
23,3,3
10,22,3
6,17,3
13,14,3
14,22,3
15,3,3
10,3,3
10,3,3
18,21,3
1,15,3
9,5,3
13,3,3
15,3,3
23,3,3
23,3,3
9,5,3
7,11,3
