@relation tae

@attribute Native numeric
@attribute Course numeric
@attribute Semester numeric
@attribute Size numeric
@attribute Class {1,2,3}

@data
2,15,2,38,1
2,1,2,51,1
2,2,2,37,1
2,1,2,51,1
2,11,2,30,1
2,11,2,30,1
2,4,2,10,1
2,2,2,26,1
2,1,2,51,1
2,2,2,42,1
2,2,2,48,1
2,2,2,48,1
2,2,2,14,1
2,1,2,31,1
2,3,2,19,1
2,3,2,12,1
2,2,2,37,1
2,7,2,34,1
2,16,2,21,1
2,16,2,21,1
2,3,2,11,1
2,18,2,29,1
1,7,2,48,1
2,8,2,36,1
2,1,2,31,1
2,10,2,27,1
2,3,2,12,1
2,2,2,42,1
2,3,2,19,1
2,3,2,28,1
2,3,2,28,1
2,1,2,29,1
2,1,2,19,1
2,5,2,19,1
2,7,2,23,1
2,20,2,15,1
1,3,1,13,1
1,3,1,13,1
2,2,2,37,1
2,3,2,24,1
2,5,2,19,1
2,9,2,29,1
2,1,2,66,1
1,3,2,38,1
2,15,2,38,2
2,1,2,20,2
2,12,2,16,2
2,3,1,20,2
2,11,2,13,2
2,7,2,23,2
1,18,2,44,2
1,16,2,22,2
2,17,2,37,2
2,25,2,42,2
2,6,2,5,2
2,11,2,10,2
2,3,1,10,2
2,11,2,10,2
1,17,2,35,2
2,15,2,18,2
1,3,1,20,2
2,17,2,42,2
2,9,2,31,2
2,15,2,38,2
2,8,2,24,2
2,2,2,25,2
2,25,2,42,2
2,15,1,22,2
2,13,2,37,2
2,26,2,21,2
2,7,2,27,2
2,15,1,22,2
2,3,2,10,2
2,17,2,42,2
2,13,2,37,2
2,24,2,20,2
2,7,2,27,2
2,1,2,42,2
2,8,2,18,2
2,11,2,13,2
2,1,2,11,2
2,3,2,46,2
2,3,2,24,2
2,2,2,14,2
2,3,2,24,2
2,3,2,46,2
1,3,2,15,2
2,17,2,43,2
2,7,2,23,2
1,17,2,31,3
2,6,2,7,3
2,15,2,36,3
2,3,2,27,3
2,1,2,30,3
2,22,2,9,3
2,3,1,17,3
2,3,1,20,3
2,5,2,19,3
2,5,2,24,3
2,3,1,20,3
2,11,1,20,3
2,17,2,39,3
2,3,1,20,3
1,3,2,49,3
2,3,1,17,3
1,3,1,19,3
1,3,1,20,3
1,2,2,33,3
1,3,1,19,3
2,3,2,27,3
1,3,2,21,3
1,3,2,45,3
2,5,2,19,3
1,3,2,49,3
1,3,1,25,3
1,3,2,38,3
2,25,2,25,3
2,2,2,45,3
2,22,2,17,3
2,22,2,9,3
2,3,1,20,3
2,11,2,55,3
2,21,2,29,3
2,21,2,29,3
1,3,1,17,3
2,3,1,11,3
1,17,2,19,3
1,1,2,54,3
2,1,2,30,3
1,3,2,58,3
2,3,1,20,3
2,11,2,55,3
2,21,2,19,3
1,3,1,58,3
2,14,2,17,3
2,17,2,39,3
