@relation texture

@attribute A1 numeric
@attribute A2 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.167,-0.767,-0.536,-0.817,-1.167,-0.669,-0.714,-0.875,-1.167,-0.918,-0.72,-1.098,-0.782,-0.658,-0.918,-0.66,-0.752,2
-1.338,-0.905,-0.56,-0.821,-1.338,-0.66,-0.672,-0.794,-1.338,-1.005,-0.607,-1.013,-0.889,-0.571,-0.973,-0.598,-0.687,2
-1.237,-0.652,-0.283,-0.528,-1.237,-0.599,-0.63,-0.747,-1.237,-0.882,-0.454,-0.909,-0.655,-0.392,-0.75,-0.358,-0.334,2
-1.055,-0.608,-0.419,-0.704,-1.055,-0.539,-0.577,-0.665,-1.055,-0.75,-0.423,-0.811,-0.613,-0.444,-0.749,-0.455,-0.5,2
-1.059,-0.669,-0.478,-0.8,-1.059,-0.578,-0.645,-0.794,-1.059,-0.793,-0.532,-0.892,-0.69,-0.559,-0.825,-0.589,-0.684,2
-1.159,-0.804,-0.594,-0.89,-1.159,-0.683,-0.727,-0.875,-1.159,-0.849,-0.52,-1.035,-0.768,-0.658,-0.901,-0.657,-0.779,2
-1.351,-0.782,-0.434,-0.711,-1.351,-0.613,-0.658,-0.784,-1.351,-1.007,-0.586,-1.02,-0.81,-0.565,-0.911,-0.523,-0.555,2
-1.066,-0.578,-0.422,-0.791,-1.066,-0.551,-0.629,-0.73,-1.066,-0.753,-0.429,-0.831,-0.635,-0.517,-0.731,-0.449,-0.475,2
-1.077,-0.645,-0.546,-0.96,-1.077,-0.607,-0.695,-0.872,-1.077,-0.855,-0.645,-0.98,-0.676,-0.707,-0.833,-0.646,-0.784,2
-1.278,-0.766,-0.45,-0.741,-1.278,-0.561,-0.577,-0.686,-1.278,-1.04,-0.689,-1.059,-0.864,-0.618,-0.954,-0.645,-0.72,2
-1.207,-0.699,-0.444,-0.697,-1.207,-0.583,-0.616,-0.724,-1.207,-0.933,-0.589,-0.966,-0.764,-0.564,-0.877,-0.575,-0.657,2
-1.352,-0.928,-0.644,-0.942,-1.352,-0.685,-0.7,-0.828,-1.352,-0.959,-0.492,-1.013,-0.836,-0.626,-0.931,-0.605,-0.693,2
-1.074,-0.629,-0.29,-0.523,-1.074,-0.459,-0.491,-0.611,-1.074,-0.808,-0.463,-0.863,-0.629,-0.365,-0.734,-0.386,-0.473,2
-1.169,-0.804,-0.593,-0.867,-1.169,-0.626,-0.617,-0.759,-1.169,-0.911,-0.592,-0.948,-0.825,-0.609,-0.93,-0.645,-0.752,2
-1.158,-0.593,-0.308,-0.626,-1.158,-0.366,-0.418,-0.397,-1.158,-0.857,-0.426,-0.798,-0.745,-0.498,-0.874,-0.52,-0.53,2
-1.017,-0.593,-0.365,-0.698,-1.017,-0.39,-0.429,-0.506,-1.017,-0.818,-0.537,-0.885,-0.668,-0.515,-0.794,-0.534,-0.637,2
-1.252,-0.74,-0.368,-0.663,-1.252,-0.44,-0.467,-0.507,-1.252,-0.93,-0.483,-0.864,-0.805,-0.549,-0.916,-0.555,-0.608,2
