@relation texture

@attribute A5 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.63,-0.685,-0.917,-0.648,-0.689,-0.872,-0.976,-0.592,-0.687,-0.97,-1.155,-0.78,-0.737,-0.597,-0.629,2
-0.27,-0.384,-0.649,-0.501,-0.606,-0.735,-0.901,-0.425,-0.575,-0.918,-1.013,-0.568,-0.527,-0.391,-0.498,2
-0.487,-0.541,-0.816,-0.675,-0.692,-0.847,-1.055,-0.594,-0.701,-1.005,-1.096,-0.645,-0.618,-0.478,-0.561,2
-0.361,-0.465,-0.808,-0.477,-0.525,-0.78,-0.897,-0.486,-0.571,-0.877,-1.098,-0.588,-0.585,-0.442,-0.548,2
-0.394,-0.459,-0.746,-0.522,-0.573,-0.79,-0.923,-0.501,-0.623,-0.934,-1.072,-0.662,-0.624,-0.492,-0.563,2
-0.41,-0.497,-0.732,-0.519,-0.575,-0.833,-0.907,-0.402,-0.535,-0.857,-1.154,-0.718,-0.656,-0.481,-0.535,2
-0.485,-0.517,-0.769,-0.615,-0.662,-0.81,-0.951,-0.629,-0.678,-0.9,-1.026,-0.637,-0.652,-0.512,-0.611,2
-0.674,-0.783,-0.978,-0.679,-0.688,-0.948,-1.007,-0.527,-0.677,-1.019,-1.324,-0.91,-0.845,-0.68,-0.692,2
-0.493,-0.569,-0.829,-0.62,-0.68,-0.927,-1.058,-0.702,-0.791,-1.069,-1.173,-0.727,-0.718,-0.545,-0.618,2
-0.43,-0.525,-0.736,-0.567,-0.616,-0.815,-0.9,-0.483,-0.574,-0.86,-1.132,-0.682,-0.641,-0.477,-0.563,2
-0.523,-0.593,-0.819,-0.641,-0.635,-0.874,-0.901,-0.451,-0.603,-0.911,-1.225,-0.713,-0.653,-0.425,-0.491,2
-0.349,-0.424,-0.661,-0.545,-0.602,-0.756,-0.929,-0.457,-0.574,-0.924,-1.147,-0.575,-0.555,-0.386,-0.547,2
-0.312,-0.457,-0.758,-0.478,-0.572,-0.767,-0.886,-0.436,-0.562,-0.918,-1.186,-0.619,-0.608,-0.439,-0.549,2
-0.498,-0.6,-0.779,-0.652,-0.662,-1.016,-0.992,-0.63,-0.767,-1.02,-1.331,-0.861,-0.784,-0.545,-0.562,2
-0.49,-0.572,-0.865,-0.641,-0.75,-0.781,-0.899,-0.545,-0.658,-0.983,-1.105,-0.677,-0.672,-0.491,-0.574,2
-0.4,-0.509,-0.644,-0.624,-0.648,-0.893,-0.944,-0.472,-0.613,-0.936,-1.265,-0.714,-0.675,-0.395,-0.437,2
-0.548,-0.628,-0.837,-0.676,-0.704,-0.882,-1.005,-0.478,-0.644,-0.997,-1.212,-0.741,-0.694,-0.501,-0.565,2
-0.419,-0.486,-0.775,-0.627,-0.659,-0.847,-1.056,-0.599,-0.693,-0.956,-1.058,-0.643,-0.647,-0.472,-0.538,2
-0.513,-0.567,-0.883,-0.582,-0.627,-0.804,-0.915,-0.515,-0.61,-0.906,-1.091,-0.698,-0.668,-0.564,-0.64,2
-0.376,-0.464,-0.727,-0.516,-0.547,-0.714,-0.84,-0.439,-0.567,-0.865,-0.96,-0.583,-0.529,-0.383,-0.421,2
-0.352,-0.442,-0.623,-0.514,-0.57,-0.8,-0.907,-0.599,-0.671,-0.9,-1.032,-0.618,-0.614,-0.443,-0.551,2
-0.615,-0.706,-0.913,-0.719,-0.732,-0.981,-1.059,-0.552,-0.708,-1.035,-1.311,-0.855,-0.786,-0.577,-0.616,2
-0.448,-0.559,-0.824,-0.586,-0.598,-0.836,-0.915,-0.494,-0.637,-0.947,-1.148,-0.694,-0.643,-0.446,-0.503,2
-0.606,-0.671,-0.989,-0.679,-0.735,-0.805,-0.947,-0.533,-0.642,-0.968,-1.114,-0.684,-0.648,-0.545,-0.644,2
