@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R8-12,15-16,22-23,29,33,38,40-41'

@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A29 numeric
@attribute A33 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.705,-0.62,-0.988,-1.27,-0.909,-0.716,-0.75,-1.019,-1.035,-0.822,-0.719,-0.693,-0.779,2
-0.517,-0.452,-0.665,-1.13,-0.839,-0.657,-0.666,-0.882,-0.929,-0.684,-0.42,-0.549,-0.591,2
-0.466,-0.376,-0.715,-1.265,-0.747,-0.505,-0.569,-0.901,-0.933,-0.579,-0.494,-0.518,-0.489,2
-0.497,-0.409,-0.732,-1.154,-0.727,-0.519,-0.575,-0.833,-0.907,-0.535,-0.526,-0.553,-0.587,2
-0.494,-0.451,-0.809,-1.116,-0.729,-0.58,-0.68,-0.768,-0.87,-0.627,-0.452,-0.503,-0.503,2
-0.369,-0.277,-0.551,-0.987,-0.602,-0.447,-0.528,-0.731,-0.822,-0.546,-0.351,-0.374,-0.419,2
-0.431,-0.339,-0.595,-0.992,-0.644,-0.382,-0.389,-0.702,-0.781,-0.425,-0.339,-0.418,-0.431,2
-0.667,-0.592,-0.877,-1.205,-0.882,-0.717,-0.732,-0.939,-1.022,-0.774,-0.735,-0.754,-0.833,2
-0.394,-0.33,-0.684,-1.04,-0.646,-0.451,-0.53,-0.735,-0.908,-0.588,-0.381,-0.511,-0.55,2
-0.515,-0.477,-0.758,-1.021,-0.742,-0.594,-0.618,-0.799,-0.939,-0.632,-0.444,-0.584,-0.636,2
-0.608,-0.509,-0.758,-1.322,-0.925,-0.665,-0.697,-1.007,-1.009,-0.736,-0.525,-0.629,-0.623,2
-0.486,-0.462,-0.902,-1.031,-0.726,-0.575,-0.623,-0.79,-1.026,-0.68,-0.605,-0.566,-0.674,2
-0.493,-0.463,-0.751,-0.935,-0.71,-0.653,-0.704,-0.713,-0.802,-0.603,-0.549,-0.595,-0.805,2
-0.346,-0.25,-0.551,-1.128,-0.619,-0.322,-0.356,-0.823,-0.844,-0.566,-0.39,-0.566,-0.541,2
-0.524,-0.462,-0.67,-1.254,-0.881,-0.63,-0.654,-0.993,-1.002,-0.75,-0.527,-0.643,-0.663,2
-0.582,-0.487,-0.785,-1.246,-0.868,-0.601,-0.613,-0.904,-0.987,-0.649,-0.546,-0.585,-0.603,2
-0.442,-0.378,-0.623,-1.032,-0.662,-0.514,-0.57,-0.8,-0.907,-0.671,-0.414,-0.541,-0.593,2
-0.743,-0.682,-0.969,-1.264,-0.938,-0.773,-0.787,-1.016,-1.064,-0.802,-0.762,-0.733,-0.8,2
-0.509,-0.458,-0.779,-1.186,-0.761,-0.602,-0.674,-0.857,-0.94,-0.653,-0.512,-0.539,-0.564,2
-0.58,-0.529,-0.78,-1.181,-0.808,-0.618,-0.658,-0.878,-0.94,-0.64,-0.523,-0.594,-0.658,2
-0.61,-0.569,-0.912,-1.01,-0.691,-0.579,-0.634,-0.722,-0.789,-0.541,-0.614,-0.607,-0.774,2
-0.759,-0.715,-0.939,-1.181,-0.868,-0.729,-0.758,-0.902,-1.023,-0.736,-0.737,-0.736,-0.83,2
-0.524,-0.42,-0.75,-1.306,-0.805,-0.576,-0.651,-0.986,-1.03,-0.679,-0.568,-0.571,-0.577,2
-0.674,-0.643,-0.959,-1.157,-0.791,-0.641,-0.674,-0.785,-0.945,-0.603,-0.547,-0.641,-0.609,2
-0.451,-0.397,-0.673,-1.107,-0.724,-0.536,-0.57,-0.853,-0.964,-0.668,-0.455,-0.552,-0.574,2
-0.669,-0.627,-0.948,-1.173,-0.866,-0.742,-0.781,-0.908,-1.072,-0.753,-0.649,-0.676,-0.707,2
-0.402,-0.336,-0.709,-1.036,-0.603,-0.455,-0.548,-0.754,-0.922,-0.608,-0.501,-0.582,-0.587,2
-0.513,-0.481,-0.807,-1.088,-0.702,-0.489,-0.544,-0.847,-0.984,-0.708,-0.582,-0.646,-0.672,2
-0.446,-0.372,-0.725,-1.016,-0.687,-0.538,-0.602,-0.661,-0.843,-0.494,-0.288,-0.408,-0.432,2
-0.609,-0.497,-0.728,-1.325,-0.94,-0.683,-0.712,-0.976,-0.975,-0.689,-0.485,-0.573,-0.543,2
-0.634,-0.566,-0.884,-1.171,-0.825,-0.596,-0.627,-0.803,-0.86,-0.561,-0.569,-0.623,-0.596,2
-0.486,-0.419,-0.723,-1.078,-0.764,-0.607,-0.661,-0.861,-1.002,-0.717,-0.47,-0.563,-0.613,2
-0.64,-0.603,-0.902,-0.993,-0.691,-0.558,-0.599,-0.713,-0.77,-0.517,-0.632,-0.643,-0.792,2
-0.724,-0.649,-0.91,-1.32,-0.92,-0.7,-0.714,-0.973,-1.026,-0.673,-0.738,-0.724,-0.8,2
-0.47,-0.346,-0.581,-1.309,-0.862,-0.56,-0.584,-0.94,-0.908,-0.641,-0.447,-0.533,-0.487,2
-0.42,-0.4,-0.747,-0.921,-0.606,-0.533,-0.627,-0.701,-0.963,-0.575,-0.345,-0.452,-0.447,2
-0.641,-0.544,-0.79,-1.329,-0.886,-0.601,-0.616,-0.995,-1,-0.724,-0.666,-0.71,-0.764,2
-0.405,-0.355,-0.711,-0.942,-0.605,-0.443,-0.494,-0.668,-0.802,-0.556,-0.403,-0.485,-0.54,2
-0.675,-0.619,-0.892,-1.199,-0.905,-0.733,-0.741,-0.961,-1.081,-0.769,-0.69,-0.737,-0.77,2
-0.581,-0.464,-0.716,-1.321,-0.922,-0.65,-0.66,-1.009,-1.016,-0.748,-0.563,-0.663,-0.651,2
-0.696,-0.596,-0.964,-1.3,-0.919,-0.766,-0.821,-1.051,-1.106,-0.868,-0.724,-0.702,-0.79,2
-0.687,-0.625,-0.937,-1.115,-0.792,-0.644,-0.687,-0.864,-0.921,-0.683,-0.757,-0.703,-0.851,2
-0.509,-0.437,-0.75,-1.119,-0.748,-0.545,-0.571,-0.844,-0.953,-0.654,-0.521,-0.587,-0.654,2
-0.622,-0.555,-0.805,-1.241,-0.87,-0.675,-0.697,-0.956,-1.044,-0.747,-0.675,-0.699,-0.75,2
-0.39,-0.329,-0.685,-0.978,-0.605,-0.419,-0.495,-0.659,-0.855,-0.496,-0.35,-0.466,-0.477,2
-0.561,-0.498,-0.839,-1.211,-0.81,-0.589,-0.637,-0.873,-0.953,-0.675,-0.5,-0.578,-0.555,2
-0.43,-0.44,-0.664,-0.543,-0.433,-0.571,-0.713,-0.397,-0.747,-0.543,-0.265,-0.466,-0.628,2
-0.739,-0.688,-0.948,-1.238,-0.892,-0.687,-0.727,-0.955,-0.988,-0.778,-0.772,-0.742,-0.828,2
-0.503,-0.411,-0.775,-1.101,-0.745,-0.608,-0.643,-0.72,-0.838,-0.504,-0.318,-0.378,-0.393,2
-0.597,-0.495,-0.821,-1.355,-0.877,-0.602,-0.657,-1.051,-1.027,-0.791,-0.588,-0.651,-0.635,2
-0.309,-0.248,-0.683,-1.248,-0.601,-0.351,-0.474,-0.913,-0.852,-0.64,-0.67,-0.625,-0.625,3
-0.559,-0.432,-0.711,-1.268,-0.881,-0.64,-0.68,-1.023,-0.982,-0.793,-0.601,-0.648,-0.656,3
-0.305,-0.184,-0.752,-1.141,-0.437,-0.31,-0.43,-0.799,-0.791,-0.525,-0.584,-0.58,-0.587,3
-0.362,-0.258,-0.656,-1.162,-0.695,-0.438,-0.509,-0.919,-0.929,-0.709,-0.538,-0.507,-0.513,3
-0.557,-0.449,-0.83,-1.324,-0.872,-0.583,-0.616,-1.142,-1.058,-0.923,-0.803,-0.815,-0.82,3
-0.247,-0.155,-0.669,-1.17,-0.458,-0.292,-0.473,-0.752,-0.713,-0.441,-0.67,-0.621,-0.652,3
-0.268,-0.249,-0.694,-1.199,-0.558,-0.31,-0.458,-0.872,-0.844,-0.622,-0.7,-0.643,-0.71,3
-0.433,-0.337,-0.748,-1.201,-0.685,-0.464,-0.564,-0.936,-0.876,-0.691,-0.703,-0.72,-0.747,3
-0.661,-0.565,-0.903,-1.366,-0.932,-0.655,-0.67,-1.154,-1.098,-0.949,-0.803,-0.852,-0.859,3
-0.651,-0.546,-0.87,-1.382,-0.984,-0.704,-0.717,-1.201,-1.154,-1.017,-0.908,-0.915,-0.916,3
-0.556,-0.456,-0.893,-1.235,-0.713,-0.53,-0.612,-0.949,-0.874,-0.719,-0.752,-0.722,-0.733,3
-0.339,-0.282,-0.739,-1.153,-0.576,-0.362,-0.511,-0.873,-0.851,-0.668,-0.603,-0.638,-0.669,3
-0.43,-0.319,-0.728,-1.201,-0.681,-0.437,-0.505,-0.881,-0.831,-0.617,-0.629,-0.619,-0.601,3
-0.517,-0.411,-0.769,-1.269,-0.739,-0.55,-0.639,-1.024,-0.974,-0.799,-0.757,-0.792,-0.807,3
-0.282,-0.2,-0.639,-1.152,-0.668,-0.38,-0.44,-0.897,-0.916,-0.672,-0.5,-0.448,-0.456,3
-0.564,-0.474,-0.749,-1.292,-0.837,-0.569,-0.593,-1.002,-0.919,-0.793,-0.765,-0.827,-0.825,3
-0.395,-0.309,-0.741,-1.174,-0.666,-0.483,-0.576,-0.874,-0.837,-0.659,-0.573,-0.572,-0.591,3
-0.453,-0.371,-0.743,-1.22,-0.785,-0.541,-0.598,-1.012,-0.98,-0.853,-0.638,-0.654,-0.682,3
-0.31,-0.246,-0.696,-1.149,-0.483,-0.317,-0.478,-0.759,-0.807,-0.538,-0.618,-0.599,-0.659,3
-0.306,-0.226,-0.674,-1.22,-0.612,-0.344,-0.461,-0.896,-0.878,-0.653,-0.684,-0.651,-0.691,3
-0.408,-0.33,-0.713,-1.144,-0.6,-0.426,-0.531,-0.788,-0.713,-0.542,-0.647,-0.632,-0.65,3
-0.377,-0.277,-0.696,-1.141,-0.556,-0.341,-0.474,-0.806,-0.768,-0.574,-0.62,-0.638,-0.645,3
-0.32,-0.273,-0.717,-1.174,-0.617,-0.386,-0.527,-0.902,-0.887,-0.705,-0.657,-0.596,-0.608,3
-0.314,-0.282,-0.731,-1.097,-0.442,-0.37,-0.576,-0.817,-0.797,-0.612,-0.592,-0.637,-0.67,3
-0.521,-0.465,-0.824,-1.212,-0.728,-0.466,-0.529,-0.931,-0.882,-0.714,-0.643,-0.73,-0.751,3
-0.591,-0.473,-0.823,-1.349,-0.902,-0.636,-0.666,-1.124,-1.074,-0.934,-0.796,-0.817,-0.816,3
-0.391,-0.342,-0.781,-1.267,-0.697,-0.43,-0.524,-1.014,-0.956,-0.761,-0.681,-0.655,-0.652,3
-0.497,-0.399,-0.705,-1.247,-0.801,-0.553,-0.605,-0.98,-0.948,-0.801,-0.658,-0.742,-0.731,3
-0.384,-0.288,-0.648,-1.129,-0.559,-0.343,-0.486,-0.77,-0.745,-0.494,-0.584,-0.617,-0.626,3
-0.478,-0.373,-0.767,-1.281,-0.792,-0.516,-0.557,-1.028,-0.953,-0.772,-0.668,-0.654,-0.638,3
-0.401,-0.34,-0.766,-1.175,-0.58,-0.4,-0.557,-0.847,-0.817,-0.593,-0.72,-0.704,-0.74,3
-0.591,-0.487,-0.8,-1.323,-0.878,-0.612,-0.649,-1.077,-1.005,-0.835,-0.796,-0.833,-0.846,3
-0.407,-0.294,-0.686,-1.134,-0.622,-0.383,-0.467,-0.779,-0.825,-0.562,-0.659,-0.63,-0.653,3
-0.385,-0.317,-0.783,-1.115,-0.598,-0.41,-0.514,-0.876,-0.882,-0.682,-0.711,-0.695,-0.754,3
-0.386,-0.319,-0.758,-1.25,-0.63,-0.402,-0.527,-0.98,-0.913,-0.746,-0.759,-0.706,-0.764,3
-0.346,-0.254,-0.715,-1.223,-0.683,-0.422,-0.526,-0.956,-0.943,-0.742,-0.599,-0.565,-0.562,3
-0.38,-0.321,-0.763,-1.153,-0.66,-0.434,-0.521,-0.851,-0.838,-0.649,-0.688,-0.633,-0.686,3
-0.473,-0.394,-0.717,-1.242,-0.749,-0.473,-0.533,-0.953,-0.875,-0.697,-0.623,-0.668,-0.659,3
-0.395,-0.305,-0.717,-1.286,-0.683,-0.424,-0.531,-0.988,-0.925,-0.782,-0.651,-0.644,-0.683,3
-0.625,-0.506,-0.813,-1.299,-0.937,-0.67,-0.658,-1.109,-1.056,-0.923,-0.791,-0.844,-0.855,3
-0.38,-0.298,-0.716,-1.179,-0.642,-0.4,-0.535,-0.888,-0.859,-0.643,-0.639,-0.663,-0.689,3
-0.585,-0.505,-0.824,-1.235,-0.804,-0.577,-0.622,-0.972,-0.872,-0.705,-0.757,-0.775,-0.814,3
-0.573,-0.485,-0.806,-1.275,-0.853,-0.607,-0.654,-1.005,-0.953,-0.817,-0.732,-0.725,-0.774,3
-0.462,-0.373,-0.792,-1.267,-0.764,-0.521,-0.591,-1.023,-0.98,-0.798,-0.663,-0.654,-0.717,3
-0.492,-0.393,-0.743,-1.273,-0.801,-0.516,-0.54,-0.98,-0.876,-0.737,-0.693,-0.737,-0.738,3
-0.551,-0.421,-0.76,-1.319,-0.876,-0.6,-0.602,-1.077,-1.05,-0.89,-0.744,-0.791,-0.785,3
-0.55,-0.472,-0.835,-1.298,-0.824,-0.54,-0.585,-1.047,-0.951,-0.851,-0.783,-0.805,-0.836,3
-0.501,-0.407,-0.912,-1.187,-0.598,-0.482,-0.641,-0.882,-0.766,-0.64,-0.749,-0.712,-0.74,3
-0.466,-0.35,-0.745,-1.272,-0.772,-0.51,-0.555,-0.994,-0.946,-0.743,-0.616,-0.605,-0.611,3
-0.636,-0.562,-0.86,-1.279,-0.873,-0.626,-0.67,-1.012,-0.981,-0.831,-0.807,-0.881,-0.927,3
-0.81,-0.771,-1.065,-1.219,-0.862,-0.785,-0.842,-0.95,-1.192,-0.882,-0.939,-0.872,-1.005,4
-1.006,-0.969,-1.217,-1.385,-0.957,-0.824,-0.875,-1.058,-1.208,-0.892,-1.043,-1.04,-1.143,4
-0.923,-0.904,-1.11,-1.244,-0.866,-0.753,-0.837,-0.823,-1.097,-0.708,-0.829,-0.776,-0.924,4
-0.833,-0.785,-1.027,-1.226,-0.789,-0.681,-0.754,-0.83,-1.039,-0.655,-0.816,-0.814,-0.939,4
-0.851,-0.842,-1.112,-1.218,-0.778,-0.677,-0.779,-0.817,-1.084,-0.6,-0.84,-0.765,-0.885,4
-0.843,-0.796,-1.055,-1.237,-0.902,-0.807,-0.871,-0.93,-1.113,-0.832,-0.826,-0.827,-0.939,4
-1.016,-1.014,-1.215,-1.278,-0.987,-0.941,-0.994,-0.96,-1.208,-0.871,-1.026,-0.954,-1.12,4
-0.799,-0.783,-1.042,-1.173,-0.75,-0.703,-0.82,-0.791,-1.095,-0.774,-0.861,-0.869,-1.039,4
-0.982,-0.948,-1.143,-1.33,-0.926,-0.792,-0.845,-0.95,-1.137,-0.774,-0.991,-0.945,-1.05,4
