@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3,10,16,20,24,26,29-30,32,38,41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A10 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.223,-0.867,-0.868,-0.718,-0.892,-0.75,-0.566,-0.7,-1.015,-0.766,-0.62,2
-1.107,-0.694,-0.696,-0.602,-0.704,-0.646,-0.488,-0.566,-0.829,-0.647,-0.493,2
-1.096,-0.56,-0.502,-0.493,-0.604,-0.69,-0.467,-0.591,-0.87,-0.648,-0.477,2
-1.207,-0.705,-0.697,-0.616,-0.724,-0.788,-0.589,-0.709,-0.966,-0.764,-0.627,2
-1.057,-0.558,-0.542,-0.594,-0.689,-0.732,-0.625,-0.714,-0.943,-0.676,-0.557,2
-1.31,-1.023,-1.034,-0.88,-1.055,-0.95,-0.776,-0.862,-1.099,-0.892,-0.738,2
-1.12,-0.74,-0.807,-0.554,-0.681,-0.606,-0.415,-0.548,-0.903,-0.612,-0.506,2
-1.147,-0.621,-0.661,-0.602,-0.677,-0.607,-0.457,-0.574,-0.924,-0.575,-0.435,2
-1.133,-0.912,-0.915,-0.823,-1.039,-0.741,-0.59,-0.729,-1.056,-0.797,-0.701,2
-1.032,-0.761,-0.83,-0.781,-0.971,-0.68,-0.578,-0.675,-0.982,-0.658,-0.575,2
-1.174,-0.604,-0.641,-0.516,-0.625,-0.815,-0.659,-0.747,-0.958,-0.838,-0.698,2
-1.168,-0.907,-0.923,-0.74,-0.879,-0.758,-0.581,-0.725,-1.04,-0.798,-0.75,2
-1.032,-0.767,-0.772,-0.597,-0.658,-0.544,-0.393,-0.51,-0.865,-0.547,-0.458,2
-1.247,-0.694,-0.691,-0.75,-0.921,-0.9,-0.71,-0.804,-1.028,-0.789,-0.619,2
-1.098,-0.771,-0.808,-0.525,-0.638,-0.634,-0.486,-0.571,-0.877,-0.588,-0.508,2
-1.083,-0.551,-0.542,-0.558,-0.645,-0.703,-0.511,-0.639,-0.913,-0.703,-0.554,2
-1.055,-0.784,-0.87,-0.731,-0.914,-0.644,-0.54,-0.649,-0.97,-0.657,-0.618,2
-0.863,-0.778,-0.726,-0.599,-0.773,-0.586,-0.542,-0.636,-0.919,-0.559,-0.64,2
-1.061,-0.545,-0.639,-0.513,-0.537,-0.683,-0.564,-0.64,-0.887,-0.654,-0.582,2
-1.173,-0.411,-0.422,-0.605,-0.703,-0.638,-0.43,-0.57,-0.876,-0.559,-0.368,2
