@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,4,6-7,9,12-13,18,23-24,28,32-33,38,40-41'

@attribute A1 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A18 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A28 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.107,-0.492,-0.298,-0.682,-0.395,-0.718,-0.533,-0.603,-0.853,-0.7,-0.68,-0.692,-0.445,-0.457,-0.469,2
-1.362,-0.874,-0.64,-1.019,-0.765,-1.017,-0.83,-0.87,-1.031,-0.904,-0.862,-0.964,-0.788,-0.799,-0.833,2
-1.334,-0.6,-0.303,-0.802,-0.455,-0.893,-0.643,-0.697,-1.133,-0.974,-0.966,-0.877,-0.681,-0.726,-0.769,2
-1.192,-0.595,-0.406,-0.745,-0.513,-0.815,-0.66,-0.664,-0.886,-0.669,-0.685,-0.715,-0.499,-0.575,-0.622,2
-1.338,-0.741,-0.435,-0.896,-0.56,-0.927,-0.738,-0.748,-0.992,-0.857,-0.806,-0.889,-0.615,-0.659,-0.687,2
-1.148,-0.634,-0.462,-0.778,-0.609,-0.804,-0.797,-0.76,-1.074,-0.813,-0.843,-0.81,-0.739,-0.767,-0.867,2
-1.161,-0.508,-0.222,-0.664,-0.341,-0.692,-0.428,-0.521,-0.895,-0.683,-0.708,-0.752,-0.514,-0.599,-0.613,2
-1.097,-0.583,-0.408,-0.721,-0.545,-0.765,-0.723,-0.721,-0.978,-0.704,-0.705,-0.685,-0.646,-0.615,-0.713,2
-0.975,-0.483,-0.404,-0.614,-0.506,-0.694,-0.706,-0.717,-0.866,-0.59,-0.615,-0.557,-0.455,-0.465,-0.526,2
-1.218,-0.647,-0.426,-0.817,-0.557,-0.767,-0.739,-0.709,-1.095,-0.85,-0.838,-0.842,-0.782,-0.713,-0.795,2
-1.135,-0.528,-0.264,-0.679,-0.424,-0.783,-0.623,-0.693,-0.977,-0.761,-0.786,-0.664,-0.553,-0.579,-0.602,2
-1.224,-0.64,-0.445,-0.802,-0.546,-0.871,-0.718,-0.739,-0.956,-0.695,-0.736,-0.797,-0.608,-0.656,-0.654,2
-1.162,-0.589,-0.423,-0.737,-0.49,-0.802,-0.599,-0.692,-0.979,-0.714,-0.744,-0.742,-0.595,-0.632,-0.663,2
-1.258,-0.535,-0.23,-0.708,-0.361,-0.75,-0.474,-0.531,-0.916,-0.769,-0.73,-0.799,-0.524,-0.597,-0.598,2
-1.258,-0.601,-0.373,-0.78,-0.453,-0.89,-0.694,-0.738,-0.972,-0.785,-0.753,-0.742,-0.47,-0.558,-0.572,2
-1.364,-0.846,-0.611,-0.983,-0.74,-0.991,-0.838,-0.853,-0.985,-0.85,-0.81,-0.896,-0.738,-0.743,-0.8,2
-1.02,-0.446,-0.317,-0.604,-0.433,-0.655,-0.563,-0.606,-0.825,-0.511,-0.54,-0.54,-0.303,-0.43,-0.457,2
-1.172,-0.567,-0.386,-0.736,-0.489,-0.797,-0.614,-0.647,-0.932,-0.594,-0.647,-0.69,-0.499,-0.552,-0.529,2
-1.142,-0.493,-0.261,-0.672,-0.428,-0.761,-0.652,-0.701,-0.939,-0.723,-0.725,-0.671,-0.462,-0.513,-0.491,2
-1.135,-0.531,-0.297,-0.686,-0.412,-0.704,-0.561,-0.596,-0.941,-0.661,-0.694,-0.734,-0.621,-0.632,-0.68,2
-1.104,-0.511,-0.279,-0.672,-0.428,-0.746,-0.584,-0.651,-0.943,-0.733,-0.747,-0.674,-0.553,-0.592,-0.611,2
-0.805,-0.549,-0.538,-0.646,-0.587,-0.651,-0.703,-0.789,-0.886,-0.569,-0.65,-0.588,-0.462,-0.567,-0.62,2
-1.384,-0.885,-0.63,-1.025,-0.769,-0.975,-0.772,-0.792,-1.002,-0.836,-0.796,-0.965,-0.854,-0.851,-0.906,2
-1.265,-0.791,-0.577,-0.916,-0.676,-0.994,-0.935,-0.93,-1.074,-0.908,-0.893,-0.846,-0.672,-0.688,-0.733,2
-1.29,-0.768,-0.539,-0.92,-0.651,-0.942,-0.864,-0.856,-1.109,-0.975,-0.958,-0.901,-0.726,-0.728,-0.798,2
-1.287,-0.737,-0.536,-0.893,-0.634,-0.862,-0.853,-0.807,-1.16,-0.947,-0.947,-0.919,-0.822,-0.798,-0.87,2
-1.113,-0.598,-0.375,-0.742,-0.484,-0.749,-0.556,-0.636,-0.866,-0.661,-0.673,-0.706,-0.501,-0.552,-0.6,2
-1.066,-0.46,-0.303,-0.615,-0.422,-0.688,-0.585,-0.65,-0.914,-0.605,-0.62,-0.635,-0.478,-0.507,-0.475,2
-1.131,-0.453,-0.295,-0.632,-0.432,-0.714,-0.558,-0.632,-0.893,-0.61,-0.633,-0.59,-0.382,-0.464,-0.461,2
-1.072,-0.499,-0.34,-0.668,-0.452,-0.77,-0.605,-0.698,-0.925,-0.705,-0.697,-0.652,-0.465,-0.571,-0.651,2
-1.05,-0.416,-0.28,-0.59,-0.385,-0.661,-0.585,-0.608,-0.801,-0.493,-0.508,-0.522,-0.242,-0.353,-0.345,2
-1.224,-0.715,-0.505,-0.858,-0.615,-0.834,-0.702,-0.703,-0.937,-0.713,-0.722,-0.818,-0.622,-0.689,-0.732,2
-1.19,-0.729,-0.605,-0.852,-0.688,-0.843,-0.825,-0.766,-1.026,-0.814,-0.847,-0.87,-0.779,-0.803,-0.898,2
-1.373,-0.873,-0.654,-1.017,-0.757,-1.067,-0.907,-0.957,-1.129,-0.926,-0.933,-0.935,-0.8,-0.772,-0.845,2
-1.087,-0.54,-0.41,-0.656,-0.461,-0.728,-0.493,-0.637,-0.956,-0.75,-0.735,-0.708,-0.497,-0.634,-0.661,2
-1.136,-0.54,-0.36,-0.702,-0.515,-0.814,-0.811,-0.789,-1.04,-0.778,-0.796,-0.662,-0.526,-0.545,-0.591,2
-0.874,-0.583,-0.522,-0.64,-0.548,-0.678,-0.761,-0.766,-0.953,-0.615,-0.707,-0.648,-0.488,-0.674,-0.739,2
-1.029,-0.511,-0.359,-0.673,-0.484,-0.722,-0.671,-0.698,-1.043,-0.651,-0.736,-0.645,-0.573,-0.528,-0.6,2
-1.099,-0.608,-0.464,-0.721,-0.566,-0.856,-0.859,-0.819,-1.077,-0.724,-0.721,-0.666,-0.633,-0.569,-0.671,2
-1.239,-0.753,-0.537,-0.882,-0.645,-0.947,-0.9,-0.876,-1.049,-0.82,-0.815,-0.802,-0.675,-0.654,-0.726,2
-1.1,-0.455,-0.264,-0.642,-0.401,-0.705,-0.655,-0.676,-0.965,-0.69,-0.749,-0.675,-0.543,-0.581,-0.643,2
-1.182,-0.707,-0.536,-0.84,-0.644,-0.849,-0.773,-0.76,-1.047,-0.747,-0.774,-0.781,-0.712,-0.699,-0.747,2
-1.114,-0.642,-0.463,-0.774,-0.569,-0.825,-0.752,-0.773,-1.044,-0.763,-0.788,-0.707,-0.684,-0.618,-0.726,2
-1.167,-0.651,-0.422,-0.799,-0.536,-0.832,-0.744,-0.774,-1.086,-0.826,-0.842,-0.782,-0.648,-0.702,-0.752,2
-0.846,-0.389,-0.278,-0.498,-0.345,-0.568,-0.62,-0.602,-0.818,-0.517,-0.556,-0.512,-0.374,-0.486,-0.492,2
-1.037,-0.504,-0.371,-0.654,-0.53,-0.719,-0.647,-0.687,-1.009,-0.719,-0.74,-0.664,-0.631,-0.618,-0.703,2
-0.929,-0.639,-0.557,-0.779,-0.646,-0.715,-0.674,-0.773,-0.888,-0.66,-0.703,-0.665,-0.513,-0.557,-0.61,2
-1.173,-0.577,-0.383,-0.736,-0.497,-0.811,-0.643,-0.694,-0.98,-0.669,-0.715,-0.707,-0.504,-0.596,-0.591,2
-1.125,-0.472,-0.271,-0.678,-0.434,-0.731,-0.638,-0.639,-0.903,-0.646,-0.646,-0.631,-0.39,-0.479,-0.499,2
-1.065,-0.604,-0.512,-0.743,-0.624,-0.803,-0.777,-0.807,-1.011,-0.724,-0.763,-0.676,-0.68,-0.635,-0.764,2
-1.092,-0.317,-0.026,-0.514,-0.268,-0.459,-0.243,-0.346,-0.716,-0.585,-0.534,-0.711,-0.612,-0.619,-0.613,3
-1.28,-0.554,-0.271,-0.784,-0.442,-0.816,-0.501,-0.608,-1.014,-0.951,-0.899,-0.921,-0.758,-0.786,-0.808,3
