@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,12-13,16-18,21'

@attribute A1 numeric
@attribute A2 numeric
@attribute A7 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-1.2036,-2.624,1.0008,-1.1223,-0.1817,-1.422,0.1983,-3.0514,1
-0.1027,-0.7236,-0.7337,-0.0449,1.0685,1.2622,-0.0672,-0.5987,1
-1.9511,0.2898,-0.307,-1.9158,-1.0668,-1.3164,0.1256,-3.0595,1
-1.2737,1.3905,-0.4717,1.0078,0.886,0.9833,1.5308,0.2589,0
0.9371,0.0505,0.1197,-1.3011,-3.331,-0.4879,-0.2041,-0.2326,1
-1.134,0.7671,0.7383,0.2923,-0.8487,-0.9189,0.5534,-0.162,0
1.6957,-0.208,0.9908,1.3764,2.0868,2.0777,0.3347,0.2534,0
-1.0159,-0.273,1.881,0.2616,0.6503,-0.8466,0.8276,0.3924,0
0.03,0.5066,1.4073,0.8613,0.5388,1.2017,0.2483,1.9971,0
-0.2051,2.1656,-0.9808,-0.3746,1.0041,-1.0644,0.9142,0.5791,1
-1.2778,-1.0134,-2.2128,-1.4099,0.0912,-0.8715,-0.6157,-0.3742,1
-1.2032,0.9064,0.3064,-0.3957,0.5326,-0.8453,1.3188,1.0552,0
0.2695,1.2942,-1.7243,-2.2152,-1.2691,-0.2536,-1.1754,1.2332,1
1.0772,1.7659,-1.9988,1.8876,-1.8072,0.0612,-0.7593,-0.2851,1
-1.5949,-1.0319,-0.1645,-0.8419,-0.0066,-0.9653,0.0828,1.417,1
-0.4755,-1.6219,0.0378,-1.7074,-0.9979,-1.3966,-1.9899,-1.019,1
-0.6612,-0.6629,-0.5078,0.904,1.1787,0.2639,-0.7416,-0.1682,0
1.8141,1.9258,-1.3272,1.0476,-0.5938,1.9243,0.8797,-2.3918,1
-1.1147,-2.3468,-1.3694,0.3422,-0.3,0.7548,-0.9565,0.2846,1
0.1638,-2.2569,-1.8781,-0.7593,-1.2052,-0.6576,-0.7364,0.077,1
0.9772,-0.7061,0.5918,1.0366,0.5834,0.3032,-0.0196,-0.3321,0
1.267,-2.2921,-1.2923,0.6116,0.5991,0.5637,0.089,-0.5622,1
1.1008,-0.5485,0.2884,-1.8834,1.9491,0.6495,0.1816,-0.2569,0
-0.8408,-1.8066,-0.5177,-1.1765,1.116,-1.0096,0.8555,-0.9567,1
0.707,0.3436,1.3225,0.9179,1.4803,0.6707,0.9503,0.8585,0
1.1594,0.9592,1.371,1.5864,-1.0948,-1.0251,1.3223,0.5934,0
-0.0663,0.1215,0.1096,-0.8394,-0.8721,0.063,-0.4256,-0.8087,1
0.2847,1.1729,-0.0747,2.7323,0.8962,1.2275,-0.0922,0.1975,0
-0.5726,-1.1141,0.9958,1.2302,0.1975,-0.1271,0.9687,0.4915,0
1.3489,-1.2614,-1.583,-0.551,0.6103,-0.0364,-3.4766,-0.925,1
1.2452,0.1094,0.9724,0.7891,0.2519,-0.7223,-0.3598,1.1985,0
-0.9136,2.6479,0.3633,-1.4085,-0.1202,0.8756,-0.4915,0.2165,1
0.9108,0.566,0.4692,0.6941,-0.6897,-0.5618,-1.9116,-0.769,1
0.6886,0.1401,-0.6138,-0.8169,-0.3072,-0.1301,-1.2657,0.0405,1
-0.2434,-2.3182,-0.0266,-1.8316,-2.4294,0.1648,-0.898,-1.1273,1
1.8738,0.3678,-0.0733,0.0366,0.4276,0.6776,-0.2729,1.5511,0
0.0675,1.8497,2.954,-0.0752,0.6614,0.5796,1.1287,1.035,0
-1.7216,0.6613,0.3063,1.7389,0.153,1.5807,-0.9541,-0.69,0
0.6355,-0.0379,-1.7116,-0.7061,1.112,0.5483,0.4659,-0.0343,1
0.6011,-1.1998,0.6493,-0.205,-0.5264,-1.7075,-1.1806,1.834,1
-1.0365,0.6558,0.1693,-0.2519,-1.5212,0.3651,0.0619,-1.7219,1
0.8288,0.292,-0.3767,1.7991,-1.1672,-0.4509,1.2239,-0.3085,0
1.0912,-1.6286,-0.1285,-1.5987,-0.27,-0.9501,-0.7168,0.2083,1
1.3218,-0.7824,-0.8779,0.1832,0.4985,2.6749,1.2041,0.3662,0
-1.1195,1.2836,1.1741,3.449,-0.3472,0.8902,1.4679,-0.9377,0
-1.2104,-2.5253,-2.4561,0.0984,-0.2519,-0.5453,0.9785,-0.4809,1
-0.9387,-0.5473,-1.1666,-0.4691,-0.522,0.6627,-0.8564,-2.4885,1
1.0072,0.8049,1.2381,3.194,1.5143,0.3878,-0.5687,1.1701,0
1.4604,-0.6365,0.1518,0.4311,1.2022,2.2283,1.2685,1.7586,0
-1.6617,-0.4523,-0.4973,0.241,-0.6292,0.3444,-0.4274,-1.5529,1
-0.8239,-1.092,-0.8968,-0.2723,-0.6764,-1.6952,-0.4273,-1.1513,1
0.2806,-0.237,-0.7686,-0.1881,-0.9503,-1.7709,-0.3553,-0.2446,1
