@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R6-7,10-11,14,17-21'

@attribute A6 numeric
@attribute A7 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.225,-0.6401,1.1263,0.5076,-1.8475,-1.7109,-1.2593,-1.508,0.7579,1
-0.2054,1.0827,1.1018,-2.3184,0.1904,-1.015,-1.2867,-0.192,0.3759,1
-0.6476,0.7213,2.4296,-1.1987,2.4175,0.253,0.1893,0.8597,-0.2967,0
-0.9874,1.5866,-0.5752,2.3094,0.6058,1.0751,-0.0934,1.0898,-0.1355,0
1.1151,0.9251,1.3108,0.4829,0.6158,-1.6729,0.7613,0.9569,0.6351,0
0.4081,-0.7093,-0.4637,-0.1233,0.4296,0.004,-0.1008,-2.0542,-0.3582,1
-0.1489,-0.3223,0.0529,-1.0591,1.1313,0.7367,-2.0777,-0.4424,-1.1819,1
2.5144,-1.5423,-2.0758,1.1121,-0.9685,0.0965,0.3261,-0.1671,-0.9463,0
0.232,0.1866,0.6817,-0.6525,-0.0589,1.4156,1.017,1.4432,2.0929,0
1.0398,1.9815,0.0298,0.4328,-0.9396,0.6262,0.1847,0.8019,1.3511,0
1.0386,2.998,-0.3369,-0.407,1.7855,1.9589,1.1795,0.1345,-0.9288,0
0.9986,0.2618,0.8729,-1.2779,1.1234,-0.7069,-0.1143,1.3112,0.3307,0
1.348,0.9546,1.5494,0.2697,0.3191,1.2678,1.3558,-0.8568,-0.5047,0
0.6369,1.9813,-1.9398,-0.5852,0.4375,0.3044,-1.1176,-1.7232,-0.4082,0
-0.331,-0.2016,0.3129,0.4865,-0.8032,0.1737,-1.1898,-1.0152,-0.2682,1
2.2776,1.3658,0.6712,0.1314,2.1594,-0.217,0.3295,0.6464,0.1068,0
0.5765,-0.202,0.8069,-1.2094,0.2822,-0.7039,-0.537,-1.2265,-0.8115,1
0.5372,-2.9487,0.3396,-2.067,-1.2427,-0.5954,-1.22,-1.9281,-0.9898,1
-0.0023,-1.8407,-1.0955,1.1864,1.3926,0.7231,-0.6497,-0.8962,0.7779,0
0.0341,0.353,-1.3386,-0.1382,-1.6584,-1.3031,0.2995,-0.3515,-0.4955,1
0.4955,-0.6505,-0.1906,-0.3128,1.8578,1.0097,1.3302,-0.6467,-0.2218,0
0.6722,-0.7652,0.9934,0.9477,-0.1832,0.6638,0.5542,-0.1303,-0.2279,0
0.6085,0.2943,0.1017,-0.2682,1.2005,0.4568,1.4992,0.9347,2.2431,0
-0.9684,0.1783,-1.8503,1.583,0.17,-2.4868,0.015,-1.6148,-0.8917,1
1.4184,2.1515,-0.2866,0.9656,0.7345,-0.3795,2.0225,0.7305,-0.2938,0
-0.5466,0.703,0.4504,-0.7889,-0.1897,2.101,-1.5142,-1.2944,-0.4491,0
0.2074,-0.49,-0.7206,-1.6567,-1.9957,-0.611,-0.9211,1.1585,0.3019,1
1.3141,0.9768,-1.049,2.5537,2.0452,0.8259,0.7571,0.4957,3.2907,0
-2.3256,-0.1259,0.4138,-0.0539,0.636,1.4296,0.213,0.8026,0.7032,0
-0.3652,-1.8501,-0.4957,1.116,1.0285,-0.2825,1.1889,0.716,2.2667,0
-1.8711,0.3122,-0.6433,-0.5304,-0.2384,-0.5813,0.248,0.5008,0.3725,0
0.6354,1.4576,-0.895,0.1872,-0.3834,0.6427,1.0755,0.7042,1.427,0
-0.0068,-0.6497,-1.6345,2.0961,0.5179,2.5643,2.5943,-1.2635,1.3307,0
-1.048,0.7055,0.7809,0.8695,0.2631,-0.0054,-0.1104,0.1053,0.6664,0
0.8135,2.4391,0.4866,0.8263,1.3856,0.6027,1.4015,0.2057,0.4009,0
2.104,1.3712,0.0709,0.388,1.2309,0.3456,1.965,1.4087,-0.0401,0
1.056,0.1175,0.99,0.7121,-1.3447,-0.476,0.5774,-0.1711,0.7837,0
-0.049,-1.6608,0.1854,-1.1098,0.2277,-0.1443,1.2722,0.2207,-0.767,1
-0.0476,-0.0511,0.4474,1.1406,0.5263,0.5366,0.4397,-0.669,0.2949,0
-1.0167,-0.4536,-0.9138,1.0284,-0.1131,-0.1774,-1.4964,-2.0385,-0.1433,1
0.1606,-0.0042,1.2263,-0.7685,-0.1927,1.9443,-0.7361,0.3391,1.2917,0
-0.6872,0.6326,-1.1095,1.0127,0.9371,-0.535,1.6001,-0.2123,-0.4059,0
1.1166,-0.4101,0.56,1.9007,-0.1178,0.1371,-0.0779,-0.1988,1.5827,0
0.3538,-1.9134,-0.0715,-0.7047,1.2835,0.446,0.5454,-0.7938,0.3784,1
-0.3017,0.8977,-0.1199,1.2288,-0.0837,-0.1169,-0.7924,1.1573,0.3552,0
-2.5469,-0.0813,0.188,1.4168,-0.4614,-0.7168,-2.3881,-0.5362,-0.5829,1
-0.0805,1.8708,1.1759,-0.6539,0.9129,-0.0566,-1.6077,-0.374,-1.2913,0
