@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,5,9-12,15,19,21'

@attribute A1 numeric
@attribute A5 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-2.2536,-0.4197,1.1957,-1.1959,0.8036,-0.3695,-1.4248,-2.1115,1
-1.6069,0.5136,-1.3866,0.6882,0.0733,-0.6756,0.5174,-0.9143,1
0.6064,1.2736,-0.0215,0.6421,0.1771,1.237,0.3027,0.6215,0
-0.9313,-1.9822,-2.6886,-0.3731,-2.2315,-0.5451,1.5248,0.7456,1
1.8561,0.6757,0.265,0.7368,-1.3002,1.3614,0.6862,-1.0534,0
0.1241,2.2805,-0.6639,0.0069,1.2614,-1.4489,1.8962,-0.6154,0
-2.1566,-0.445,0.5435,0.3221,1.6373,-1.3819,0.6218,-0.8792,0
-0.8092,-0.2817,-1.0204,0.0769,-0.6905,-0.0572,-0.1335,-1.811,1
1.0225,-1.4622,-0.8124,-1.0681,-0.7973,0.9472,-1.2326,0.2823,1
-0.1729,-0.0091,-1.1443,-0.0992,-1.2674,-0.8211,-0.8052,-0.1663,1
-0.0734,1.2298,1.123,-1.0139,2.6143,2.5188,1.0412,-0.8648,0
-1.1134,-0.9635,0.0752,1.3852,-1.0737,0.505,-0.2854,-0.4187,1
0.6104,1.2865,-0.0644,0.5,1.0003,-0.2123,0.4544,-0.5185,0
1.6395,2.7722,-0.3212,0.8893,0.3716,2.5541,0.4381,0.6567,0
-1.4195,-0.72,-1.0219,-1.336,1.7125,0.0774,-2.0058,-1.7355,1
0.0598,-0.6614,-1.4889,-1.2476,1.3364,-0.6003,-0.7274,0.1946,1
1.164,1.0715,1.0727,-0.1402,1.202,0.0051,-0.2513,-0.3236,0
-0.682,-1.348,-0.6876,-0.6247,-1.2434,-1.8939,-2.3485,-0.4486,1
-2.768,-2.217,0.3134,-1.2022,-0.6023,-2.4223,-0.6066,-0.425,1
-0.1313,0.8739,1.143,0.4874,-0.4678,-0.7115,-0.0103,0.2147,0
-0.9831,0.382,0.5818,-1.9209,-0.6255,0.2231,-0.0351,-0.8185,1
-0.9064,-1.2025,-0.6327,-0.6961,-0.3072,0.2209,-0.9098,0.1015,1
1.1143,-0.576,-1.4,0.9817,-1.2032,-1.3495,-1.3148,-0.1463,1
1.9773,0.3769,2.0634,-0.4117,-0.4107,0.9061,1.9886,-0.6636,0
-0.4318,2.4869,-0.3995,-0.7298,0.8028,0.8902,0.2964,-0.7491,0
-1.0009,-1.0919,-0.6947,-0.4843,-1.5819,0.0787,-0.8102,-2.1876,1
1.1022,5.6395,-0.4854,-1.4027,2.4607,0.7671,1.851,2.1,0
-1.1138,-0.6645,-1.5915,0.0089,-1.0339,-0.3488,0.8641,-1.0981,1
-0.1762,-0.8042,1.709,-0.741,0.2994,-0.002,1.5289,-0.3613,0
-2.326,0.5697,-0.5006,-0.0771,-0.4194,1.0936,0.3718,-0.6972,1
0.8146,-0.1638,-1.7442,0.2629,0.8522,-3.8262,-0.2814,-0.1918,1
1.4152,0.2761,-1.1714,-1.2367,-0.2984,0.3227,0.3058,-0.967,1
0.7361,1.4663,1.4052,-1.514,2.3133,0.6063,-0.0828,0.3164,0
-1.5268,-0.4712,-0.4307,-0.8064,-0.3289,0.9054,0.4729,-0.2037,1
0.1261,-0.0793,-0.1682,2.8024,-0.5534,0.7606,2.9123,1.3819,0
-0.373,1.2919,0.946,0.766,-0.7409,-0.1201,3.2835,0.6078,0
-1.8293,-1.5501,-0.8447,0.5863,-0.0956,-0.1996,-0.9491,1.2809,1
-0.3873,-1.191,-0.5408,1.0102,-0.601,-0.5281,-0.1637,1.8193,1
0.1909,1.1138,0.0192,0.4498,-0.9937,-1.9774,-1.543,0.1119,1
-0.6064,1.7573,-0.2097,0.8484,1.1498,-0.2483,1.2657,1.184,0
-0.1525,1.3525,0.9692,-1.1189,0.0676,-0.311,-0.0784,-2.1668,1
0.7841,0.6967,0.4374,0.0769,0.7161,1.4133,0.9228,1.426,0
-2.1337,0.397,0.6002,0.0664,0.6106,-0.5676,1.2322,0.1027,0
-0.8911,-0.8027,-0.4635,0.4698,1.799,1.6202,1.911,0.1937,0
2.1261,2.7055,-0.3103,0.6154,1.3974,0.7358,0.17,1.6025,0
1.0136,0.6891,0.3898,-0.2726,0.5226,1.9428,2.1559,0.2467,0
-0.0372,0.3574,-0.2802,0.7781,-0.6128,-1.0334,0.4086,0.5207,1
1.1249,1.5452,1.4742,0.2011,2.0743,1.1725,0.667,-1.0182,0
0.0909,0.518,-0.1948,0.8672,1.8585,0.3143,0.1948,0.7437,0
0.55,0.5,-0.4233,-1.0499,0.3,0.6705,0.6264,-0.9355,1
-0.3884,1.5124,-0.5911,0.0478,1.0255,-0.5281,1.0591,1.214,0
1.7548,0.5232,-0.5378,1.5553,2.5486,0.1401,0.9821,0.6115,0
-0.1456,1.2608,-0.3212,1.5534,-0.5349,-0.7708,0.4692,0.5105,0
0.0665,-1.0213,-1.8399,0.9677,-0.7269,-0.2859,-2.0459,1.5529,1
-1.942,0.2654,0.6154,-1.5892,0.3401,-0.5098,-0.2338,0.165,1
-0.1505,-1.9617,0.4048,0.0043,0.8651,1.212,-1.9167,-0.7482,1
0.4781,-0.8802,-0.7898,-1.3402,0.3833,-0.3872,-0.681,1.2644,1
0.8626,-0.0008,0.9473,1.714,0.1441,-0.1168,1.0696,-0.9877,0
-0.8474,-2.9144,0.9703,0.7991,1.5531,-1.481,-0.1749,-1.11,1
0.4285,1.4165,-1.5165,0.8712,0.6047,-0.0492,-0.5817,0.7617,1
2.7138,0.6799,0.8006,2.4674,1.3585,0.6892,-0.9396,-0.1545,0
0.2669,1.3862,0.6571,0.9071,-1.9265,0.283,-0.6317,-1.2155,1
-0.9058,0.2476,-0.6288,-0.637,0.9099,1.137,0.2576,-0.5882,1
0.5888,0.4761,0.0749,0.6444,0.9791,-1.7152,0.5574,0.1257,0
-1.306,-0.0624,-1.3701,-0.3915,-0.283,-1.9685,-0.5109,-1.276,1
-0.5039,0.9394,1.1825,-1.0412,0.1782,-0.0313,0.5105,0.4118,0
2.3219,0.2503,1.9958,-0.3934,-0.0238,2.0636,-0.7583,1.6497,0
0.3085,1.3858,-1.8682,-1.0019,-0.0545,0.4075,0.0955,-2.1991,1
1.3991,0.71,-0.876,-0.9228,1.2686,-0.359,0.4068,-0.1949,0
-0.4981,1.8944,-0.1668,0.5088,1.3095,0.0609,-0.363,-0.9588,0
-0.3847,0.4736,0.2617,-0.9543,0.9005,0.1253,-0.8439,-0.1066,1
0.053,1.7411,0.2119,0.3655,0.2323,1.1596,0.1929,-0.8609,0
-0.1066,0.6966,-0.8874,0.4444,-0.3378,-0.2247,0.1096,0.5078,0
-0.4474,0.1007,-0.1868,1.2594,0.509,1.1818,-1.6706,-0.3685,0
-0.8585,2.2837,1.5387,1.6018,-1.6509,0.512,-0.024,-0.823,1
-1.7207,-1.1975,-0.6178,-0.2338,-0.0239,-0.8975,-0.6869,-2.6056,1
0.8001,0.273,0.0099,-0.0799,-0.0458,2.1432,0.2275,0.8253,0
2.1531,1.03,0.3187,1.0297,0.5406,-0.5954,1.1576,0.8089,0
0.3092,-0.6831,-1.542,-0.4626,-0.9922,-0.4001,-2.0475,-1.0563,1
0.7527,-0.2825,-1.1981,1.444,-1.3519,-1.1946,0.2415,-0.9374,1
0.2156,1.7413,-0.5884,-0.7937,0.3142,0.1803,-1.0245,0.1166,0
1.2125,-1.1234,-1.6753,1.4988,-0.3862,-1.3023,0.8311,-0.9976,1
1.074,-1.7254,-1.282,-1.1978,0.4427,-0.311,-0.666,2.8328,1
-0.6466,-0.4343,-0.4722,0.186,2.5038,-0.4339,1.5884,0.8726,0
1.4812,-0.1622,-0.3656,0.1038,1.7503,1.1043,-0.7951,0.5789,0
-1.4586,-1.3366,-0.1101,0.8814,0.2961,0.1416,-1.4267,-2.3699,1
