@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,8-9,16-17,21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute Class {0,1}

@data
-1.2036,0.5963,1.3859,-1.3597,-0.9589,-1.3487,-1.422,0.1983,1
-0.1027,-1.7199,-0.1783,-1.3352,0.0451,-0.7099,1.2622,-0.0672,1
-1.9511,-0.9682,-0.9885,-0.6495,0.3553,-0.2402,-1.3164,0.1256,1
-1.2737,-0.4411,0.4517,-1.4507,0.7053,1.3503,0.9833,1.5308,0
0.9371,-0.8895,-0.7496,0.0076,-0.003,-0.7758,-0.4879,-0.2041,1
-1.134,1.5234,-2.0327,-0.2262,0.9001,1.0131,-0.9189,0.5534,0
1.6957,0.7636,0.5256,-0.2174,-0.728,0.0782,2.0777,0.3347,0
-1.0159,-1.1604,0.5086,-0.3406,1.409,0.2265,-0.8466,0.8276,0
0.03,-0.0286,0.8808,1.0264,-0.1765,1.7045,1.2017,0.2483,0
-0.2051,-1.4042,0.0556,0.1495,-0.6879,-0.4347,-1.0644,0.9142,1
-1.2778,-1.967,-0.2728,1.0498,1.6388,1.6427,-0.8715,-0.6157,1
-1.2032,-1.1301,1.5268,-0.9889,-0.2133,2.837,-0.8453,1.3188,0
0.2695,-0.0913,-1.1854,-0.3612,-2.5025,0.278,-0.2536,-1.1754,1
1.0772,0.2379,1.0911,-2.612,-0.375,-1.1374,0.0612,-0.7593,1
-1.5949,-1.5515,-2.1611,0.5365,-1.0763,-0.0894,-0.9653,0.0828,1
-0.4755,-1.8902,-0.8604,0.9495,-0.8273,-0.2135,-1.3966,-1.9899,1
-0.6612,0.5305,-1.2897,1.8863,-1.7047,1.2283,0.2639,-0.7416,0
1.8141,-0.751,-0.9516,0.5169,0.8548,-0.9394,1.9243,0.8797,1
-1.1147,1.1849,-1.7081,-0.0482,0.8897,0.8392,0.7548,-0.9565,1
0.1638,-2.4675,-0.0783,-0.3776,1.9108,-1.816,-0.6576,-0.7364,1
0.9772,0.8314,1.208,0.0586,-0.7369,0.5652,0.3032,-0.0196,0
1.267,0.5144,-1.3689,-0.8694,-1.0114,0.1207,0.5637,0.089,1
1.1008,1.264,1.7771,1.2831,1.0673,-1.2148,0.6495,0.1816,0
-0.8408,-2.0271,-0.5525,0.6896,-0.814,-0.604,-1.0096,0.8555,1
0.707,-1.8499,-1.3462,-1.8147,0.3079,0.1613,0.6707,0.9503,0
1.1594,0.0453,-0.3541,-0.7683,-0.2204,-1.0056,-1.0251,1.3223,0
-0.0663,0.2252,0.2268,-1.084,0.8989,-0.7584,0.063,-0.4256,1
0.2847,0.748,1.8493,0.3113,-1.0265,1.9416,1.2275,-0.0922,0
-0.5726,3.0907,0.2483,0.9524,1.9477,0.4025,-0.1271,0.9687,0
1.3489,-0.4825,0.808,0.181,1.0608,-0.9012,-0.0364,-3.4766,1
1.2452,-1.1868,1.1947,-0.544,0.3235,1.5897,-0.7223,-0.3598,0
-0.9136,-1.5462,-2.0721,-1.4574,0.9615,0.8103,0.8756,-0.4915,1
0.9108,-0.0263,-0.745,-0.9156,-0.6264,-2.7157,-0.5618,-1.9116,1
0.6886,-1.0683,-1.663,1.6313,-0.7679,-0.124,-0.1301,-1.2657,1
-0.2434,-0.072,-1.5655,-2.3623,-0.1547,0.568,0.1648,-0.898,1
1.8738,1.3938,-0.6509,0.1999,1.1929,2.6599,0.6776,-0.2729,0
0.0675,-0.6132,-0.1327,0.4871,-0.6533,0.4678,0.5796,1.1287,0
-1.7216,1.0977,-0.0687,0.1134,0.3683,0.7555,1.5807,-0.9541,0
0.6355,-0.3751,1.0913,-0.9152,0.1713,0.3564,0.5483,0.4659,1
0.6011,-0.4851,-1.7008,-0.5269,-1.941,-2.0929,-1.7075,-1.1806,1
-1.0365,-0.0143,-0.7657,-0.1969,-1.3053,-0.2738,0.3651,0.0619,1
0.8288,1.0088,-0.0342,1.4583,0.4506,-0.6022,-0.4509,1.2239,0
1.0912,-1.9667,0.9135,-1.761,-2.1269,-0.5958,-0.9501,-0.7168,1
1.3218,0.7345,0.5739,1.0506,0.4276,1.1094,2.6749,1.2041,0
-1.1195,1.2729,2.131,-0.3164,-0.2478,0.5291,0.8902,1.4679,0
-1.2104,-0.5406,0.6488,1.2627,-0.1355,-1.381,-0.5453,0.9785,1
