@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R5-6,8,10-11,13,15,19,21'

@attribute A5 numeric
@attribute A6 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
1.4626,1.3269,1.1206,1.2063,2.6698,-0.1471,1.1777,-0.0444,0
1.1393,1.3568,1.1374,0.4421,2.9961,0.8809,-0.008,-0.1082,0
0.5017,1.8559,-0.2945,0.1215,0.7229,-1.1217,2.1693,1.5884,0
-0.3089,0.4473,-0.2317,-0.0415,-0.1243,-0.3289,0.2592,0.5152,0
0.3199,1.0126,-2.9514,-1.082,-0.8306,0.2734,-1.1299,0.7432,1
-0.3746,0.8844,0.172,-1.231,-0.5063,0.9923,2.1898,1.3896,1
-0.4873,0.1422,1.0615,-0.471,-0.4662,-1.0808,-0.4424,-0.4497,1
-1.6006,0.0369,-0.4134,0.3477,-0.3386,1.0322,-0.8697,0.6414,0
0.9435,2.2654,1.0328,-0.6274,2.1326,2.4293,2.2536,1.4979,0
-0.203,-1.3212,0.3982,-0.318,0.5854,-1.3474,-0.0622,-0.3378,1
2.2131,0.5785,1.0952,1.1389,0.9205,-0.9167,-0.5116,-0.4568,0
0.3684,-1.8503,1.2725,0.5118,-0.1847,-0.2866,1.8638,-0.4043,0
2.3323,-0.0022,-0.1851,0.5089,1.5797,0.589,1.338,0.7933,0
0.0249,1.2136,2.8854,1.8004,1.9098,-1.0625,0.8662,1.803,0
-2.0025,-0.3425,-0.2403,-0.4794,-0.7267,-0.8705,1.5294,-0.5028,0
1.5099,-0.304,0.7476,0.1958,-2.2203,0.072,0.109,-0.7404,0
0.4677,-2.0672,-1.2514,-1.5498,0.269,-1.56,-0.946,-0.6312,1
-0.2422,1.3813,-0.2706,1.2669,-0.008,-1.488,1.792,0.2997,0
1.6947,-2.0127,2.0138,2.5008,-0.8319,2.6295,-1.0794,1.0551,0
