@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
36,64,165,18,van
48,87,162,20,van
46,76,162,20,van
47,85,149,19,van
36,53,117,17,van
37,70,150,18,van
39,57,114,18,van
49,87,159,20,van
43,78,162,18,van
46,91,175,20,van
48,84,150,20,van
47,85,333,19,van
37,49,112,17,van
45,73,167,18,van
40,55,114,18,van
42,64,151,18,van
47,84,133,20,van
35,44,110,17,van
39,76,155,18,van
48,75,136,20,van
39,68,121,18,van
38,70,160,18,van
47,81,147,20,van
46,92,159,20,van
45,85,160,20,van
35,70,138,17,van
40,73,139,18,van
36,51,115,17,van
42,70,131,18,van
39,58,125,17,van
43,85,160,19,van
46,85,164,20,van
34,58,140,18,van
43,70,133,18,van
44,85,139,20,van
37,62,113,17,van
47,73,136,20,van
43,70,250,18,van
49,85,141,20,van
40,60,131,17,van
39,68,119,18,van
44,78,164,18,van
46,74,135,20,van
42,64,158,18,van
47,85,163,20,van
46,78,148,19,van
43,72,157,18,van
42,64,150,18,van
44,85,166,19,van
43,85,133,19,van
47,85,147,19,van
46,80,143,20,van
46,88,160,19,van
41,79,159,19,van
40,79,154,19,van
38,76,143,18,van
45,71,150,19,van
44,78,160,18,van
47,80,131,20,van
42,85,144,19,van
40,81,162,19,van
45,88,173,20,van
45,66,139,18,van
41,82,159,19,van
39,60,140,17,van
38,66,130,18,van
37,72,146,18,van
47,85,161,19,van
41,62,133,18,van
38,66,126,18,van
39,58,117,18,van
47,85,145,19,van
50,84,138,20,van
43,76,142,19,van
41,82,170,19,van
48,78,134,20,van
38,60,130,17,van
46,84,163,20,van
48,83,178,20,van
48,81,144,19,van
39,77,153,18,van
35,66,147,18,van
36,68,127,18,van
42,64,150,18,van
44,66,151,18,van
39,77,160,18,van
37,51,111,17,van
39,57,126,17,van
46,85,169,19,van
37,52,116,17,van
41,63,134,17,van
39,82,164,19,van
38,74,138,18,van
40,59,116,18,van
37,68,145,18,van
46,77,125,20,van
42,63,144,18,van
45,81,166,19,van
48,86,306,19,van
40,70,120,18,van
40,66,111,19,van
39,62,129,17,van
46,78,150,20,van
36,53,113,17,van
42,66,125,18,van
37,51,105,17,van
36,51,109,17,van
46,88,174,19,van
37,53,121,17,van
42,64,123,18,van
36,63,139,18,van
47,85,161,20,van
35,64,129,17,van
44,90,166,19,van
37,69,150,18,van
48,77,132,20,van
43,88,157,19,van
44,76,125,20,van
42,66,133,17,van
41,66,131,18,van
49,87,137,20,van
41,80,147,19,van
40,62,117,18,van
44,84,158,19,van
41,64,148,18,van
43,88,170,19,van
40,62,144,17,van
48,83,162,19,van
48,78,143,20,van
46,90,172,20,van
36,60,126,17,van
45,87,169,19,van
35,60,143,18,van
45,81,246,20,van
43,66,157,18,van
47,87,164,20,van
36,66,151,18,van
39,78,164,18,van
46,82,145,20,van
43,81,231,19,van
43,82,136,19,van
39,68,136,18,van
44,69,152,18,van
45,80,162,19,van
35,66,151,18,van
49,82,139,20,van
35,58,136,17,van
45,82,133,20,van
47,83,322,20,van
38,70,125,18,van
45,80,154,19,van
45,91,161,19,van
40,82,163,19,van
39,64,111,18,van
36,68,149,18,van
46,73,137,20,van
42,80,162,19,van
45,85,149,20,van
37,60,115,17,van
42,89,147,19,van
45,73,161,18,van
46,75,133,20,van
49,82,137,20,van
40,58,137,17,van
43,84,136,19,van
38,58,119,17,van
41,66,125,18,van
37,70,126,18,van
44,70,137,18,van
34,62,140,17,van
44,88,176,20,van
36,66,123,17,van
47,75,121,20,van
48,85,157,20,van
37,76,138,18,van
42,66,142,18,van
45,83,142,20,van
44,72,157,18,van
37,70,145,18,van
41,75,124,18,van
43,76,149,19,saab
39,87,183,20,saab
50,103,199,24,saab
37,80,180,19,saab
55,100,201,24,saab
39,74,152,19,saab
55,107,222,24,saab
36,72,162,19,saab
50,90,188,21,saab
34,66,158,18,saab
54,98,203,25,saab
55,103,213,25,saab
51,103,182,24,saab
52,101,213,23,saab
55,104,213,23,saab
38,82,156,19,saab
37,57,132,18,saab
38,55,120,19,saab
51,105,168,24,saab
40,66,136,19,saab
52,109,182,24,saab
48,104,196,23,saab
36,74,171,19,saab
53,108,211,25,saab
51,108,201,25,saab
52,104,189,24,saab
49,106,211,24,saab
38,86,175,21,saab
48,107,202,24,saab
54,102,206,23,saab
54,101,197,24,saab
42,98,192,22,saab
36,54,119,18,saab
53,93,197,24,saab
54,96,201,24,saab
40,78,170,21,saab
44,77,150,19,saab
46,100,197,22,saab
51,105,197,22,saab
54,101,222,25,saab
36,78,165,19,saab
34,72,144,18,saab
37,59,134,18,saab
53,108,204,25,saab
51,96,203,22,saab
51,100,206,23,saab
46,83,154,20,saab
53,101,190,24,saab
38,83,141,19,saab
39,88,189,21,saab
41,88,184,21,saab
52,101,197,22,saab
54,102,201,24,saab
33,50,104,17,saab
44,95,202,22,saab
53,105,184,24,saab
45,76,162,20,saab
37,60,132,18,saab
39,81,191,20,saab
37,76,183,20,saab
47,96,206,23,saab
48,85,189,20,saab
37,86,167,20,saab
38,71,123,18,saab
37,66,126,18,saab
39,72,133,19,saab
36,78,146,18,saab
45,76,175,20,saab
53,103,202,25,saab
49,109,204,24,saab
48,98,208,23,saab
56,101,231,24,saab
40,75,137,19,saab
40,89,174,21,saab
41,64,148,19,saab
41,69,153,18,saab
48,101,203,23,saab
37,63,130,18,saab
40,72,139,18,saab
53,98,176,24,saab
53,104,223,24,saab
50,94,215,22,saab
39,63,146,18,saab
54,106,221,24,saab
53,103,210,25,saab
50,106,209,23,saab
46,77,169,20,saab
36,85,184,20,saab
53,98,193,24,saab
54,108,228,25,saab
39,86,180,20,saab
43,77,147,19,saab
39,83,170,21,saab
36,69,162,18,saab
40,83,166,20,saab
39,83,176,20,saab
54,103,212,24,saab
50,90,192,21,saab
36,75,136,18,saab
46,81,187,20,saab
46,104,184,23,saab
45,79,176,20,saab
43,92,197,21,saab
54,109,225,24,saab
42,77,151,18,saab
47,81,176,20,saab
54,103,220,24,saab
52,110,228,24,saab
38,75,136,19,saab
34,66,136,17,saab
38,63,115,19,saab
53,100,205,25,saab
54,100,220,25,saab
51,108,193,24,saab
55,104,219,24,saab
47,88,190,21,saab
55,101,213,25,saab
53,104,181,25,saab
53,106,172,24,saab
52,104,199,24,saab
37,74,187,20,saab
51,104,191,24,saab
50,104,197,24,saab
49,83,187,21,saab
54,106,220,24,saab
35,52,121,17,saab
53,108,211,23,saab
54,105,203,23,saab
51,100,201,23,saab
40,85,186,20,saab
37,54,118,18,saab
40,63,135,18,saab
49,103,200,23,saab
45,81,177,20,saab
38,58,137,19,saab
39,89,181,21,saab
33,40,115,17,saab
54,100,186,24,saab
36,54,117,18,saab
54,106,215,24,saab
53,108,206,25,saab
37,71,171,20,saab
44,98,197,22,saab
36,83,162,19,saab
54,109,189,25,saab
37,54,119,18,saab
53,108,213,23,saab
37,80,171,20,saab
43,69,161,19,saab
47,88,200,21,saab
42,101,186,22,saab
38,78,191,20,saab
53,110,231,24,saab
54,108,234,24,saab
45,82,155,19,saab
52,100,203,24,saab
47,83,169,20,saab
35,53,122,17,saab
34,53,127,17,saab
48,85,191,21,saab
53,95,202,22,saab
49,105,209,24,saab
46,105,195,23,saab
53,105,225,25,saab
46,104,208,22,saab
38,63,129,19,saab
51,112,201,24,saab
45,100,195,23,saab
40,100,178,21,saab
52,100,191,23,saab
54,103,205,25,saab
37,54,131,18,saab
53,109,221,25,saab
49,109,193,24,saab
38,80,169,20,saab
51,105,174,24,saab
36,51,114,18,saab
41,66,140,19,saab
55,108,228,24,saab
42,90,192,21,saab
48,90,178,21,saab
51,98,194,22,saab
38,77,161,19,saab
53,101,199,24,saab
50,96,211,22,saab
40,62,140,19,saab
36,77,157,19,saab
43,89,195,22,saab
38,88,179,21,saab
49,100,194,22,saab
51,90,209,22,saab
48,105,214,23,saab
56,104,231,25,saab
47,109,202,23,saab
45,77,188,20,saab
41,77,177,21,bus
51,84,207,21,bus
51,92,203,24,bus
45,68,169,19,bus
43,70,147,19,bus
46,74,202,20,bus
43,68,152,19,bus
54,105,164,27,bus
44,66,125,19,bus
57,102,184,26,bus
51,92,194,25,bus
42,66,120,19,bus
44,70,166,18,bus
47,84,205,21,bus
38,75,188,20,bus
43,73,173,19,bus
42,76,159,19,bus
56,102,246,26,bus
42,65,125,19,bus
46,75,185,19,bus
49,79,203,21,bus
42,63,125,19,bus
47,75,153,19,bus
36,74,183,19,bus
37,73,174,19,bus
43,66,120,19,bus
44,72,139,19,bus
43,61,119,19,bus
43,68,120,19,bus
43,72,141,19,bus
45,76,171,19,bus
53,101,238,26,bus
42,59,132,19,bus
43,70,126,19,bus
56,103,223,27,bus
44,68,144,19,bus
55,96,191,26,bus
57,106,172,28,bus
38,70,186,20,bus
41,71,169,19,bus
42,66,156,19,bus
43,71,133,19,bus
45,71,155,19,bus
41,75,205,21,bus
44,70,140,19,bus
41,73,158,19,bus
46,71,141,19,bus
57,102,181,28,bus
47,74,141,19,bus
50,93,173,25,bus
43,69,141,19,bus
52,94,208,24,bus
44,65,129,19,bus
49,89,168,24,bus
44,68,120,19,bus
47,70,185,20,bus
43,82,161,22,bus
54,98,201,25,bus
47,88,183,23,bus
36,73,191,19,bus
41,75,162,19,bus
44,63,123,19,bus
48,95,209,23,bus
43,71,154,19,bus
43,64,128,19,bus
43,68,125,19,bus
42,66,120,19,bus
41,70,155,19,bus
42,60,116,19,bus
43,83,198,21,bus
45,72,187,20,bus
39,76,180,19,bus
42,66,122,19,bus
46,88,191,22,bus
46,77,199,20,bus
52,86,207,22,bus
44,70,205,19,bus
46,73,137,19,bus
47,75,165,19,bus
42,65,116,19,bus
45,74,187,19,bus
45,72,179,19,bus
44,68,113,19,bus
43,66,130,19,bus
45,68,150,19,bus
47,73,195,20,bus
45,68,154,19,bus
45,68,148,19,bus
46,71,130,19,bus
41,77,197,21,bus
45,71,128,19,bus
58,105,183,29,bus
44,70,186,19,bus
42,64,121,19,bus
38,79,185,20,bus
45,70,130,19,bus
43,73,158,19,bus
40,77,171,21,bus
54,100,227,27,bus
44,72,160,19,bus
49,79,180,21,bus
42,64,122,19,bus
45,65,128,19,bus
40,72,155,19,bus
43,76,180,19,bus
42,70,130,19,bus
45,71,170,19,bus
46,68,139,19,bus
44,65,124,19,bus
39,75,184,19,bus
51,93,160,24,bus
41,76,183,19,bus
49,84,219,22,bus
46,71,159,19,bus
55,102,169,26,bus
42,84,209,20,bus
43,68,170,18,bus
45,83,198,22,bus
43,65,127,19,bus
43,66,121,19,bus
41,76,165,19,bus
51,88,188,23,bus
44,72,136,19,bus
44,68,190,19,bus
40,78,186,20,bus
52,103,170,26,bus
39,70,166,19,bus
36,73,199,20,bus
43,64,173,19,bus
49,76,203,21,bus
37,73,186,19,bus
52,95,189,25,bus
38,74,184,20,bus
42,65,113,19,bus
43,70,177,19,bus
38,72,192,20,bus
43,68,148,19,bus
45,68,137,19,bus
37,74,199,20,bus
54,106,188,26,bus
41,70,155,19,bus
44,70,158,18,bus
44,84,216,22,bus
53,98,154,26,bus
43,69,123,19,bus
46,73,125,19,bus
40,73,173,19,bus
55,98,199,26,bus
42,70,148,19,bus
46,70,149,19,bus
57,106,179,28,bus
44,72,150,19,bus
46,70,194,20,bus
43,66,130,19,bus
45,66,126,19,bus
45,68,139,19,bus
48,79,199,22,bus
43,68,123,19,bus
43,73,154,19,bus
50,98,204,24,bus
42,81,193,20,bus
43,68,139,19,bus
39,74,165,19,bus
43,70,123,19,bus
44,72,118,19,bus
56,104,185,28,bus
57,106,177,28,bus
44,71,165,19,bus
45,85,193,22,bus
47,91,226,23,bus
51,89,199,23,bus
37,75,191,20,bus
49,80,206,21,bus
44,70,179,19,bus
42,66,169,19,bus
37,75,184,19,bus
35,70,182,19,bus
42,62,175,19,bus
44,68,120,19,bus
37,72,193,19,bus
44,65,128,19,bus
41,66,155,19,bus
56,109,199,27,bus
42,70,139,19,bus
46,74,171,19,bus
38,75,164,19,bus
45,66,252,19,bus
45,66,154,19,bus
43,71,159,19,bus
45,73,152,19,bus
45,70,120,19,bus
45,89,213,22,bus
58,106,180,28,bus
49,98,187,24,bus
57,109,194,28,bus
44,70,151,18,bus
55,101,189,25,opel
52,105,162,24,opel
48,101,204,23,opel
37,53,111,18,opel
38,64,130,18,opel
50,98,212,22,opel
40,69,146,18,opel
55,101,206,25,opel
50,88,204,22,opel
44,98,211,22,opel
44,71,145,19,opel
49,103,186,23,opel
40,69,147,18,opel
39,84,149,20,opel
55,103,201,23,opel
56,98,209,24,opel
38,63,130,17,opel
57,103,216,25,opel
41,92,197,21,opel
38,72,130,18,opel
49,96,201,21,opel
48,104,214,23,opel
37,57,116,18,opel
51,109,224,24,opel
38,77,156,20,opel
45,82,164,19,opel
36,66,128,18,opel
49,92,193,21,opel
43,78,166,19,opel
55,109,230,24,opel
39,60,122,18,opel
35,72,172,19,opel
56,96,231,25,opel
55,98,224,24,opel
46,79,181,20,opel
54,101,190,25,opel
43,69,158,19,opel
49,86,190,21,opel
55,107,200,25,opel
51,105,212,24,opel
57,105,221,24,opel
46,82,170,20,opel
43,96,202,22,opel
55,103,211,24,opel
40,80,133,19,opel
49,96,206,22,opel
48,83,177,21,opel
47,83,165,20,opel
52,109,225,25,opel
57,109,220,25,opel
54,105,213,23,opel
39,89,194,21,opel
40,71,131,19,opel
36,69,142,18,opel
35,78,162,19,opel
45,75,154,19,opel
54,104,186,24,opel
55,105,182,24,opel
51,109,231,25,opel
52,110,172,25,opel
54,98,167,24,opel
52,104,222,23,opel
55,108,168,25,opel
46,94,209,22,opel
49,107,179,24,opel
51,104,163,23,opel
37,76,169,20,opel
53,98,192,24,opel
54,100,199,23,opel
47,103,215,23,opel
36,78,160,18,opel
37,77,144,19,opel
36,51,116,17,opel
57,104,228,24,opel
38,66,138,18,opel
35,66,159,19,opel
38,74,138,18,opel
36,72,141,18,opel
39,69,127,18,opel
38,53,123,18,opel
49,86,195,21,opel
40,83,178,21,opel
46,101,210,22,opel
38,74,178,20,opel
52,104,177,24,opel
42,75,140,19,opel
54,100,163,24,opel
41,93,197,21,opel
54,107,189,25,opel
55,98,161,24,opel
48,96,232,23,opel
40,73,141,19,opel
38,89,176,20,opel
55,96,196,25,opel
39,86,169,20,opel
46,105,209,23,opel
45,100,209,23,opel
58,101,208,25,opel
42,75,172,19,opel
37,78,181,20,opel
48,105,212,23,opel
52,107,211,23,opel
44,80,191,20,opel
54,91,209,24,opel
34,69,152,18,opel
38,53,125,18,opel
39,77,151,19,opel
41,83,194,21,opel
39,88,194,20,opel
52,96,188,22,opel
36,77,172,19,opel
48,94,198,21,opel
38,84,158,20,opel
39,91,191,21,opel
53,108,184,24,opel
34,66,140,18,opel
44,82,136,19,opel
38,85,177,20,opel
34,42,110,17,opel
36,78,179,19,opel
55,96,170,24,opel
56,100,204,25,opel
52,98,196,22,opel
44,77,167,19,opel
57,100,177,25,opel
43,96,197,22,opel
52,107,207,24,opel
55,103,197,24,opel
54,91,179,25,opel
38,58,125,18,opel
49,103,212,23,opel
48,107,222,24,opel
40,66,121,19,opel
52,103,186,24,opel
35,66,154,18,opel
47,81,156,20,opel
38,78,153,19,opel
56,100,168,24,opel
52,98,225,24,opel
52,101,218,23,opel
51,96,196,22,opel
46,101,199,23,opel
46,79,176,20,opel
39,90,180,21,opel
46,105,219,23,opel
38,75,144,19,opel
56,105,183,24,opel
53,103,203,22,opel
36,72,127,18,opel
55,101,228,24,opel
41,75,143,19,opel
55,96,181,25,opel
41,66,129,18,opel
55,105,230,24,opel
54,104,175,24,opel
56,100,185,24,opel
38,60,128,18,opel
49,107,194,24,opel
41,78,145,18,opel
52,93,204,22,opel
38,76,172,20,opel
40,75,146,18,opel
45,76,166,20,opel
37,80,158,19,opel
59,108,227,25,opel
56,100,215,24,opel
48,101,195,23,opel
55,105,216,23,opel
48,107,215,23,opel
45,80,186,20,opel
47,81,183,20,opel
42,69,153,18,opel
52,101,206,23,opel
36,69,127,18,opel
55,105,223,25,opel
50,83,195,21,opel
55,101,183,25,opel
57,107,207,25,opel
53,103,221,24,opel
52,101,213,23,opel
54,98,177,25,opel
54,107,218,25,opel
37,74,169,20,opel
57,103,222,25,opel
45,77,153,19,opel
45,92,197,22,opel
53,98,203,25,opel
46,100,195,22,opel
51,100,197,22,opel
39,72,127,19,opel
55,101,219,25,opel
